,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
Stentor,8,0.0-0.04,0.04-0.07,0.44-0.82,56.42-59.1,4.04-19.43,0.06-0.11,0.1-0.15,0.08-0.18,17.56-18.11,0.79-0.93,1.35-2.2,0.57-0.7,0.23-0.28,0.09-0.26,0.24-0.55,0.72-1.41,-,0.000442,0.0364,0.441,56.425,4.045,0.0596,0.10099999999999999,0.0839,17.564,0.787,1.347,0.5670000000000001,0.228,0.08800000000000001,0.243,0.7170000000000001,,0.0371,0.0691,0.8170000000000001,59.105,19.430999999999997,0.106,0.146,0.18,18.108,0.9259999999999999,2.1959999999999997,0.7,0.276,0.262,0.5529999999999999,1.4080000000000001,
1998WR10,5,0.03-0.05,0.03-0.07,0.33-0.55,59.1-60.44,14.33-29.64,0.05-0.07,0.1-0.12,0.11-0.13,-,0.79-0.86,1.63-1.72,0.57-0.63,0.26-0.32,0.15-0.26,0.38-0.42,0.49-0.6,-,0.025,0.0255,0.33399999999999996,59.105,14.325999999999999,0.0481,0.10099999999999999,0.10800000000000001,,0.787,1.63,0.5670000000000001,0.26,0.146,0.375,0.48700000000000004,,0.0493,0.0691,0.5489999999999999,60.43600000000001,29.641,0.0711,0.124,0.132,,0.857,1.724,0.633,0.324,0.262,0.42,0.602,
Periphas,5,0.04-0.06,0.06-0.08,0.44-0.6,57.77-60.44,19.43-29.64,0.06-0.11,0.1-0.21,0.08-0.25,17.02-19.2,0.79-0.86,1.35-1.44,0.57-0.63,0.24-0.26,0.15-0.2,0.38-0.42,0.37-0.49,-,0.0371,0.0582,0.441,57.775,19.430999999999997,0.0596,0.10099999999999999,0.0839,17.019000000000002,0.787,1.347,0.5670000000000001,0.244,0.146,0.375,0.37200000000000005,,0.0615,0.08,0.602,60.43600000000001,29.641,0.106,0.214,0.251,19.197,0.857,1.4409999999999998,0.633,0.26,0.204,0.42,0.48700000000000004,
Halitherses,15,0.0-0.06,0.04-0.11,0.01-0.23,59.1-61.77,4.04-24.54,0.05-0.14,0.1-0.21,0.11-0.2,18.11-18.38,0.65-0.93,1.25-1.63,0.43-0.7,0.1-0.29,-0.09-0.2,0.64-0.69,0.72-0.83,-0.17--0.09,0.000442,0.0364,0.0102,59.105,4.045,0.0481,0.10099999999999999,0.10800000000000001,18.108,0.649,1.252,0.433,0.0998,-0.086,0.6409999999999999,0.7170000000000001,-0.16899999999999998,0.0615,0.113,0.226,61.766000000000005,24.535999999999998,0.14,0.214,0.204,18.381,0.9259999999999999,1.63,0.7,0.292,0.204,0.685,0.8320000000000001,-0.0872
Polypoites,5,0.04-0.09,0.0-0.04,0.23-0.39,60.44-63.1,19.43-34.75,0.05-0.09,0.12-0.19,0.11-0.2,16.48-17.56,0.79-0.86,1.44-1.53,0.57-0.63,0.24-0.26,0.15-0.2,0.29-0.33,0.72-0.83,-,0.0371,0.0035399999999999997,0.226,60.43600000000001,19.430999999999997,0.0481,0.124,0.10800000000000001,16.475,0.787,1.4409999999999998,0.5670000000000001,0.244,0.146,0.287,0.7170000000000001,,0.0858,0.0364,0.387,63.096000000000004,34.746,0.0942,0.192,0.204,17.564,0.857,1.535,0.633,0.26,0.204,0.331,0.8320000000000001,
Ulysses,17,0.0-0.05,0.05-0.11,0.17-0.55,57.77-61.77,4.04-24.54,0.04-0.12,0.1-0.17,0.08-0.16,17.02-19.2,0.79-0.86,1.35-1.53,0.57-0.7,0.23-0.26,0.09-0.2,0.02-0.6,0.6-0.72,-,0.000442,0.0473,0.172,57.775,4.045,0.0365,0.10099999999999999,0.0839,17.019000000000002,0.787,1.347,0.5670000000000001,0.228,0.08800000000000001,0.0206,0.602,,0.0493,0.113,0.5489999999999999,61.766000000000005,24.535999999999998,0.11699999999999999,0.16899999999999998,0.156,19.197,0.857,1.535,0.7,0.26,0.204,0.597,0.7170000000000001,
Idomeneus,6,0.04-0.06,0.05-0.09,0.28-0.39,60.44-61.77,19.43-29.64,0.04-0.08,0.08-0.15,0.04-0.13,16.48-17.56,0.72-0.93,1.16-1.53,0.5-0.7,0.2-0.29,-0.26-0.15,0.29-0.38,0.49-0.72,-,0.0371,0.0473,0.28,60.43600000000001,19.430999999999997,0.0365,0.0786,0.0356,16.475,0.718,1.158,0.5,0.196,-0.26,0.287,0.48700000000000004,,0.0615,0.091,0.387,61.766000000000005,29.641,0.0827,0.146,0.132,17.564,0.9259999999999999,1.535,0.7,0.292,0.146,0.375,0.7170000000000001,
Halaesus,10,0.03-0.06,0.08-0.12,0.28-0.39,60.44-63.1,9.22-29.64,0.05-0.11,0.1-0.17,0.08-0.18,18.38-18.65,0.79-0.86,1.35-1.44,0.57-0.63,0.23-0.29,0.09-0.15,0.2-0.46,0.37-0.6,-,0.025,0.08,0.28,60.43600000000001,9.221,0.0481,0.10099999999999999,0.0839,18.381,0.787,1.347,0.5670000000000001,0.228,0.08800000000000001,0.198,0.37200000000000005,,0.0615,0.124,0.387,63.096000000000004,29.641,0.106,0.16899999999999998,0.18,18.653,0.857,1.4409999999999998,0.633,0.292,0.146,0.46399999999999997,0.602,
Agamemnon,16,0.07-0.11,0.01-0.06,0.28-0.6,59.1-63.1,29.64-50.06,0.04-0.09,0.08-0.19,0.06-0.18,15.93-18.93,0.79-0.86,1.35-1.72,0.57-0.63,0.23-0.31,0.09-0.26,0.29-0.69,0.49-1.87,-,0.0737,0.0146,0.28,59.105,29.641,0.0365,0.0786,0.0599,15.93,0.787,1.347,0.5670000000000001,0.228,0.08800000000000001,0.287,0.48700000000000004,,0.11,0.0582,0.602,63.096000000000004,50.06100000000001,0.0942,0.192,0.18,18.925,0.857,1.724,0.633,0.308,0.262,0.685,1.868,
Thersander,10,0.07-0.1,0.0-0.06,0.12-0.39,61.77-64.43,34.75-39.85,0.04-0.15,0.1-0.3,0.11-0.32,17.29-18.65,0.72-0.79,1.35-1.44,0.57-0.63,0.16-0.18,0.09-0.15,0.2-0.38,0.49-1.06,-,0.0737,0.0035399999999999997,0.11900000000000001,61.766000000000005,34.746,0.0365,0.10099999999999999,0.10800000000000001,17.291,0.718,1.347,0.5670000000000001,0.16399999999999998,0.08800000000000001,0.198,0.48700000000000004,,0.098,0.0582,0.387,64.42699999999999,39.851,0.152,0.305,0.32299999999999995,18.653,0.787,1.4409999999999998,0.633,0.18,0.146,0.375,1.063,
