full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
 11395 (1998 XN77),0.0067,0.0928,0.4176,-0.234767047939158,5.7799933300202575,0.045,0.071,0.039,17.6639092553107,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 15527 (1999 YY2),0.0103,0.1673,0.3537,1.96923227586989,4.92918112728501,0.07,0.142,0.142,19.0604692805484,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 23480 (1991 EL),0.0184,0.1461,0.4044,0.902592678988412,9.09280337659482,0.084,0.168,0.168,?,?,?,?,?,?,0.377524,0.5798735,?,4,GreaterAchilles,1991EL,-,,
 24312 (1999 YO22),0.0425,0.1091,0.2704,1.37718242715218,18.4353292751933,0.068,0.136,0.136,?,1.275,0.875000000000002,1.045,0.279999999999999,0.169999999999998,?,?,?,4,GreaterAchilles,1991EL,-,,
 25895 (2000 XN9),0.0128,0.1241,0.3502,0.518465719783784,9.038193905269619,0.064,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 36267 (1999 XB211),0.0277,0.1144,0.3566,0.699172546110972,14.7908782523697,0.06,0.147,0.147,18.6074863702136,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 42187 (2001 CS32),0.021,0.0819,0.4127,-0.842513898679492,8.75312953145189,0.033,0.066,0.066,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 89844 (2002 CP64),0.028999999999999998,0.13699999999999998,0.3303,1.48190089470921,16.906669437654198,?,?,?,?,0.739999999999998,1.31,0.530000000000001,0.23,0.029999999999998,?,?,?,4,GreaterAchilles,1991EL,-,,
162861 (2001 DY103),0.0029,0.1185,0.46299999999999997,-0.32242403609429,4.70271201497403,0.063,?,?,?,0.850000000000001,0.93,0.630000000000003,0.329999999999998,-0.009999999999998,?,?,?,4,GreaterAchilles,1991EL,-,,
166148 (2002 EU14),0.0116,0.1075,0.4342,-0.04684646050078098,4.14359717113072,0.039,?,?,?,0.725000000000001,1.4,0.505000000000001,0.24,0.105,?,?,?,4,GreaterAchilles,1991EL,-,,
