full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   911 Agamemnon (1919 FD),0.0777,0.021,0.3863,1.5382144945072902,33.6212306766675,0.072,0.136,0.114,16.1529577722353,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
  3596 Meriones (1985 VO),0.0809,0.0277,0.4059,2.50706304094543,39.5390723273681,0.048,0.138,0.069,16.9684034817124,?,?,?,?,?,0.357375,0.589752,?,4,-,Agamemnon,-,,
  5027 Androgeos (1988 BX1),0.0923,0.0204,0.5027,1.59112557668988,40.332076137699396,0.071,0.148,0.114,17.6404187157648,0.829999999999998,1.51,0.620000000000001,0.27,0.169999999999998,0.3266145,0.5696835,?,4,-,Agamemnon,-,D,Hasselmann2012
 15398 (1997 UZ23),0.0801,0.0424,0.4748,2.53333021146194,39.8758816991003,0.067,0.154,0.154,18.4997061352579,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
 15440 (1998 WX4),0.0897,0.0317,0.4613,1.87915280052268,38.2353092403996,0.072,0.126,0.112,17.5467101607635,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
 18063 (1999 XW211),0.0775,0.0318,0.3257,2.9470397862381397,37.4009197939698,0.073,0.145,0.145,?,?,?,?,?,?,0.400774,0.578443,?,4,-,Agamemnon,-,,
 24244 (1999 XY101),0.0907,0.0271,0.5097,2.86103854601542,44.9532715283936,0.074,0.121,0.121,18.9065834513767,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
 24537 (2001 CB35),0.0787,0.040999999999999995,0.3047,3.0585633854260297,38.01998769274249,0.079,0.142,0.142,?,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
 32498 (2000 XX37),0.0775,0.047,0.4219,1.03512431781044,32.2230394436854,0.087,0.173,0.173,?,0.83,1.36,0.615,0.284999999999998,0.115000000000002,?,?,?,4,-,Agamemnon,-,D,Hasselmann2012
 36279 (2000 BQ5),0.1012,0.0523,0.4989,2.62991601921104,45.0363327124775,0.062,0.131,0.131,?,0.835000000000001,1.475,0.615,0.25,0.185000000000001,?,?,?,4,-,Agamemnon,-,D,Hasselmann2012
 51378 (2001 AT33),0.0739,0.0292,0.5726,0.12965674976057098,34.8640128731178,0.042,0.084,0.084,?,0.82,1.58,0.609999999999999,0.240000000000002,0.16,?,?,?,4,-,Agamemnon,-,D,Hasselmann2012
 55563 (2002 AW34),0.0775,0.0445,0.5125,1.52971127893907,39.1879942722882,0.063,0.125,0.125,?,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
 63294 (2001 DQ90),0.0942,0.0158,0.5184,3.0868503762980497,47.4903134586043,?,?,?,?,0.829999999999999,1.6675,0.612499999999999,0.2975,0.142499999999999,?,?,?,4,-,Agamemnon,-,,
114710 (2003 GX7),0.0766,0.0309,0.4727,1.57461712648903,35.3869477193823,?,?,?,?,0.829999999999998,1.4,0.620000000000001,0.280000000000001,0.219999999999999,?,?,?,4,-,Agamemnon,-,,
312787 (2010 VA114),0.0883,0.0284,0.5115,2.1612473067319797,40.56690903105729,?,?,?,?,?,?,?,?,?,0.68543,1.178485,?,4,-,Agamemnon,-,,
429970 (2013 AQ54),0.0923,0.0338,0.3957,2.47148650332129,38.3300432707425,?,?,?,?,?,?,?,?,?,0.3289435,1.867901,?,4,-,Agamemnon,-,,
