full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1404 Ajax (1936 QW),0.0917,0.076,0.3274,3.51784742468921,38.7861707440078,0.048,0.085,0.054,17.5628785735148,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
  4086 Podalirius (1985 VK2),0.0957,0.0793,0.3542,4.24483636146555,43.7378254492163,0.05,0.126,0.084,17.3471714791967,0.893333333333334,1.61333333333333,0.676666666666667,0.156666666666667,0.006666666666665,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
  7119 Hiera (1989 AV2),0.0951,0.065,0.353,4.0716406937271605,42.0514574957606,0.067,0.148,0.148,17.6737119762824,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
  9431 (1996 PS1),0.0908,0.0613,0.3655,4.22607239186398,42.6973271178649,0.076,0.174,0.174,18.6538428906096,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
  9857 (1991 EN),0.0863,0.0693,0.3588,3.9354700455475013,41.5797794898492,0.06,0.09,0.09,18.0829757553069,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
 23135 (2000 AN146),0.0975,0.0693,0.32,4.8531940480207405,43.69582014116049,0.044000000000000004,0.058,0.058,17.7741063007107,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
 24403 (2000 AX193),0.0935,0.0342,0.3679,3.57507946572345,41.8766963322236,0.07400000000000001,0.148,0.148,?,0.870000000000001,1.53,0.649999999999999,0.23,0.25,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
 25911 (2001 BC76),0.094,0.0397,0.3716,3.7614114074381813,41.7969500454768,0.135,0.271,0.271,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
 42367 (2002 CQ134),0.1088,0.0603,0.485,5.506332466925301,53.1192472127899,0.068,0.143,0.143,?,0.859999999999999,1.53,0.640000000000001,0.239999999999998,0.140000000000001,?,?,?,4,GreaterAjax,Ajax,2002cq134Sub,,
 55578 (2002 GK105),0.106,0.0624,0.3385,4.62322414390538,46.4117894452907,0.11,0.22,0.22,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,2002cq134Sub,,
207749 (2007 RC286),0.0963,0.0664,0.4316,4.22997582328239,45.25787756173101,0.07,?,?,?,?,?,?,?,?,0.469093,0.711586,?,4,GreaterAjax,Ajax,2002cq134Sub,,
316158 (2009 UW26),0.0887,0.0599,0.4778,3.15136882980271,42.7310867611034,0.071,?,?,?,?,?,?,?,?,0.494448666666,0.6081425,?,4,GreaterAjax,Ajax,2002cq134Sub,,
