full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1437 Diomedes (1937 PB),11.0,2.0,6.0,9.0,11.0,3.0,1.0,2.0,3.0,?,?,?,?,?,?,?,?,4,"(0.125, 0.136]",0.125,0.136,"(0.0284, 0.0408]",0.0284,0.0408,"(0.334, 0.387]",0.33399999999999996,0.387,"(8.417, 9.748]",8.417,9.748,"(59.99, 65.188]",59.99,65.188,"(0.06, 0.0717]",0.06,0.0717,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,"(15.93, 16.202]",15.93,16.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  4543 Phoinix (1989 CQ1),10.0,4.0,4.0,9.0,10.0,2.0,3.0,3.0,9.0,?,?,?,?,?,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0532, 0.0655]",0.0532,0.0655,"(0.226, 0.28]",0.226,0.28,"(8.417, 9.748]",8.417,9.748,"(54.791, 59.99]",54.791000000000004,59.99,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
  5209 (1989 CW1),9.0,1.0,3.0,8.0,9.0,3.0,3.0,5.0,11.0,7.0,7.0,7.0,8.0,8.0,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0161, 0.0284]",0.0161,0.0284,"(0.172, 0.226]",0.172,0.226,"(7.087, 8.417]",7.0870000000000015,8.417,"(49.592, 54.791]",49.592,54.791000000000004,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.152, 0.177]",0.152,0.177,"(18.108, 18.381]",18.108,18.381,"(0.995, 1.065]",0.995,1.065,"(1.405, 1.515]",1.405,1.515,"(0.767, 0.833]",0.767,0.833,"(0.245, 0.267]",0.245,0.267,"(-0.0167, 0.05]",-0.0167,0.05,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
 11351 Leucus (1997 TS25),10.0,1.0,3.0,8.0,9.0,4.0,2.0,3.0,14.0,?,?,?,?,?,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0161, 0.0284]",0.0161,0.0284,"(0.172, 0.226]",0.172,0.226,"(7.087, 8.417]",7.0870000000000015,8.417,"(49.592, 54.791]",49.592,54.791000000000004,"(0.0717, 0.0833]",0.0717,0.0833,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(18.925, 19.197]",18.925,19.197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,D,Fornasier2007
 11397 (1998 XX93),11.0,2.0,6.0,9.0,11.0,4.0,3.0,4.0,?,?,?,?,?,?,6.0,4.0,?,4,"(0.125, 0.136]",0.125,0.136,"(0.0284, 0.0408]",0.0284,0.0408,"(0.334, 0.387]",0.33399999999999996,0.387,"(8.417, 9.748]",8.417,9.748,"(59.99, 65.188]",59.99,65.188,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,GreaterDiomedes,Diomedes,-,,
 15539 (2000 CN3),13.0,2.0,8.0,10.0,12.0,4.0,3.0,4.0,11.0,?,?,?,?,?,?,?,?,4,"(0.148, 0.159]",0.14800000000000002,0.159,"(0.0284, 0.0408]",0.0284,0.0408,"(0.441, 0.495]",0.441,0.495,"(9.748, 11.078]",9.748,11.078,"(65.188, 70.387]",65.188,70.387,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
 18263 Anchialos (5167 T-2),10.0,2.0,3.0,8.0,10.0,8.0,8.0,9.0,?,?,?,?,?,?,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(7.087, 8.417]",7.0870000000000015,8.417,"(54.791, 59.99]",54.791000000000004,59.99,"(0.118, 0.13]",0.118,0.13,"(0.239, 0.262]",0.239,0.262,"(0.251, 0.276]",0.251,0.276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
 21601 (1998 XO89),13.0,4.0,5.0,9.0,11.0,3.0,3.0,4.0,9.0,?,?,?,?,?,?,?,?,4,"(0.148, 0.159]",0.14800000000000002,0.159,"(0.0532, 0.0655]",0.0532,0.0655,"(0.28, 0.334]",0.28,0.33399999999999996,"(8.417, 9.748]",8.417,9.748,"(59.99, 65.188]",59.99,65.188,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
 43706 Iphiklos (1416 T-2),10.0,4.0,4.0,9.0,10.0,3.0,?,?,?,2.0,10.0,3.0,5.0,11.0,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0532, 0.0655]",0.0532,0.0655,"(0.226, 0.28]",0.226,0.28,"(8.417, 9.748]",8.417,9.748,"(54.791, 59.99]",54.791000000000004,59.99,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.737, 1.847]",1.737,1.847,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
 53436 (1999 VB154),13.0,2.0,5.0,12.0,13.0,4.0,3.0,4.0,?,?,?,?,?,?,?,?,?,4,"(0.148, 0.159]",0.14800000000000002,0.159,"(0.0284, 0.0408]",0.0284,0.0408,"(0.28, 0.334]",0.28,0.33399999999999996,"(12.408, 13.739]",12.408,13.739,"(70.387, 75.586]",70.387,75.586,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
 65228 (2002 EH58),12.0,2.0,5.0,12.0,13.0,1.0,?,?,?,?,?,?,?,?,6.0,3.0,?,4,"(0.136, 0.148]",0.136,0.14800000000000002,"(0.0284, 0.0408]",0.0284,0.0408,"(0.28, 0.334]",0.28,0.33399999999999996,"(12.408, 13.739]",12.408,13.739,"(70.387, 75.586]",70.387,75.586,"(0.0367, 0.0483]",0.0367,0.0483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.429, 0.549]",0.429,0.5489999999999999,-,-,-,GreaterDiomedes,Diomedes,-,,
 83977 (2002 CE89),10.0,3.0,2.0,9.0,9.0,?,?,?,?,3.0,6.0,3.0,5.0,9.0,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(8.417, 9.748]",8.417,9.748,"(49.592, 54.791]",49.592,54.791000000000004,-,-,-,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.294, 1.405]",1.294,1.405,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
