full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1437 Diomedes (1937 PB),0.1282,0.0314,0.3726,8.5240310823729,60.6210685366075,0.061,0.087,0.083,16.1685122916254,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  4543 Phoinix (1989 CQ1),0.1222,0.0588,0.275,9.17375674825286,58.9712117294201,0.057,0.129,0.111,17.7212862095594,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,,
  5209 (1989 CW1),0.113,0.0284,0.177,7.4972139410812595,52.3029568481357,0.069,0.145,0.16,18.1365736588638,1.01,1.45,0.789999999999999,0.25,0,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 11351 Leucus (1997 TS25),0.1213,0.0236,0.2226,7.76111144096001,53.5751057768933,0.079,0.124,0.124,19.0313193513469,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,D,Fornasier2007
 11397 (1998 XX93),0.1311,0.033,0.3841,8.69596399474672,60.98161907469339,0.078,0.142,0.142,?,?,?,?,?,?,0.341619,0.619406,?,4,GreaterDiomedes,Diomedes,-,,
 15539 (2000 CN3),0.1571,0.0313,0.4444,9.82385037672053,69.1475590285909,0.082,0.145,0.145,18.3437214720036,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 18263 Anchialos (5167 T-2),0.1174,0.0346,0.207,8.14505703074836,54.94637819099221,0.129,0.257,0.257,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 21601 (1998 XO89),0.1521,0.0532,0.3006,9.61306097682861,62.591013533443295,0.064,0.137,0.14,17.8123074965714,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 43706 Iphiklos (1416 T-2),0.1144,0.0567,0.2283,8.803355315984357,56.7271752187638,0.069,?,?,?,0.709999999999997,1.77,0.5,0.189999999999998,0.190000000000001,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 53436 (1999 VB154),0.1521,0.0339,0.2955,13.257309450134699,72.20468364313041,0.073,0.145,0.145,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 65228 (2002 EH58),0.1396,0.033,0.3259,13.6058105402015,72.1712906058368,0.037,?,?,?,?,?,?,?,?,0.34128725,0.506642,?,4,GreaterDiomedes,Diomedes,-,,
 83977 (2002 CE89),0.1223,0.0487,0.149,8.42191399373395,54.6619093027246,?,?,?,?,0.75,1.38,0.530000000000001,0.190000000000001,0.069999999999997,?,?,?,4,GreaterDiomedes,Diomedes,-,,
