full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2148 Epeios (1976 UW),0.0224,0.024,0.1552,0.359393808794536,11.338766046802098,0.064,0.128,0.128,18.8369452993266,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
  5283 Pyrrhus (1989 BW),0.0102,0.1013,0.2797,0.5893317939705369,8.888307492574778,0.1,0.158,0.117,18.0095096678067,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,Neg,Bendjoya2004
 12921 (1998 WZ5),0.0343,0.0451,0.2112,0.429658084496182,12.5219376402658,0.074,0.113,0.113,?,?,?,?,?,?,0.303815,0.4252175,?,4,GreaterAchilles,Epeios,-,X,Fornasier2008
 13385 (1998 XO79),0.03,0.079,0.2302,0.8524920399697041,13.8386696345347,0.071,0.14,0.14,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
 24519 (2001 CH),0.0167,0.0763,0.2403,0.27163316947349603,9.70305696007577,0.064,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
 37710 (1996 RD12),0.0314,0.0336,0.1708,0.08505683991771901,10.2278504485463,?,?,?,?,0.82,1.16,0.609999999999999,0.189999999999998,0.080000000000002,?,?,?,4,GreaterAchilles,Epeios,-,,
 38610 (2000 AU45),0.0268,0.0625,0.266,0.116863500652286,9.460212791190491,0.061,0.123,0.123,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
 65111 (2002 CG40),0.0216,0.0656,0.2734,0.015148044847095,7.302835423402429,0.088,?,?,?,?,?,?,?,?,0.3802185,0.5576995,?,4,GreaterAchilles,Epeios,-,,
168364 (1996 TZ19),0.0247,0.0847,0.17800000000000002,0.789894368114211,10.120439288641,?,?,?,?,0.790000000000001,1.25,0.574999999999999,0.185000000000001,0.045,?,?,?,4,GreaterAchilles,Epeios,-,,
312638 (2010 AP111),0.0194,0.0371,0.2451,0.082703212407857,11.7901930142085,0.06,?,?,?,?,?,?,?,?,0.315618,0.4832775,0.3213225,4,GreaterAchilles,Epeios,-,,
