full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   588 Achilles (1906 TG),0.0314,0.1036,0.1969,1.73969180020553,17.5736147726714,0.043,0.129,0.066,16.3754912945836,?,?,?,?,?,0.3955895,0.641102,?,4,GreaterAchilles,Achilles,-,,
  2148 Epeios (1976 UW),0.0224,0.024,0.1552,0.359393808794536,11.338766046802098,0.064,0.128,0.128,18.8369452993266,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
  3564 Talthybius (1985 TC1),0.0446,0.0844,0.2645,0.826985305414212,18.2874091988487,0.062,0.131,0.15,16.9996930316375,0.76,1.61,0.555000000000002,0.19,0.050000000000001,?,?,?,4,GreaterAchilles,-,-,D,Hasselmann2012
  3794 Sthenelos (1985 TF3),0.02,0.125,0.1177,2.15580375282714,12.5825424384838,0.112,0.132,0.132,18.8342105037388,?,?,?,?,?,?,?,?,4,GreaterAchilles,Achilles,-,,
  5259 Epeigeus (1989 BB1),0.0302,0.1197,0.2578,1.46117578477745,16.503934818127803,0.073,0.127,0.127,17.9468973757597,0.829999999999998,1.44,0.620000000000001,0.300000000000001,0.140000000000001,?,?,?,4,GreaterAchilles,Achilles,-,D,Hasselmann2012
  5283 Pyrrhus (1989 BW),0.0102,0.1013,0.2797,0.5893317939705369,8.888307492574778,0.1,0.158,0.117,18.0095096678067,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,Neg,Bendjoya2004
 11395 (1998 XN77),0.0067,0.0928,0.4176,-0.234767047939158,5.7799933300202575,0.045,0.071,0.039,17.6639092553107,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 12921 (1998 WZ5),0.0343,0.0451,0.2112,0.429658084496182,12.5219376402658,0.074,0.113,0.113,?,?,?,?,?,?,0.303815,0.4252175,?,4,GreaterAchilles,Epeios,-,X,Fornasier2008
 13385 (1998 XO79),0.03,0.079,0.2302,0.8524920399697041,13.8386696345347,0.071,0.14,0.14,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
 15527 (1999 YY2),0.0103,0.1673,0.3537,1.96923227586989,4.92918112728501,0.07,0.142,0.142,19.0604692805484,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 21284 Pandion (1996 TC51),0.0484,0.0919,0.1219,1.9121066068586101,18.7682907708914,0.065,0.141,0.141,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,-,-,,
 23075 (1999 XV83),0.0334,0.1269,0.2245,1.8471640489058403,13.2715466116911,0.074,0.146,0.199,?,0.819999999999997,1.38,0.609999999999999,0.300000000000001,0.130000000000003,?,?,?,4,GreaterAchilles,Achilles,-,,
 23480 (1991 EL),0.0184,0.1461,0.4044,0.902592678988412,9.09280337659482,0.084,0.168,0.168,?,?,?,?,?,?,0.377524,0.5798735,?,4,GreaterAchilles,1991EL,-,,
 24312 (1999 YO22),0.0425,0.1091,0.2704,1.37718242715218,18.4353292751933,0.068,0.136,0.136,?,1.275,0.875000000000002,1.045,0.279999999999999,0.169999999999998,?,?,?,4,GreaterAchilles,1991EL,-,,
 24486 (2000 YR102),0.0299,0.0995,0.1453,1.6049685517922199,14.5400123459804,0.064,0.138,0.138,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,-,-,,
 24519 (2001 CH),0.0167,0.0763,0.2403,0.27163316947349603,9.70305696007577,0.064,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
 25895 (2000 XN9),0.0128,0.1241,0.3502,0.518465719783784,9.038193905269619,0.064,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 33822 (2000 AA231),0.0266,0.1433,0.2782,1.9945480710356496,13.2062546680828,?,?,?,?,0.835000000000001,1.38,0.614999999999998,0.220000000000001,0.209999999999999,?,?,?,4,GreaterAchilles,Achilles,-,,
 36267 (1999 XB211),0.0277,0.1144,0.3566,0.699172546110972,14.7908782523697,0.06,0.147,0.147,18.6074863702136,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 37710 (1996 RD12),0.0314,0.0336,0.1708,0.08505683991771901,10.2278504485463,?,?,?,?,0.82,1.16,0.609999999999999,0.189999999999998,0.080000000000002,?,?,?,4,GreaterAchilles,Epeios,-,,
 38610 (2000 AU45),0.0268,0.0625,0.266,0.116863500652286,9.460212791190491,0.061,0.123,0.123,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
 38619 (2000 AW183),0.0295,0.1136,0.22899999999999998,1.82913526987816,15.986535882750301,0.088,0.175,0.175,?,0.863333333333333,1.44333333333333,0.646666666666667,0.226666666666668,0.103333333333333,?,?,?,4,GreaterAchilles,Achilles,-,,
 42187 (2001 CS32),0.021,0.0819,0.4127,-0.842513898679492,8.75312953145189,0.033,0.066,0.066,?,?,?,?,?,?,?,?,?,4,GreaterAchilles,1991EL,-,,
 55571 (2002 CP82),0.0265,0.12,0.1941,1.93169680683636,15.252506667084901,0.157,0.314,0.314,?,0.765000000000001,1.435,0.550000000000001,0.194999999999999,0.07,?,?,?,4,GreaterAchilles,Achilles,-,,
 63265 (2001 CP12),0.0265,0.0947,0.1196,1.47483814260961,14.9670097123021,0.062,?,?,?,0.799999999999997,1.51,0.59,0.25,0.199999999999999,?,?,?,4,GreaterAchilles,-,-,D,Hasselmann2012
