full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1404 Ajax (1936 QW),0.0917,0.076,0.3274,3.51784742468921,38.7861707440078,0.048,0.085,0.054,17.5628785735148,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
  3548 Eurybates (1973 SO),0.09,0.0437,0.1291,4.77418081928545,41.0772001820708,0.052,0.079,0.067,17.7997850616839,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
  4086 Podalirius (1985 VK2),0.0957,0.0793,0.3542,4.24483636146555,43.7378254492163,0.05,0.126,0.084,17.3471714791967,0.893333333333334,1.61333333333333,0.676666666666667,0.156666666666667,0.006666666666665,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
  5258 (1989 AU1),0.0813,0.0589,0.1224,3.40362784214686,33.0798497951565,0.052,0.111,0.111,17.7380065205669,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,AniusSub,DX,Bendjoya2004
  7119 Hiera (1989 AV2),0.0951,0.065,0.353,4.0716406937271605,42.0514574957606,0.067,0.148,0.148,17.6737119762824,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
  8060 Anius (1973 SD1),0.0841,0.0605,0.1273,4.46951325794828,38.7208713839733,0.059,0.087,0.087,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,AniusSub,,
  9431 (1996 PS1),0.0908,0.0613,0.3655,4.22607239186398,42.6973271178649,0.076,0.174,0.174,18.6538428906096,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
  9857 (1991 EN),0.0863,0.0693,0.3588,3.9354700455475013,41.5797794898492,0.06,0.09,0.09,18.0829757553069,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
 12917 (1998 TG16),0.0851,0.0506,0.21100000000000002,3.5543771677087794,36.0865220155316,0.089,0.249,0.249,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,AniusSub,D,Fornasier2007
 18060 (1999 XJ156),0.0844,0.0447,0.1291,4.14534968818957,37.4731510808488,0.053,0.106,0.106,?,0.699999999999999,1.69,0.48,0.210000000000001,0.059999999999999,?,?,?,4,GreaterAjax,Eurybates,AniusSub,X,Fornasier2007
 23135 (2000 AN146),0.0975,0.0693,0.32,4.8531940480207405,43.69582014116049,0.044,0.058,0.058,17.7741063007107,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
 24380 (2000 AA160),0.0864,0.044000000000000004,0.1279,4.069772594529439,37.7763461386816,0.064,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 24403 (2000 AX193),0.0935,0.0342,0.3679,3.57507946572345,41.8766963322236,0.074,0.148,0.148,?,0.870000000000001,1.53,0.649999999999999,0.23,0.25,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
 25911 (2001 BC76),0.094,0.0397,0.3716,3.7614114074381813,41.7969500454768,0.135,0.271,0.271,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,HieraSub,,
 28958 (2001 CQ42),0.0875,0.045,0.1292,3.69648796899225,36.2122265976326,0.066,0.132,0.132,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 39285 (2001 BP75),0.0874,0.0472,0.129,4.84208112461343,40.7688488791284,0.063,0.125,0.125,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 39793 (1997 SZ23),0.076,0.0505,0.2552,3.03109256754834,35.5135184705943,0.109,?,?,?,?,?,?,?,?,0.284522,0.882658,?,4,GreaterAjax,Eurybates,EurybatesSub,,
 42367 (2002 CQ134),0.1088,0.0603,0.485,5.506332466925301,53.1192472127899,0.068,0.143,0.143,?,0.859999999999999,1.53,0.640000000000001,0.239999999999998,0.140000000000001,?,?,?,4,GreaterAjax,Ajax,2002cq134Sub,,
 42554 (1996 RJ28),0.0848,0.0669,0.295,3.67758176560515,38.152284518422704,0.059,0.118,0.118,?,0.869999999999997,1.3,0.640000000000001,0.219999999999999,0.120000000000001,?,?,?,4,GreaterAjax,Eurybates,-,,
 55568 (2002 CU15),0.0785,0.0497,0.4215,2.23627825072338,39.0400921622289,0.064,0.128,0.128,?,0.869999999999997,1.51,0.650000000000002,0.289999999999999,0.170000000000002,?,?,?,4,GreaterAjax,Eurybates,-,,
 55578 (2002 GK105),0.106,0.0624,0.3385,4.62322414390538,46.4117894452907,0.11,0.22,0.22,?,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,2002cq134Sub,,
100619 (1997 TK14),0.075,0.077,0.3074,3.22334933591132,35.479563150027296,?,?,?,?,?,?,?,?,?,0.4956535,0.4973985,0.226782,4,GreaterAjax,-,-,,
111932 (2002 GG33),0.0739,0.0539,0.1617,3.32795249268698,34.0259050595712,?,?,?,?,0.885,1.46,0.665000000000001,0.234999999999998,0.15,?,?,?,4,GreaterAjax,Eurybates,AniusSub,,
137879 (2000 AJ114),0.0787,0.0444,0.2373,2.88518573524871,33.649042822112996,0.06,?,?,?,0.870000000000001,1.56,0.66,0.210000000000001,0.190000000000001,?,?,?,4,GreaterAjax,Eurybates,EurybatesSub,,
207749 (2007 RC286),0.0963,0.0664,0.4316,4.22997582328239,45.25787756173101,0.07,?,?,?,?,?,?,?,?,0.469093,0.711586,?,4,GreaterAjax,Ajax,2002cq134Sub,,
312457 (2008 QH42),0.0854,0.0529,0.2668,3.22409422548252,35.6128594996664,0.063,?,?,?,?,?,?,?,?,0.492421666666,0.926592666667,?,4,GreaterAjax,Eurybates,EurybatesSub,,
315208 (2007 RS22),0.0885,0.0401,0.2507,3.89551089127906,39.44019739751421,0.061,?,?,?,?,?,?,?,?,0.522458,0.877977,?,4,GreaterAjax,Eurybates,EurybatesSub,,
316158 (2009 UW26),0.0887,0.0599,0.4778,3.15136882980271,42.7310867611034,0.071,?,?,?,?,?,?,?,?,0.494448666666,0.6081425,?,4,GreaterAjax,Ajax,2002cq134Sub,,
316550 (2010 XE81),0.07200000000000001,0.0535,0.385,2.43938092291375,35.8305288304562,?,?,?,?,?,?,?,?,?,0.3489265,0.661344,?,4,GreaterAjax,Eurybates,-,,
