full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1437 Diomedes (1937 PB),11.0,2.0,6.0,9.0,11.0,3.0,1.0,2.0,3.0,?,?,?,?,?,?,?,?,4,"(0.125, 0.136]",0.125,0.136,"(0.0284, 0.0408]",0.0284,0.0408,"(0.334, 0.387]",0.33399999999999996,0.387,"(8.417, 9.748]",8.417,9.748,"(59.99, 65.188]",59.99,65.188,"(0.06, 0.0717]",0.06,0.0717,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,"(15.93, 16.202]",15.93,16.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  1869 Philoctetes (4596 P-L),9.0,4.0,0.0,6.0,7.0,6.0,6.0,7.0,?,?,?,?,?,?,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0102, 0.0648]",0.0102,0.0648,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.202, 0.226]",0.202,0.226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
  3391 Sinon (1977 DD3),8.0,3.0,4.0,4.0,6.0,5.0,5.0,6.0,11.0,?,?,?,?,?,6.0,3.0,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(33.996, 39.195]",33.996,39.195,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.429, 0.549]",0.429,0.5489999999999999,-,-,-,GreaterDiomedes,-,-,,
  4543 Phoinix (1989 CQ1),10.0,4.0,4.0,9.0,10.0,2.0,3.0,3.0,9.0,?,?,?,?,?,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0532, 0.0655]",0.0532,0.0655,"(0.226, 0.28]",0.226,0.28,"(8.417, 9.748]",8.417,9.748,"(54.791, 59.99]",54.791000000000004,59.99,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
  5041 Theotes (1973 SW1),7.0,3.0,3.0,6.0,7.0,2.0,2.0,3.0,12.0,4.0,10.0,4.0,6.0,8.0,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.172, 0.226]",0.172,0.226,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(18.381, 18.653]",18.381,18.653,"(0.787, 0.857]",0.787,0.857,"(1.737, 1.847]",1.737,1.847,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.201, 0.223]",0.201,0.223,"(-0.0167, 0.05]",-0.0167,0.05,-,-,-,-,-,-,-,-,-,GreaterDiomedes,-,-,,
  5209 (1989 CW1),9.0,1.0,3.0,8.0,9.0,3.0,3.0,5.0,11.0,7.0,7.0,7.0,8.0,8.0,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0161, 0.0284]",0.0161,0.0284,"(0.172, 0.226]",0.172,0.226,"(7.087, 8.417]",7.0870000000000015,8.417,"(49.592, 54.791]",49.592,54.791000000000004,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.152, 0.177]",0.152,0.177,"(18.108, 18.381]",18.108,18.381,"(0.995, 1.065]",0.995,1.065,"(1.405, 1.515]",1.405,1.515,"(0.767, 0.833]",0.767,0.833,"(0.245, 0.267]",0.245,0.267,"(-0.0167, 0.05]",-0.0167,0.05,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Diomedes,-,,
  7214 Anticlus (1973 SM1),9.0,0.0,4.0,7.0,9.0,7.0,7.0,7.0,?,3.0,7.0,3.0,4.0,9.0,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.00351, 0.0161]",0.00351,0.0161,"(0.226, 0.28]",0.226,0.28,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(49.592, 54.791]",49.592,54.791000000000004,"(0.107, 0.118]",0.107,0.118,"(0.217, 0.239]",0.217,0.239,"(0.202, 0.226]",0.202,0.226,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
  8125 Tyndareus (5493 T-2),9.0,3.0,4.0,7.0,9.0,8.0,8.0,9.0,13.0,?,?,?,?,?,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(49.592, 54.791]",49.592,54.791000000000004,"(0.118, 0.13]",0.118,0.13,"(0.239, 0.262]",0.239,0.262,"(0.251, 0.276]",0.251,0.276,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,-,-,,
  8241 Agrius (1973 SE1),8.0,7.0,1.0,7.0,8.0,5.0,5.0,5.0,?,3.0,7.0,3.0,4.0,10.0,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(44.393, 49.592]",44.393,49.592,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,AndraimonSub,,
  9590 (1991 DK1),9.0,6.0,1.0,7.0,8.0,?,?,?,?,2.0,7.0,3.0,7.0,10.0,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0779, 0.0903]",0.0779,0.0903,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(44.393, 49.592]",44.393,49.592,-,-,-,-,-,-,-,-,-,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,AndraimonSub,D,Hasselmann2012
