full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1437 Diomedes (1937 PB),0.1282,0.0314,0.3726,8.5240310823729,60.6210685366075,0.061,0.087,0.083,16.1685122916254,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  1869 Philoctetes (4596 P-L),0.1025,0.0614,0.0599,5.13185489282772,41.2018453926555,0.104,0.208,0.208,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
  3391 Sinon (1977 DD3),0.0924,0.0432,0.2728,3.08083799131148,36.7496116954262,0.093,0.187,0.187,18.2889552378987,?,?,?,?,?,0.308643,0.5330925,?,4,GreaterDiomedes,-,-,,
  4543 Phoinix (1989 CQ1),0.1222,0.0588,0.275,9.17375674825286,58.9712117294201,0.057,0.129,0.111,17.7212862095594,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,,
  5041 Theotes (1973 SW1),0.0901,0.0451,0.1777,4.61022687477936,41.457856989907604,0.058,0.116,0.116,18.5885575465097,0.809999999999999,1.77,0.599999999999998,0.210000000000001,0.030000000000001,?,?,?,4,GreaterDiomedes,-,-,,
  5209 (1989 CW1),0.113,0.0284,0.177,7.4972139410812595,52.3029568481357,0.069,0.145,0.16,18.1365736588638,1.01,1.45,0.789999999999999,0.25,0,?,?,?,4,GreaterDiomedes,Diomedes,-,,
  7214 Anticlus (1973 SM1),0.1097,0.013999999999999999,0.2345,6.8768216659886905,50.73186910524221,0.111,0.222,0.222,?,0.739999999999998,1.51,0.530000000000001,0.169999999999998,0.100000000000001,?,?,?,4,GreaterDiomedes,Lycomedes,-,,
  8125 Tyndareus (5493 T-2),0.1047,0.0414,0.2461,6.46671592529958,49.7568615606683,0.126,0.253,0.253,18.731323883296,?,?,?,?,?,?,?,?,4,GreaterDiomedes,-,-,,
  8241 Agrius (1973 SE1),0.0968,0.0926,0.0734,6.654594284831821,45.19496477254889,0.087,0.174,0.174,?,0.75,1.44,0.539999999999999,0.169999999999998,0.120000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
  9590 (1991 DK1),0.1056,0.083,0.1106,7.0220971257279805,47.5735551172077,?,?,?,?,0.710000000000001,1.49,0.5,0.240000000000002,0.169999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,D,Hasselmann2012
  9694 Lycomedes (6581 P-L),0.1411,0.0103,0.0955,11.090089770324301,62.7090127218466,0.101,0.22,0.22,18.3569026050355,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Lycomedes,-,,
