full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   659 Nestor (1908 CS),4.0,10.0,1.0,5.0,3.0,0.0,0.0,1.0,5.0,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.127, 0.14]",0.127,0.14,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(3.096, 4.427]",3.096,4.427,"(18.4, 23.599]",18.4,23.599,"(0.0248, 0.0367]",0.0248,0.0367,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0528, 0.0776]",0.0528,0.0776,"(16.475, 16.747]",16.475,16.747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterNestor,Nestor,-,,
  3540 Protesilaos (1973 UF5),6.0,9.0,7.0,4.0,6.0,3.0,3.0,4.0,7.0,?,?,?,?,?,?,?,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.115, 0.127]",0.115,0.127,"(0.387, 0.441]",0.387,0.441,"(1.766, 3.096]",1.766,3.096,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.019, 17.291]",17.019000000000002,17.291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterNestor,-,-,,
  4057 Demophon (1985 TQ),5.0,6.0,0.0,4.0,3.0,4.0,2.0,3.0,11.0,6.0,9.0,6.0,8.0,9.0,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0779, 0.0903]",0.0779,0.0903,"(0.0102, 0.0648]",0.0102,0.0648,"(1.766, 3.096]",1.766,3.096,"(18.4, 23.599]",18.4,23.599,"(0.0717, 0.0833]",0.0717,0.0833,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(18.108, 18.381]",18.108,18.381,"(0.926, 0.995]",0.926,0.995,"(1.626, 1.737]",1.626,1.737,"(0.7, 0.767]",0.7,0.767,"(0.245, 0.267]",0.245,0.267,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterNestor,Eurymedon,-,,
  4060 Deipylos (1987 YT1),4.0,10.0,4.0,4.0,3.0,1.0,0.0,1.0,7.0,6.0,9.0,6.0,5.0,6.0,4.0,3.0,4.0,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.127, 0.14]",0.127,0.14,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(18.4, 23.599]",18.4,23.599,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0528, 0.0776]",0.0528,0.0776,"(17.019, 17.291]",17.019000000000002,17.291,"(0.926, 0.995]",0.926,0.995,"(1.626, 1.737]",1.626,1.737,"(0.7, 0.767]",0.7,0.767,"(0.179, 0.201]",0.179,0.201,"(-0.15, -0.0833]",-0.15,-0.0833,"(0.21, 0.257]",0.21,0.257,"(0.429, 0.549]",0.429,0.5489999999999999,"(0.0753, 0.177]",0.0753,0.177,GreaterNestor,Nestor,-,C,Bendjoya2004
  5012 Eurymedon (9507 P-L),5.0,5.0,1.0,4.0,4.0,4.0,2.0,3.0,13.0,3.0,9.0,3.0,4.0,9.0,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0655, 0.0779]",0.0655,0.0779,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0717, 0.0833]",0.0717,0.0833,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(18.653, 18.925]",18.653,18.925,"(0.718, 0.787]",0.718,0.787,"(1.626, 1.737]",1.626,1.737,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterNestor,Eurymedon,-,C,Hasselmann2012
 11668 Balios (1997 VV1),5.0,8.0,1.0,5.0,4.0,4.0,4.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(3.096, 4.427]",3.096,4.427,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterNestor,-,-,,
 12972 Eumaios (1973 SF1),5.0,10.0,2.0,5.0,5.0,5.0,4.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.127, 0.14]",0.127,0.14,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0833, 0.095]",0.0833,0.095,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterNestor,-,-,,
 13060 (1991 EJ),5.0,7.0,7.0,4.0,5.0,3.0,3.0,4.0,13.0,?,?,?,?,?,6.0,4.0,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.387, 0.441]",0.387,0.441,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,GreaterNestor,-,-,,
 13182 (1996 SO8),4.0,7.0,1.0,4.0,3.0,6.0,4.0,5.0,13.0,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(1.766, 3.096]",1.766,3.096,"(18.4, 23.599]",18.4,23.599,"(0.095, 0.107]",0.095,0.107,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterNestor,Eurymedon,-,,
 15033 (1998 VY29),3.0,12.0,3.0,5.0,3.0,6.0,6.0,4.0,14.0,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.152, 0.164]",0.152,0.16399999999999998,"(0.172, 0.226]",0.172,0.226,"(3.096, 4.427]",3.096,4.427,"(18.4, 23.599]",18.4,23.599,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.127, 0.152]",0.127,0.152,"(18.925, 19.197]",18.925,19.197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterNestor,Nestor,-,,
