full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   659 Nestor (1908 CS),0.0493,0.1366,0.0857,3.2466039515838903,22.224746816099,0.035,0.074,0.061,16.7279375368804,?,?,?,?,?,?,?,?,4,GreaterNestor,Nestor,-,,
  3540 Protesilaos (1973 UF5),0.0773,0.1201,0.3899,2.92702774808307,35.1732196869384,0.062,0.135,0.135,17.040173810062,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
  4057 Demophon (1985 TQ),0.0598,0.0811,0.05,1.95191755747148,22.3800342181729,0.077,0.115,0.115,18.1653083597347,0.93,1.65,0.710000000000001,0.260000000000002,0.09,?,?,?,4,GreaterNestor,Eurymedon,-,,
  4060 Deipylos (1987 YT1),0.0497,0.1293,0.2689,2.23951008458929,18.730481107457,0.043,0.077,0.054,17.0392690813557,0.951111111111111,1.69444444444444,0.734444444444444,0.2,-0.087777777777777,0.2414745,0.5467615,0.13682,4,GreaterNestor,Nestor,-,C,Bendjoya2004
  5012 Eurymedon (9507 P-L),0.061,0.0737,0.0805,2.22850276019245,24.14964912317561,0.082,0.111,0.111,18.7345363392502,0.739999999999998,1.66,0.52,0.16,0.109999999999999,?,?,?,4,GreaterNestor,Eurymedon,-,C,Hasselmann2012
 11668 Balios (1997 VV1),0.0661,0.1108,0.0805,3.55762634610493,28.2479209416854,0.08,0.16,0.16,?,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
 12972 Eumaios (1973 SF1),0.0628,0.1306,0.1352,4.2845322627234,30.0288678844018,0.084,0.168,0.168,?,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
 13060 (1991 EJ),0.067,0.1013,0.4114,2.09207008856301,31.476625066953602,0.071,0.132,0.132,18.8378169542295,?,?,?,?,?,0.3427935,0.566728,?,4,GreaterNestor,-,-,,
 13182 (1996 SO8),0.0539,0.0992,0.1098,2.2977403567005696,21.2036781453123,0.106,0.16,0.16,18.7859556515315,?,?,?,?,?,?,?,?,4,GreaterNestor,Eurymedon,-,,
 15033 (1998 VY29),0.0346,0.1596,0.2258,3.51274578639286,19.258024061083397,0.101,0.211,0.146,19.1058681747778,?,?,?,?,?,?,?,?,4,GreaterNestor,Nestor,-,,
 15521 (1999 XH133),0.0526,0.096,0.1881,2.12818858755081,23.776495305001998,0.082,0.164,0.164,?,?,?,?,?,?,?,?,?,4,GreaterNestor,Eurymedon,-,,
 15529 (2000 AA80),0.0544,0.0764,0.0842,2.04456155620242,22.434931603698306,0.198,0.395,0.395,?,?,?,?,?,?,?,?,?,4,GreaterNestor,Eurymedon,-,,
 20720 (1999 XP101),0.0802,0.102,0.2894,3.10485258793157,32.696302426553004,0.06,0.122,0.122,?,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
 22056 (2000 AU31),0.0933,0.1344,0.1299,7.641261223832999,45.53879318023021,0.066,?,?,?,0.830000000000002,1.27,0.620000000000001,0.25,0.080000000000002,?,?,?,4,GreaterNestor,-,-,,
 22059 (2000 AD75),0.0465,0.1268,0.146,3.2658174203023305,23.831492618484802,0.1,0.199,0.199,?,?,?,?,?,?,?,?,?,4,GreaterNestor,Nestor,-,,
 22203 Prothoenor (6020 P-L),0.0431,0.1464,0.0327,3.35001322243382,17.8333449454329,0.073,0.147,0.147,?,?,?,?,?,?,?,?,?,4,GreaterNestor,Nestor,-,,
 23152 (2000 CS8),0.0272,0.1054,0.1781,1.6850815508155,15.1154179567871,0.097,0.194,0.194,?,0.969999999999999,2.29,0.75,0.260000000000002,-0.150000000000002,?,?,?,4,GreaterNestor,Nestor,-,,
 23624 (1996 UX3),0.0709,0.1144,0.3489,3.57224877905277,34.0869740616821,0.06,0.119,0.119,?,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
 23968 (1998 XA13),0.0634,0.1289,0.1965,3.65518437143304,28.428997461995397,0.065,0.13,0.13,?,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
 24534 (2001 CX27),0.0723,0.1004,0.2194,3.6964415181862798,33.7484830302664,0.079,0.157,0.157,?,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
 41268 (1999 XO64),0.1,0.1514,0.2412,4.56510956461474,39.3945239992623,0.079,?,?,?,0.795999999999999,1.502,0.586000000000001,0.248,0.13,?,?,?,4,GreaterNestor,-,-,,
 60383 (2000 AR184),0.0786,0.099,0.2838,3.3053771504543104,33.1136890889064,0.063,0.126,0.126,?,0.789999999999999,1.62,0.59,0.259999999999998,0.200000000000003,?,?,?,4,GreaterNestor,-,-,D,Hasselmann2012
 63290 (2001 DS87),0.0805,0.102,0.0939,4.13073985818397,33.2293555420425,?,?,?,?,0.509999999999998,1.52,0.299999999999997,0.220000000000002,0.07,?,?,?,4,GreaterNestor,-,-,,
 83978 (2002 CC202),0.0614,0.1005,0.0568,2.97770183938621,26.2675911147787,0.051,?,?,?,0.789999999999999,1.26,0.579999999999998,0.260000000000002,0.07,?,?,?,4,GreaterNestor,-,-,,
168033 (2005 JJ143),0.047,0.1195,0.0801,2.63853678998532,18.397543931183602,0.072,?,?,?,0.689999999999998,1.63,0.48,0.190000000000001,0.07,?,?,?,4,GreaterNestor,Nestor,-,,
202752 (2007 PX30),0.0797,0.1263,0.3457,3.55735624875822,33.5686548453646,0.08,?,?,?,?,?,?,?,?,0.446972,0.351243,?,4,GreaterNestor,-,-,,
233925 (2009 UL2),0.0594,0.1067,0.2542,2.75837381767493,26.9508998868075,0.08,?,?,?,?,?,?,?,?,0.4557955,0.956392,?,4,GreaterNestor,Eurymedon,-,,
