full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1143 Odysseus (1930 BH),0.0481,0.0522,0.0691,1.1267352563413,17.3265569235909,0.05,0.146,0.131,16.1948864436993,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1647 Menelaus (1957 MK),0.0387,0.0588,0.1166,0.914780914491899,14.7348337634413,0.056,?,?,17.8843163625288,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
  5025 (1986 TS6),0.0247,0.028999999999999998,0.2016,-0.019315485298542,10.2106743113781,0.084,0.103,0.103,18.4351650952914,0.75,1.47,0.539999999999999,0.170000000000002,0.109999999999999,?,?,?,4,GreaterOdysseus,Odysseus,-,D,Bendjoya2004
  9713 Oceax (1973 SP1),0.0453,0.0334,0.0627,1.19226000322794,19.360439310096602,0.168,0.336,0.336,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 13372 (1998 VU6),0.0447,0.0254,0.1049,1.00345549057771,19.2675487913914,0.109,0.218,0.218,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 13463 Antiphos (5159 T-2),0.0674,0.0418,0.2004,2.66697383556389,31.7476458973915,0.1,0.2,0.2,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,-,-,X,Fornasier2009
 14690 (2000 AR25),0.0391,0.0453,0.0843,1.1616417752651,18.9773050654326,0.06,0.14,0.14,18.4869230544864,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 15535 (2000 AT177),0.0618,0.0486,0.2149,2.48398742780238,30.1574841930193,0.07,0.131,0.131,18.4911431422189,?,?,?,?,?,?,?,?,4,GreaterOdysseus,-,-,D,Fornasier2007
 21372 (1997 TM28),0.0355,0.0287,0.1916,0.44227463246447496,14.1686652645729,?,?,?,?,0.715000000000002,1.54,0.504999999999999,0.154999999999999,0.060000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,C,Hasselmann2012
 22009 (1999 XK77),0.0397,0.0248,0.0761,0.595821705868246,14.2388910040801,0.084,0.168,0.168,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 22052 (2000 AQ14),0.0612,0.0214,0.1841,1.37779331164786,24.4896940269383,0.084,0.167,0.167,?,0.77,1.4,0.550000000000001,0.219999999999999,0.050000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 22055 (2000 AS25),0.051,0.0698,0.1698,1.4118196922761002,21.0593698516763,0.069,0.139,0.139,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,-,-,,
 22404 (1995 ME4),0.0794,0.0727,0.1826,3.05264279153075,30.9968806570606,?,?,?,?,0.710000000000001,1.65,0.5,0.18,0.080000000000002,?,?,?,4,GreaterOdysseus,-,-,,
 23382 Epistrophos (4536 T-2),0.0421,0.0676,0.2527,1.25529583085734,20.588842019354104,0.058,?,?,?,0.749999999999998,1.44,0.545,0.26,0.175000000000001,?,?,?,4,GreaterOdysseus,Epistrophos,-,D,Hasselmann2012
 23706 (1997 SY32),0.0476,0.064,0.1165,1.2180091519383798,17.880145272966498,0.097,?,?,?,0.73,1.52,0.52,0.18,0.240000000000002,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 24485 (2000 YL102),0.0637,0.0639,0.2148,2.62163630377504,30.1287060641306,0.084,0.168,0.168,?,0.7575,1.5,0.545000000000001,0.182499999999998,0.085000000000001,?,?,?,4,GreaterOdysseus,-,-,X,Hasselmann2012
 24530 (2001 CP18),0.0684,0.0819,0.1839,3.5388267028810203,32.699693610779,0.073,0.145,0.145,?,?,?,?,?,?,0.285299,0.142185,?,4,GreaterOdysseus,-,-,,
 24882 (1996 RK30),0.0455,0.0267,0.1391,0.6946006548686869,17.304064229807402,0.133,0.266,0.266,?,0.745000000000003,1.52,0.534999999999998,0.180000000000002,0.065000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,X,Hasselmann2012
 36271 (2000 AV19),0.0487,0.0224,0.1837,0.6258700337428921,18.6032928330115,?,?,?,?,0.690000000000001,1.32,0.490000000000002,0.149999999999999,0.050000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 38614 (2000 AA113),0.0728,0.039,0.2771,2.1041016172856497,31.17642960268689,0.135,?,?,?,0.77,1.48,0.559999999999999,0.17,0.08,0.2857085,0.286745,?,4,GreaterOdysseus,-,-,,
 38621 (2000 AG201),0.0375,0.0425,0.22699999999999998,0.8859417320278171,19.271779340533303,?,?,?,?,0.73,1.35,0.52,0.239999999999998,0.010000000000002,?,?,?,4,GreaterOdysseus,Epistrophos,-,,
