full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1749 Telamon (1949 SB),0.0661,0.0685,0.1187,2.82237553762989,29.850577413641602,0.073,0.148,0.142,17.2545398339503,0.805,1.435,0.599999999999999,0.210000000000001,0.155,?,?,?,4,GreaterTelamon,Telamon,-,D,Hasselmann2012
  3063 Makhaon (1983 PV),0.0607,0.0558,0.2338,2.13174113203479,28.365797809657305,0.056,0.128,0.114,16.2286740141627,0.690000000000001,1.535,0.475,0.25,0.105,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,D,Lazzaro2004
  4007 Euryalos (1973 SR),0.0585,0.0157,0.1939,1.8678229793567198,27.993670896012894,0.065,0.134,0.134,18.3180465355168,?,?,?,?,?,?,?,?,4,GreaterTelamon,-,-,,
  4138 Kalchas (1973 SM),0.0567,0.044000000000000004,0.0485,2.3945591849631698,27.0343603564294,0.082,0.128,0.128,17.9655070332484,?,?,?,?,?,?,?,?,4,GreaterTelamon,Kalchas,-,X,Bendjoya2004
  5023 Agapenor (1985 TG3),0.0625,0.0295,0.225,1.5408142596638101,26.1734029448535,0.173,0.228,0.228,18.2106592772914,0.709999999999997,1.51,0.5,0.189999999999998,0.100000000000001,?,?,?,4,GreaterTelamon,Theoklymenos,-,X,Hasselmann2012
  5244 Amphilochos (1973 SQ1),0.0542,0.0563,0.1178,2.2788485210809903,26.1150843233352,0.091,0.155,0.155,18.3388800441286,?,?,?,?,?,?,?,?,4,GreaterTelamon,Telamon,-,,
  5652 Amphimachus (1992 HS3),0.0239,0.0524,0.0555,0.824061721221362,12.821846175515699,0.061,0.142,0.076,18.2370434980321,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
  7152 Euneus (1973 SH1),0.0533,0.0202,0.0431,1.8327134757471002,24.6912741858592,0.093,0.133,0.133,18.3649879323674,?,?,?,?,?,?,?,?,4,GreaterTelamon,Kalchas,-,X,Bendjoya2004
  7543 Prylis (1973 SY),0.07200000000000001,0.0312,0.2452,2.90339976307879,33.9242482149918,0.055,0.149,0.152,18.3096691482452,?,?,?,?,?,?,?,?,4,GreaterTelamon,Telamon,-,,
 10989 Dolios (1973 SL1),0.0474,0.0572,0.1832,1.78405497337389,23.6764757055389,0.115,0.231,0.231,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 11252 Laertes (1973 SA2),0.0695,0.0231,0.0814,2.6032881839825297,30.611172408825002,0.06,0.164,0.164,18.1527098533201,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 12714 Alkimos (1991 GX1),0.063,0.0259,0.1876,1.9264812554759896,27.7514239831872,0.07,0.148,0.148,18.1127242607763,?,?,?,?,?,?,?,?,4,GreaterTelamon,-,-,,
 13379 (1998 WX9),0.0663,0.0191,0.0635,2.7843092103958305,31.290392910286396,0.107,0.214,0.214,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 16974 (1998 WR21),0.049,0.0574,0.2766,0.9650986944258341,20.590014026865106,0.065,0.126,0.088,17.8248921245896,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
 17351 Pheidippos (1973 SV),0.0473,0.0546,0.2681,0.951696111121798,22.372853292366198,0.071,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
 20144 (1996 RA33),0.0193,0.0547,0.157,0.341680335164291,10.6620396692241,0.071,0.141,0.141,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 21370 (1997 TB28),0.0579,0.06,0.1143,2.4301662665586803,27.7862142295651,0.052,0.104,0.104,?,0.779999999999998,1.4,0.57,0.18,0.23,?,?,?,4,GreaterTelamon,Telamon,-,,
 22008 (1999 XM71),0.0777,0.0387,0.0522,3.17494571555468,32.8756128195028,0.072,0.143,0.143,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Kalchas,-,,
 24225 (1999 XV80),0.0534,0.0348,0.1715,1.50564341207937,24.892173614649305,0.189,0.378,0.378,?,0.699999999999999,1.51,0.490000000000002,0.18,0.129999999999999,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 24390 (2000 AD177),0.052000000000000005,0.0475,0.2031,1.00054053672746,19.6584693133512,0.069,0.138,0.138,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,D,Fornasier2007
 24498 (2001 AC25),0.0534,0.0464,0.2161,1.0132567744537702,20.0729987546383,?,?,?,?,0.66,1.52,0.440000000000001,0.199999999999999,0.07,0.28863,0.5366925,?,4,GreaterTelamon,Theoklymenos,-,,
 24508 (2001 BL26),0.0789,0.0326,0.0203,2.67242385300579,30.4245284133742,?,?,?,?,0.75,1.65,0.540000000000003,0.169999999999998,0.120000000000001,?,?,?,4,GreaterTelamon,Kalchas,-,,
 38052 (1998 XA7),0.0699,0.0179,0.0236,2.04045358757237,26.685987145632897,?,?,?,?,0.690000000000001,1.48,0.489999999999998,0.18,-0.02,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 38600 (1999 XR213),0.0624,0.0334,0.1502,1.67311512689581,25.377175187557807,0.076,0.152,0.152,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 39264 (2000 YQ139),0.0615,0.0294,0.3188,1.4809729380703798,27.1701868958838,0.072,0.144,0.144,18.952919606626,0.780000000000001,1.42,0.560000000000002,0.34,0.149999999999999,?,?,?,4,GreaterTelamon,-,-,,
 39278 (2001 BK9),0.0673,0.033,0.1007,1.7464404777269795,25.338174820454697,0.091,?,?,?,0.690000000000001,1.41,0.48,0.23,0.09,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 65000 (2002 AV63),0.0662,0.0563,0.3292,2.1954230062713997,32.258293231683695,0.056,?,?,?,0.770000000000001,1.43,0.554999999999998,0.24,0.15,?,?,?,4,GreaterTelamon,Telamon,-,,
 65583 Theoklymenos (4646 T-2),0.0239,0.0499,0.1276,0.53235943043083,13.090817634709301,?,?,?,?,0.700000000000003,1.51,0.490000000000002,0.300000000000001,0.099999999999998,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 89871 (2002 CU143),0.053,0.0364,0.179,1.52111159795002,23.8510906516133,?,?,?,?,0.856666666666667,1.57666666666667,0.636666666666668,0.276666666666666,0.140000000000001,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 89924 (2002 ED51),0.0686,0.0401,0.028999999999999998,2.05025242832293,26.0827182259595,0.046,?,?,?,0.850000000000001,1.465,0.635,0.225,0.129999999999999,?,?,?,4,GreaterTelamon,Kalchas,-,,
136557 Neleus (5214 T-2),0.0591,0.0183,0.1958,1.8545541668645,27.0604209594409,?,?,?,?,0.739999999999998,1.44,0.530000000000001,0.219999999999999,0.18,?,?,?,4,GreaterTelamon,-,-,,
162811 (2001 AG51),0.0688,0.0076,0.08199999999999999,2.43215805386001,29.450965728644398,?,?,?,?,0.75,1.41,0.539999999999999,0.18,0.080000000000002,?,?,?,4,GreaterTelamon,-,-,,
163155 (2002 CL130),0.0604,0.0245,0.0726,2.3056682617447795,27.891131367378698,0.105,?,?,?,0.77,1.515,0.560000000000001,0.179999999999998,0.120000000000001,?,?,?,4,GreaterTelamon,Kalchas,-,,
204911 (2008 QE5),0.0584,0.0528,0.2534,2.06359076576435,28.317035356307894,0.07,?,?,?,?,?,?,?,?,0.265557,0.522048,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
243484 (2009 TA23),0.0649,0.0324,0.2205,1.610649014535,25.7606468616202,0.071,?,?,?,?,?,?,?,?,0.24787,0.469065,?,4,GreaterTelamon,Theoklymenos,-,,
