full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  5028 Halaesus (1988 BY1),4.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,12.0,4.0,6.0,4.0,7.0,10.0,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0779, 0.0903]",0.0779,0.0903,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(18.381, 18.653]",18.381,18.653,"(0.787, 0.857]",0.787,0.857,"(1.294, 1.405]",1.294,1.405,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Halaesus,-,D,Hasselmann2012
 13183 (1996 TW),3.0,9.0,5.0,3.0,3.0,2.0,2.0,3.0,12.0,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.115, 0.127]",0.115,0.127,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(18.381, 18.653]",18.381,18.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
 20428 (1998 WG20),4.0,7.0,6.0,3.0,3.0,5.0,4.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0833, 0.095]",0.0833,0.095,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
 23119 (2000 AP33),4.0,8.0,6.0,3.0,3.0,2.0,2.0,3.0,?,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
 37297 (2001 BQ77),4.0,6.0,6.0,3.0,3.0,3.0,2.0,3.0,?,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0779, 0.0903]",0.0779,0.0903,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.06, 0.0717]",0.06,0.0717,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
 39369 (2002 CE13),4.0,8.0,5.0,3.0,4.0,2.0,2.0,3.0,?,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
 90337 (2003 FQ97),2.0,8.0,6.0,3.0,1.0,2.0,2.0,3.0,?,?,?,?,?,?,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
160135 (2000 YB131),4.0,7.0,5.0,3.0,4.0,?,?,?,?,4.0,7.0,4.0,9.0,10.0,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,-,-,-,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.267, 0.29]",0.267,0.29,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Halaesus,-,,
190268 (2007 XU3),5.0,6.0,5.0,4.0,4.0,2.0,?,?,?,?,?,?,?,?,4.0,3.0,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0779, 0.0903]",0.0779,0.0903,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.21, 0.257]",0.21,0.257,"(0.429, 0.549]",0.429,0.5489999999999999,-,-,-,-,Halaesus,-,,
257405 (2009 SG330),2.0,7.0,6.0,3.0,3.0,?,?,?,?,?,?,?,?,?,8.0,4.0,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.398, 0.445]",0.398,0.445,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,-,Halaesus,-,,
