full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  5028 Halaesus (1988 BY1),0.0521,0.0841,0.3551,0.6531658857482161,21.6820119951028,0.057,0.13,0.123,18.506227047521,0.82,1.38,0.599999999999998,0.240000000000002,0.140000000000001,?,?,?,4,-,Halaesus,-,D,Hasselmann2012
 13183 (1996 TW),0.0417,0.1195,0.3095,1.61335410718969,21.0255562979015,0.059,0.115,0.115,18.5664111022036,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
 20428 (1998 WG20),0.0495,0.1021,0.3466,0.8694319710813259,20.361360712552,0.095,0.158,0.158,?,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
 23119 (2000 AP33),0.0524,0.1032,0.3375,1.4016802295557702,22.8745213068318,0.059,0.105,0.105,?,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
 37297 (2001 BQ77),0.0513,0.0849,0.3747,1.1140324025880601,23.4470026177638,0.061,0.123,0.123,?,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
 39369 (2002 CE13),0.0465,0.1087,0.3188,1.63182278296958,23.7508448873165,0.058,0.116,0.116,?,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
 90337 (2003 FQ97),0.0291,0.1117,0.3492,0.782446943505171,12.4690173171048,0.051,0.103,0.103,?,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
160135 (2000 YB131),0.0529,0.0903,0.3194,1.5334072433672699,24.6737732196277,?,?,?,?,0.843333333333334,1.42666666666667,0.629999999999999,0.276666666666666,0.126666666666666,?,?,?,4,-,Halaesus,-,,
190268 (2007 XU3),0.0588,0.0806,0.3193,2.16606189714111,28.445281453826603,0.057,?,?,?,?,?,?,?,?,0.22688725,0.4842285,?,4,-,Halaesus,-,,
257405 (2009 SG330),0.0327,0.0971,0.3686,1.04024493886528,19.270248584809803,?,?,?,?,?,?,?,?,?,0.423583,0.5770775,?,4,-,Halaesus,-,,
