full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  5123 (1989 BL),2.0,5.0,2.0,3.0,1.0,8.0,5.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0655, 0.0779]",0.0655,0.0779,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.118, 0.13]",0.118,0.13,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
  5436 Eumelos (1990 DK),0.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,11.0,?,?,?,?,?,?,?,?,4,"(0.000442, 0.0119]",0.000442,0.0119,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
  9712 Nauplius (1973 SO1),1.0,6.0,2.0,3.0,0.0,4.0,2.0,3.0,?,?,?,?,?,?,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0779, 0.0903]",0.0779,0.0903,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.0717, 0.0833]",0.0717,0.0833,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
  9807 (1997 SJ4),0.0,8.0,1.0,3.0,0.0,5.0,5.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.000442, 0.0119]",0.000442,0.0119,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
 12974 Halitherses (1973 SB2),2.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
 13362 (1998 UQ16),4.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,?,4.0,6.0,4.0,8.0,10.0,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0532, 0.0655]",0.0532,0.0655,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.294, 1.405]",1.294,1.405,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Halitherses,-,D,Hasselmann2012
 13366 (1998 US24),1.0,4.0,1.0,3.0,0.0,2.0,5.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.0483, 0.06]",0.0483,0.06,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
 13387 Irus (1998 YW6),2.0,6.0,2.0,3.0,1.0,5.0,?,?,?,4.0,7.0,4.0,4.0,10.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0779, 0.0903]",0.0779,0.0903,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0833, 0.095]",0.0833,0.095,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.157, 0.179]",0.157,0.179,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
 13475 Orestes (1973 SX),2.0,4.0,2.0,3.0,2.0,6.0,6.0,6.0,?,3.0,7.0,3.0,5.0,9.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0532, 0.0655]",0.0532,0.0655,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.177, 0.202]",0.177,0.202,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,-,Halitherses,-,X,Hasselmann2012
 38617 (2000 AY161),2.0,3.0,3.0,3.0,2.0,5.0,?,?,?,4.0,7.0,4.0,1.0,8.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0408, 0.0532]",0.0408,0.0532,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0833, 0.095]",0.0833,0.095,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.0907, 0.113]",0.0907,0.113,"(-0.0167, 0.05]",-0.0167,0.05,-,-,-,-,-,-,-,-,-,-,Halitherses,-,,
