full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  5123 (1989 BL),0.0309,0.0704,0.1279,0.654285608742114,10.5657535026627,0.129,0.171,0.171,?,?,?,?,?,?,?,?,?,4,-,Halitherses,-,,
  5436 Eumelos (1990 DK),0.0103,0.0526,0.1496,0.40212229121888,8.550346426488941,0.086,0.172,0.172,18.3636213394657,?,?,?,?,?,?,?,?,4,-,Halitherses,-,,
  9712 Nauplius (1973 SO1),0.0225,0.0825,0.1436,0.8807854520196942,7.48292211679139,0.083,0.11,0.11,?,?,?,?,?,?,?,?,?,4,-,Halitherses,-,,
  9807 (1997 SJ4),0.0006,0.1056,0.1024,1.4474980168498603,5.8578713644336124,0.088,0.175,0.175,?,?,?,?,?,?,?,?,?,4,-,Halitherses,-,,
 12974 Halitherses (1973 SB2),0.0304,0.0514,0.1325,0.7907647683740041,16.3628344749021,0.087,0.174,0.174,?,?,?,?,?,?,?,?,?,4,-,Halitherses,-,,
 13362 (1998 UQ16),0.0526,0.062,0.1466,1.43627008890778,21.98747278662789,0.088,0.175,0.175,?,0.800000000000001,1.37,0.580000000000002,0.259999999999998,0.140000000000001,?,?,?,4,-,Halitherses,-,D,Hasselmann2012
 13366 (1998 US24),0.022000000000000002,0.0603,0.0932,0.45620746458312295,6.6576067245558885,0.058,0.172,0.172,?,?,?,?,?,?,?,?,?,4,-,Halitherses,-,,
 13387 Irus (1998 YW6),0.0308,0.0859,0.1328,0.934552496755991,11.857505471363401,0.093,?,?,?,0.84,1.5,0.629999999999999,0.169999999999998,0.16,?,?,?,4,-,Halitherses,-,,
 13475 Orestes (1973 SX),0.0316,0.0572,0.1465,0.8055328374993141,16.3404129828791,0.1,0.2,0.2,?,0.720000000000002,1.49,0.510000000000002,0.18,0.059999999999999,?,?,?,4,-,Halitherses,-,X,Hasselmann2012
 38617 (2000 AY161),0.0298,0.0487,0.2001,0.5513428936251761,15.6752876342033,0.089,?,?,?,0.829999999999998,1.43,0.620000000000001,0.109999999999999,0.02,?,?,?,4,-,Halitherses,-,,
 58473 (1996 RN7),0.0092,0.0811,0.0862,0.82715241642601,5.4666857335865995,?,?,?,?,0.739999999999998,1.58,0.530000000000001,0.18,0.07,?,?,?,4,-,Halitherses,-,,
 63210 (2001 AH13),0.0308,0.0386,0.207,0.4609623314220461,14.4132158353158,?,?,?,?,0.87,1.5125,0.6475,0.28,0.165,?,?,?,4,-,Halitherses,-,,
 65134 (2002 CH96),0.0042,0.1009,0.011000000000000001,1.27508327165988,6.27990992419049,?,?,?,?,0.670000000000002,1.55,0.469999999999999,0.210000000000001,-0.039999999999999,?,?,?,4,-,Halitherses,-,,
 89858 (2002 CK96),0.0024,0.0622,0.1711,0.4003297175699601,5.72506522901801,0.09,?,?,?,0.75,1.32,0.540000000000001,0.214999999999998,0.125,?,?,?,4,-,Halitherses,-,,
254679 (2005 LU50),0.0333,0.0768,0.2201,1.17798679603747,17.3841426746691,?,?,?,?,?,?,?,?,?,0.643175,0.788059,-0.158566,4,-,Halitherses,-,,
