full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  7214 Anticlus (1973 SM1),9.0,0.0,4.0,7.0,9.0,7.0,7.0,7.0,?,3.0,7.0,3.0,4.0,9.0,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.00351, 0.0161]",0.00351,0.0161,"(0.226, 0.28]",0.226,0.28,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(49.592, 54.791]",49.592,54.791000000000004,"(0.107, 0.118]",0.107,0.118,"(0.217, 0.239]",0.217,0.239,"(0.202, 0.226]",0.202,0.226,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
  9694 Lycomedes (6581 P-L),12.0,0.0,1.0,11.0,11.0,6.0,7.0,7.0,11.0,?,?,?,?,?,?,?,?,4,"(0.136, 0.148]",0.136,0.14800000000000002,"(0.00351, 0.0161]",0.00351,0.0161,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(11.078, 12.408]",11.078,12.408,"(59.99, 65.188]",59.99,65.188,"(0.095, 0.107]",0.095,0.107,"(0.217, 0.239]",0.217,0.239,"(0.202, 0.226]",0.202,0.226,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
 10247 Amphiaraos (6629 P-L),13.0,3.0,1.0,14.0,13.0,6.0,6.0,6.0,?,3.0,7.0,3.0,7.0,9.0,?,?,?,4,"(0.148, 0.159]",0.14800000000000002,0.159,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(15.069, 16.399]",15.069,16.399,"(70.387, 75.586]",70.387,75.586,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.177, 0.202]",0.177,0.202,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.223, 0.245]",0.223,0.245,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
 13062 Podarkes (1991 HN),11.0,3.0,2.0,9.0,10.0,5.0,5.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.125, 0.136]",0.125,0.136,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(8.417, 9.748]",8.417,9.748,"(54.791, 59.99]",54.791000000000004,59.99,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
 13230 (1997 VG1),13.0,3.0,0.0,13.0,13.0,6.0,6.0,7.0,?,?,?,?,?,?,?,?,?,4,"(0.148, 0.159]",0.14800000000000002,0.159,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0102, 0.0648]",0.0102,0.0648,"(13.739, 15.069]",13.739,15.069,"(70.387, 75.586]",70.387,75.586,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.202, 0.226]",0.202,0.226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
 13331 (1998 SU52),11.0,5.0,0.0,10.0,11.0,12.0,12.0,12.0,?,3.0,6.0,3.0,4.0,9.0,?,?,?,4,"(0.125, 0.136]",0.125,0.136,"(0.0655, 0.0779]",0.0655,0.0779,"(0.0102, 0.0648]",0.0102,0.0648,"(9.748, 11.078]",9.748,11.078,"(59.99, 65.188]",59.99,65.188,"(0.165, 0.177]",0.165,0.177,"(0.331, 0.354]",0.331,0.354,"(0.326, 0.35]",0.326,0.35,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.294, 1.405]",1.294,1.405,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
 13694 (1997 WW7),12.0,1.0,1.0,11.0,11.0,7.0,6.0,7.0,?,?,?,?,?,?,?,?,?,4,"(0.136, 0.148]",0.136,0.14800000000000002,"(0.0161, 0.0284]",0.0161,0.0284,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(11.078, 12.408]",11.078,12.408,"(59.99, 65.188]",59.99,65.188,"(0.107, 0.118]",0.107,0.118,"(0.194, 0.217]",0.194,0.217,"(0.202, 0.226]",0.202,0.226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
 14707 (2000 CC20),11.0,2.0,3.0,9.0,10.0,5.0,5.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.125, 0.136]",0.125,0.136,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(8.417, 9.748]",8.417,9.748,"(54.791, 59.99]",54.791000000000004,59.99,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,C,Fornasier2007
 15651 Tlepolemos (9612 P-L),10.0,2.0,0.0,9.0,10.0,6.0,6.0,6.0,?,?,?,?,?,?,?,?,?,4,"(0.114, 0.125]",0.114,0.125,"(0.0284, 0.0408]",0.0284,0.0408,"(0.0102, 0.0648]",0.0102,0.0648,"(8.417, 9.748]",8.417,9.748,"(54.791, 59.99]",54.791000000000004,59.99,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.177, 0.202]",0.177,0.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,-,,
 17874 (1998 YM3),13.0,2.0,0.0,14.0,13.0,9.0,9.0,9.0,?,?,?,?,?,?,?,?,?,4,"(0.148, 0.159]",0.14800000000000002,0.159,"(0.0284, 0.0408]",0.0284,0.0408,"(0.0102, 0.0648]",0.0102,0.0648,"(15.069, 16.399]",15.069,16.399,"(70.387, 75.586]",70.387,75.586,"(0.13, 0.142]",0.13,0.142,"(0.262, 0.285]",0.262,0.285,"(0.251, 0.276]",0.251,0.276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
