full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1143 Odysseus (1930 BH),0.0481,0.0522,0.0691,1.1267352563413,17.3265569235909,0.05,0.146,0.131,16.1948864436993,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1647 Menelaus (1957 MK),0.0387,0.0588,0.1166,0.914780914491899,14.7348337634413,0.056,?,?,17.8843163625288,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
  5025 (1986 TS6),0.0247,0.028999999999999998,0.2016,-0.019315485298542,10.2106743113781,0.084,0.103,0.103,18.4351650952914,0.75,1.47,0.539999999999999,0.170000000000002,0.109999999999999,?,?,?,4,GreaterOdysseus,Odysseus,-,D,Bendjoya2004
  9713 Oceax (1973 SP1),0.0453,0.0334,0.0627,1.19226000322794,19.360439310096602,0.168,0.336,0.336,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 13372 (1998 VU6),0.0447,0.0254,0.1049,1.00345549057771,19.2675487913914,0.109,0.218,0.218,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 14690 (2000 AR25),0.0391,0.0453,0.0843,1.1616417752651,18.9773050654326,0.06,0.14,0.14,18.4869230544864,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 21372 (1997 TM28),0.0355,0.0287,0.1916,0.44227463246447496,14.1686652645729,?,?,?,?,0.715000000000002,1.54,0.504999999999999,0.154999999999999,0.060000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,C,Hasselmann2012
 22009 (1999 XK77),0.0397,0.0248,0.0761,0.595821705868246,14.2388910040801,0.084,0.168,0.168,?,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 22052 (2000 AQ14),0.0612,0.0214,0.1841,1.37779331164786,24.4896940269383,0.084,0.167,0.167,?,0.77,1.4,0.550000000000001,0.219999999999999,0.050000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 23706 (1997 SY32),0.0476,0.064,0.1165,1.2180091519383798,17.880145272966498,0.097,?,?,?,0.73,1.52,0.52,0.18,0.240000000000002,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 24882 (1996 RK30),0.0455,0.0267,0.1391,0.6946006548686869,17.304064229807402,0.133,0.266,0.266,?,0.745000000000003,1.52,0.534999999999998,0.180000000000002,0.065000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,X,Hasselmann2012
 36271 (2000 AV19),0.0487,0.0224,0.1837,0.6258700337428921,18.6032928330115,?,?,?,?,0.690000000000001,1.32,0.490000000000002,0.149999999999999,0.050000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 42179 (2001 CP25),0.0485,0.0288,0.0943,1.05197165772659,19.5025190135981,0.101,?,?,?,0.650000000000002,1.53,0.440000000000001,0.219999999999999,0.080000000000002,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 58479 (1996 RJ29),0.0441,0.0662,0.1293,1.5910731340815902,20.7943277135826,0.057,?,?,?,0.759999999999998,1.44,0.550000000000001,0.190000000000001,0.140000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 63257 (2001 BJ79),0.0144,0.0146,0.2023,0.0065725800038830004,9.283599782650633,0.137,?,?,?,0.740000000000002,1.59,0.539999999999999,0.170000000000002,0.079999999999998,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 63272 (2001 CC49),0.045,0.0078,0.1479,0.6961304836177861,18.2897267009471,?,?,?,?,0.789999999999999,1.5,0.580000000000002,0.199999999999999,0.16,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 63292 (2001 DQ89),0.0319,0.0181,0.2157,0.4009550979600221,15.475035559511195,0.094,?,?,?,0.720000000000002,1.48,0.510000000000002,0.169999999999998,0.080000000000002,0.4837335,0.363095,?,4,GreaterOdysseus,Odysseus,-,,
161020 (2002 EK158),0.0452,0.0264,0.0204,1.46636563794029,21.6318098848094,?,?,?,?,0.759999999999999,1.32333333333333,0.543333333333333,0.22,0.150000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
161027 (2002 FM38),0.0431,0.0676,0.1173,1.56169798482598,20.8617318000762,?,?,?,?,0.73,1.39,0.52,0.190000000000001,0.059999999999999,?,?,?,4,GreaterOdysseus,Odysseus,-,,
161044 (2002 GG181),0.0521,0.0217,0.225,1.4264200602898798,24.466625346522196,0.109,?,?,?,0.77,1.51,0.560000000000002,0.25,0.039999999999999,?,?,?,4,GreaterOdysseus,Odysseus,-,,
