full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1869 Philoctetes (4596 P-L),0.1025,0.0614,0.0599,5.13185489282772,41.2018453926555,0.104,0.208,0.208,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
  8241 Agrius (1973 SE1),0.0968,0.0926,0.0734,6.654594284831821,45.19496477254889,0.087,0.174,0.174,?,0.75,1.44,0.539999999999999,0.169999999999998,0.120000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
  9590 (1991 DK1),0.1056,0.083,0.1106,7.0220971257279805,47.5735551172077,?,?,?,?,0.710000000000001,1.49,0.5,0.240000000000002,0.169999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,D,Hasselmann2012
 13184 Augeias (1996 TS49),0.0817,0.0755,0.0941,4.73061726476352,38.217805829568796,0.067,0.159,0.159,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 13383 (1998 XS31),0.0909,0.0238,0.1314,5.04892384502679,42.2797945694869,0.109,0.218,0.218,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 16152 (1999 YN12),0.0862,0.0541,0.0442,4.99859175954654,40.4322017419613,0.129,?,?,?,0.740000000000002,1.49,0.520000000000003,0.18,0.109999999999999,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 19725 (1999 WT4),0.0961,0.0382,0.1613,4.9495088941495,42.9521347015388,0.092,0.145,0.145,18.6677762375933,0.739999999999998,1.5,0.530000000000001,0.219999999999999,0.050000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,-,X,Hasselmann2012
 19913 Aigyptios (1973 SU1),0.1082,0.0524,0.1074,5.956579953574691,45.423961102189,0.103,0.278,0.278,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 21271 (1996 RF33),0.0933,0.0471,0.0943,5.456812579163199,43.512281125703794,0.091,0.182,0.182,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 23144 (2000 AY182),0.0912,0.0361,0.1788,4.53935499165208,40.919636906327604,0.135,?,?,?,0.75,1.56,0.530000000000001,0.199999999999999,0.109999999999999,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 23963 (1998 WY8),0.0948,0.044000000000000004,0.0946,5.5743004100875995,43.43943399986321,0.102,?,?,?,0.699999999999999,1.42,0.489999999999998,0.18,0,?,?,?,4,GreaterDiomedes,Philoctetes,-,X,Hasselmann2012
 24233 (1999 XD94),0.096,0.0172,0.2257,4.15407433904376,40.59987255907271,0.114,0.228,0.228,?,0.75,1.48,0.529999999999998,0.180000000000003,0.079999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,-,DX,Fornasier2007
 24420 (2000 BU22),0.0968,0.0489,0.1261,4.75850960963419,40.6744167113743,0.113,0.226,0.226,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,C,Fornasier2007
 24426 (2000 CR12),0.0941,0.0459,0.1284,4.498986257201991,39.3910087667457,0.136,0.272,0.272,?,0.710000000000001,1.56,0.5,0.210000000000001,0.09,?,?,?,4,GreaterDiomedes,Philoctetes,-,X,Fornasier2007
 24539 (2001 DP5),0.0983,0.0724,0.1868,4.749530942931269,41.3460523504817,0.128,?,?,?,0.780000000000001,1.48,0.57,0.239999999999998,0.100000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 38574 (1999 WS4),0.0664,0.0768,0.1466,3.1197040639263798,31.024494992476807,0.135,0.271,0.271,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 39692 (1996 RB32),0.0674,0.0788,0.1027,3.38687838893633,30.065860528934802,0.134,?,?,?,0.77,1.16,0.549999999999997,0.170000000000002,0.16,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 42168 (2001 CT13),0.0841,0.0935,0.22,4.8413125379582596,39.7868344107437,0.136,0.271,0.271,?,0.720000000000002,1.46,0.509999999999998,0.140000000000001,0.09,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 42403 Andraimon (6844 P-L),0.105,0.0774,0.1408,5.4674234247389695,42.8469212805557,?,?,?,?,0.73,1.37,0.510000000000002,0.23,0.129999999999999,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63202 (2000 YR131),0.0872,0.0352,0.0131,5.00880103034372,41.0432058222905,?,?,?,?,0.73,1.47,0.510000000000002,0.149999999999999,0.130000000000003,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 63259 (2001 BS81),0.0644,0.0695,0.0458,3.23994539743141,30.7539982204188,?,?,?,?,0.746666666666667,1.55,0.536666666666666,0.193333333333333,0.096666666666666,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63286 (2001 DZ68),0.099,0.0723,0.1081,5.93981498701308,43.562855692467096,0.099,?,?,?,0.860000000000003,1.42,0.640000000000001,0.18,0.080000000000002,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63291 (2001 DU87),0.0942,0.0553,0.1201,5.56166399763468,43.9054699758737,0.116,?,?,?,0.739999999999998,1.32,0.530000000000001,0.209999999999997,0.100000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 65232 (2002 EO87),0.09300000000000001,0.0564,0.0952,4.90218223977472,40.8929105460185,0.161,0.321,0.321,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
111805 (2002 CZ256),0.0999,0.0544,0.1276,5.28568619992194,43.0676829135644,?,?,?,?,0.715,1.535,0.505000000000001,0.1,0.114999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
166285 (2002 GY127),0.0884,0.0424,0.0972,4.56924272133796,39.2803211478439,?,?,?,?,0.630000000000003,1.52,0.420000000000002,0.18,0.009999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
