full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3063 Makhaon (1983 PV),0.0607,0.0558,0.2338,2.13174113203479,28.365797809657305,0.056,0.128,0.114,16.2286740141627,0.690000000000001,1.535,0.475,0.25,0.105,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,D,Lazzaro2004
  5023 Agapenor (1985 TG3),0.0625,0.0295,0.225,1.5408142596638101,26.1734029448535,0.173,0.228,0.228,18.2106592772914,0.709999999999997,1.51,0.5,0.189999999999998,0.100000000000001,?,?,?,4,GreaterTelamon,Theoklymenos,-,X,Hasselmann2012
  5652 Amphimachus (1992 HS3),0.0239,0.0524,0.0555,0.824061721221362,12.821846175515699,0.061,0.142,0.076,18.2370434980321,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 10989 Dolios (1973 SL1),0.0474,0.0572,0.1832,1.78405497337389,23.6764757055389,0.115,0.231,0.231,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 11252 Laertes (1973 SA2),0.0695,0.0231,0.0814,2.6032881839825297,30.611172408825002,0.06,0.164,0.164,18.1527098533201,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 13379 (1998 WX9),0.0663,0.0191,0.0635,2.7843092103958305,31.290392910286396,0.107,0.214,0.214,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 16974 (1998 WR21),0.049,0.0574,0.2766,0.9650986944258341,20.590014026865106,0.065,0.126,0.088,17.8248921245896,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
 17351 Pheidippos (1973 SV),0.0473,0.0546,0.2681,0.951696111121798,22.372853292366198,0.071,0.128,0.128,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
 20144 (1996 RA33),0.0193,0.0547,0.157,0.341680335164291,10.6620396692241,0.071,0.141,0.141,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 24225 (1999 XV80),0.0534,0.0348,0.1715,1.50564341207937,24.892173614649305,0.189,0.378,0.378,?,0.699999999999999,1.51,0.490000000000002,0.18,0.129999999999999,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 24390 (2000 AD177),0.052000000000000005,0.0475,0.2031,1.00054053672746,19.6584693133512,0.069,0.138,0.138,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,D,Fornasier2007
 24498 (2001 AC25),0.0534,0.0464,0.2161,1.0132567744537702,20.0729987546383,?,?,?,?,0.66,1.52,0.440000000000001,0.199999999999999,0.07,0.28863,0.5366925,?,4,GreaterTelamon,Theoklymenos,-,,
 38052 (1998 XA7),0.0699,0.0179,0.0236,2.04045358757237,26.685987145632897,?,?,?,?,0.690000000000001,1.48,0.489999999999998,0.18,-0.02,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 38600 (1999 XR213),0.0624,0.0334,0.1502,1.67311512689581,25.377175187557807,0.076,0.152,0.152,?,?,?,?,?,?,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 39278 (2001 BK9),0.0673,0.033,0.1007,1.7464404777269795,25.338174820454697,0.091,?,?,?,0.690000000000001,1.41,0.48,0.23,0.09,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 65583 Theoklymenos (4646 T-2),0.0239,0.0499,0.1276,0.53235943043083,13.090817634709301,?,?,?,?,0.700000000000003,1.51,0.490000000000002,0.300000000000001,0.099999999999998,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 89871 (2002 CU143),0.053,0.0364,0.179,1.52111159795002,23.8510906516133,?,?,?,?,0.856666666666667,1.57666666666667,0.636666666666668,0.276666666666666,0.140000000000001,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
204911 (2008 QE5),0.0584,0.0528,0.2534,2.06359076576435,28.317035356307894,0.07,?,?,?,?,?,?,?,?,0.265557,0.522048,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
243484 (2009 TA23),0.0649,0.0324,0.2205,1.610649014535,25.7606468616202,0.071,?,?,?,?,?,?,?,?,0.24787,0.469065,?,4,GreaterTelamon,Theoklymenos,-,,
