full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2456 Palamedes (1966 BA1),0.0793,0.0293,0.2567,3.2363847754396002,36.7668431810594,0.071,0.145,0.122,17.3030250229599,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
  4501 Eurypylos (1989 CJ3),0.0782,0.0084,0.1631,3.4460884206491804,35.1410233478957,0.065,0.113,0.113,18.4106997640304,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
  9817 Thersander (6540 P-L),0.0939,0.03,0.1564,3.64518853418917,37.4206250032422,0.102,0.204,0.204,?,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
 14268 (2000 AK156),0.0937,0.0496,0.2823,3.55833458202822,38.2393756311124,0.0369,0.21,0.21,18.5066083679392,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
 21900 Orus (1999 VQ10),0.0838,0.0127,0.168,3.77659386492957,37.4611543150472,0.075,0.152,0.165,17.7942038949052,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
 24341 (2000 AJ87),0.0868,0.0348,0.2238,3.32008836472022,36.8371514902979,0.15,0.3,0.3,?,?,?,?,?,?,?,?,?,4,-,Thersander,-,C,Fornasier2007
 24531 (2001 CE21),0.0916,0.0412,0.3823,2.8689651866154104,38.128364896484605,0.104,0.209,0.209,?,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
 42146 (2001 BN42),0.0786,0.0185,0.2181,3.62648940990879,37.2800648450716,?,?,?,?,?,?,?,?,?,0.2418435,0.553263,?,4,-,Thersander,-,,
 53477 (2000 AA54),0.0891,0.0322,0.2143,3.60571232489604,37.930853451426394,0.097,?,?,?,0.780000000000001,1.44,0.57,0.18,0.110000000000003,?,?,?,4,-,Thersander,-,,
353201 (2009 SP246),0.0757,0.0296,0.2411,3.2846937483241403,35.8011371095839,?,?,?,?,?,?,?,?,?,0.3580465,0.98555475,?,4,-,Thersander,-,,
