full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  4834 Thoas (1989 AM2),3.0,6.0,8.0,2.0,2.0,5.0,3.0,3.0,8.0,?,?,?,?,?,8.0,4.0,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0779, 0.0903]",0.0779,0.0903,"(0.441, 0.495]",0.441,0.495,"(-0.895, 0.436]",-0.895,0.436,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0833, 0.095]",0.0833,0.095,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.291, 17.564]",17.291,17.564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.398, 0.445]",0.398,0.445,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,-,Ulysses,-,D,Bendjoya2004
  5254 Ulysses (1986 VG1),3.0,5.0,7.0,2.0,1.0,3.0,4.0,4.0,8.0,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0655, 0.0779]",0.0655,0.0779,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.06, 0.0717]",0.06,0.0717,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,"(17.291, 17.564]",17.291,17.564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ulysses,-,D,Bendjoya2004
  5264 Telephus (1991 KC),1.0,6.0,9.0,1.0,1.0,4.0,3.0,5.0,7.0,4.0,7.0,4.0,8.0,10.0,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0779, 0.0903]",0.0779,0.0903,"(0.495, 0.549]",0.495,0.5489999999999999,"(-2.225, -0.895]",-2.225,-0.895,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.152, 0.177]",0.152,0.177,"(17.019, 17.291]",17.019000000000002,17.291,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Ulysses,-,D,Bendjoya2004
 11396 (1998 XZ77),1.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,?,4.0,7.0,4.0,7.0,10.0,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0532, 0.0655]",0.0532,0.0655,"(0.172, 0.226]",0.172,0.226,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Ulysses,-,D,Hasselmann2012
 13782 (1998 UM18),3.0,7.0,8.0,3.0,3.0,5.0,3.0,4.0,?,4.0,7.0,5.0,8.0,10.0,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.441, 0.495]",0.441,0.495,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0833, 0.095]",0.0833,0.095,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Ulysses,-,,
 16099 (1999 VQ24),1.0,5.0,3.0,3.0,1.0,4.0,4.0,4.0,13.0,?,?,?,?,?,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0655, 0.0779]",0.0655,0.0779,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ulysses,-,,
 20424 (1998 VF30),1.0,6.0,7.0,2.0,0.0,2.0,3.0,2.0,13.0,4.0,7.0,4.0,8.0,10.0,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0779, 0.0903]",0.0779,0.0903,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(18.653, 18.925]",18.653,18.925,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Ulysses,-,D,Hasselmann2012
 20716 (1999 XG91),2.0,8.0,7.0,2.0,1.0,4.0,3.0,4.0,?,?,?,?,?,?,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ulysses,-,,
 21595 (1998 WJ5),2.0,7.0,7.0,2.0,2.0,4.0,2.0,4.0,14.0,?,?,?,?,?,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0717, 0.0833]",0.0717,0.0833,"(0.102, 0.125]",0.102,0.125,"(0.127, 0.152]",0.127,0.152,"(18.925, 19.197]",18.925,19.197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ulysses,-,,
 21599 (1998 WA15),0.0,5.0,3.0,3.0,0.0,3.0,3.0,4.0,?,4.0,7.0,4.0,7.0,10.0,?,?,?,4,"(0.000442, 0.0119]",0.000442,0.0119,"(0.0655, 0.0779]",0.0655,0.0779,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Ulysses,-,D,Hasselmann2012
