full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  4834 Thoas (1989 AM2),0.0394,0.0888,0.4548,-0.666524453735811,15.925204074779,0.085,0.146,0.114,17.3405595521372,?,?,?,?,?,0.406595,0.606573,?,4,-,Ulysses,-,D,Bendjoya2004
  5254 Ulysses (1986 VG1),0.0351,0.0779,0.38799999999999996,-0.407373492255793,12.793223436006999,0.07,0.158,0.151,17.3336762718683,?,?,?,?,?,?,?,?,4,-,Ulysses,-,D,Bendjoya2004
  5264 Telephus (1991 KC),0.012,0.0854,0.5329,-1.4909938998271697,9.92371793527491,0.072,0.146,0.155,17.1211341409348,0.835000000000001,1.43,0.620000000000001,0.26,0.164999999999999,?,?,?,4,-,Ulysses,-,D,Bendjoya2004
 11396 (1998 XZ77),0.0137,0.059000000000000004,0.2207,0.35394015635618103,8.19107629250522,0.074,0.139,0.139,?,0.83,1.45,0.615,0.245000000000001,0.129999999999999,?,?,?,4,-,Ulysses,-,D,Hasselmann2012
 13782 (1998 UM18),0.0433,0.1,0.4647,0.46693942763224794,23.32020787319389,0.086,0.143,0.143,?,0.849999999999998,1.42,0.640000000000001,0.25,0.18,?,?,?,4,-,Ulysses,-,,
 16099 (1999 VQ24),0.0207,0.069,0.2102,0.567888508991224,12.4446360696118,0.075,0.152,0.152,18.713500136249,?,?,?,?,?,?,?,?,4,-,Ulysses,-,,
 20424 (1998 VF30),0.021,0.0786,0.4135,-0.8570118466658979,7.85803062316392,0.058,0.13,0.1,18.7556449069301,0.83,1.46,0.615,0.254999999999999,0.170000000000002,?,?,?,4,-,Ulysses,-,D,Hasselmann2012
 20716 (1999 XG91),0.0275,0.1035,0.4296,-0.30856611833196,11.088250264496901,0.077,0.146,0.146,?,?,?,?,?,?,?,?,?,4,-,Ulysses,-,,
 21595 (1998 WJ5),0.0254,0.09300000000000001,0.4072,0.165236832007523,15.216700974547805,0.082,0.122,0.15,19.0048782256867,?,?,?,?,?,?,?,?,4,-,Ulysses,-,,
 21599 (1998 WA15),0.0008,0.0675,0.2062,0.45421062357188896,5.374220400033409,0.067,0.133,0.133,?,0.805,1.475,0.59,0.244999999999999,0.120000000000001,?,?,?,4,-,Ulysses,-,D,Hasselmann2012
 23958 (1998 VD30),0.0213,0.0647,0.4336,-0.6970727166029389,8.009022799197231,0.076,0.144,0.144,18.0678662411511,?,?,?,?,?,?,?,?,4,-,Ulysses,-,,
 24501 (2001 AN37),0.0211,0.0592,0.3558,-0.364571639656283,13.100329665161299,0.074,0.147,0.147,?,?,?,?,?,?,?,?,?,4,-,Ulysses,-,,
 63195 (2000 YN120),0.0065,0.0517,0.342,-0.65545119859599,6.5033797014703705,0.08,?,?,?,?,?,?,?,?,0.564527,0.630381,?,4,-,Ulysses,-,,
111819 (2002 DD1),0.0243,0.0697,0.47700000000000004,-1.5493193438985198,9.58943818683258,0.043,?,?,?,0.842499999999999,1.375,0.6275,0.2425,0.1775,?,?,?,4,-,Ulysses,-,,
252173 (2001 DL10),0.0069,0.0746,0.2206,0.423158171752455,6.153813066444781,?,?,?,?,?,?,?,?,?,0.034162999999999,0.705307,?,4,-,Ulysses,-,,
310027 (2010 AH95),0.0096,0.0638,0.2467,0.174007218052537,8.42854133491444,0.109,?,?,?,?,?,?,?,?,0.3214155,0.7134515,?,4,-,Ulysses,-,,
355768 (2008 RY57),0.0282,0.0708,0.4336,-0.748271006543376,15.6308384455024,?,?,?,?,?,?,?,?,?,0.5703715,0.6524345,?,4,-,Ulysses,-,,
