full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3708 (1974 FV1),0.0096,0.1285,0.2511,1.2055257658143401,2.80367958409113,0.059,0.119,0.119,17.3616456904262,0.780000000000001,1.44,0.559999999999999,0.220000000000001,0.24,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,D,Bendjoya2004
  4722 Agelaos (4271 T-3),0.0231,0.1027,0.1364,1.4347098167583001,9.68596732623121,0.076,0.153,0.153,17.8778044650757,?,?,?,?,?,?,?,?,5,GreaterPatroclus,1971FV1,-,,
 16667 (1993 XM1),0.0338,0.1637,0.2609,2.7915010230807997,14.521425152730801,0.062,0.123,0.123,?,0.808,1.484,0.594000000000001,0.245999999999999,0.134,?,?,?,5,GreaterPatroclus,1971FV1,LamposSub,D,Hasselmann2012
 30504 (2000 RS80),0.013999999999999999,0.0804,0.1139,0.785254721136027,5.29857342291876,0.062,0.167,0.167,?,0.809999999999999,1.31,0.599999999999998,0.25,0.240000000000002,?,?,?,5,GreaterPatroclus,1971FV1,-,,
 32339 (2000 QA88),0.0231,0.1488,0.3174,1.674772099493,9.77603873204845,0.057,0.113,0.113,?,0.809999999999999,1.47,0.599999999999998,0.24,0.155000000000001,?,?,?,5,GreaterPatroclus,1971FV1,LamposSub,D,Hasselmann2012
 32356 (2000 QM124),0.0045,0.105,0.2345,0.7907464731532629,4.17471889086738,0.13,?,?,?,0.75,1.69,0.540000000000003,0.199999999999999,-0.16,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,,
 51345 (2000 QH137),0.0198,0.1655,0.2668,2.5841923623399303,8.29777062951581,0.08,0.16,0.16,?,0.849999999999998,1.55,0.629999999999999,0.240000000000002,0.129999999999999,?,?,?,5,GreaterPatroclus,1971FV1,LamposSub,D,Hasselmann2012
 51994 (2001 TJ58),0.0135,0.1254,0.2132,1.8197111219899398,7.4801191351736,0.06,?,?,?,0.785,1.53,0.57,0.26,0.15,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,D,Hasselmann2012
 52273 (1988 RQ10),0.0201,0.1141,0.1909,1.6539834273423302,13.178669974309301,0.085,?,?,?,0.829999999999998,1.64,0.609999999999999,0.280000000000001,0.189999999999998,?,?,?,5,GreaterPatroclus,1971FV1,-,D,Hasselmann2012
 55678 Lampos (3291 T-1),0.0198,0.1481,0.1388,2.7080776241984905,10.498374942466699,0.052,?,?,?,0.809999999999999,1.34,0.599999999999998,0.260000000000002,0.16,?,?,?,5,GreaterPatroclus,1971FV1,LamposSub,,
 99328 (2001 UY123),0.0151,0.0913,0.2731,0.551304204545147,10.517344878090698,0.115,0.231,0.231,?,0.739999999999998,1.425,0.529999999999999,0.19,0.085000000000001,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,D,Fornasier2007
110380 (2001 SO343),0.0135,0.11900000000000001,0.3697,0.49607287488186097,10.890698928780001,0.113,?,?,?,0.77,1.24,0.559999999999999,0.300000000000001,0.199999999999999,0.2687035,0.664613,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,,
122391 (2000 QZ75),0.0141,0.1105,0.244,0.9375076128075079,8.26989234513013,?,?,?,?,0.93,1.49,0.719999999999999,0.215,0.16,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,,
155789 (2000 TD9),0.0043,0.1185,0.1376,1.48228328660997,8.258328561491341,0.115,?,?,?,0.670000000000002,1.2,0.469999999999999,0.110000000000003,0.329999999999998,0.126478,0.476464,-0.040926000000002,5,GreaterPatroclus,1971FV1,1971FV1Sub,,
156237 (2001 UH146),0.0253,0.1436,0.0724,2.94511800105818,16.661069856484197,0.09,?,?,?,0.82,0.760000000000002,0.599999999999998,0.200000000000003,0.449999999999999,?,?,?,5,GreaterPatroclus,1971FV1,LamposSub,,
156250 (2001 UM198),0.0294,0.1515,0.0519,3.155791347336049,11.478213423488901,?,?,?,?,0.870000000000001,0.629999999999999,0.66,0.309999999999999,0,?,?,?,5,GreaterPatroclus,1971FV1,LamposSub,,
284433 (2007 DU52),0.0136,0.1231,0.1871,1.64690412598469,10.8690021297431,0.059,?,?,?,?,?,?,?,?,0.4202925,0.5464035,0.3417045,5,GreaterPatroclus,1971FV1,1971FV1Sub,,
343896 (2011 JK8),0.0194,0.0849,0.2077,0.6261105785385439,11.897519760766802,?,?,?,?,?,?,?,?,?,0.332307,1.0288565,0.18461275,5,GreaterPatroclus,1971FV1,-,,
