full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  5648 (1990 VU1),6.0,9.0,6.0,5.0,5.0,4.0,3.0,4.0,9.0,?,?,?,?,?,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.115, 0.127]",0.115,0.127,"(0.334, 0.387]",0.33399999999999996,0.387,"(3.096, 4.427]",3.096,4.427,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1990VU1,1990VU1Sub,D,Bendjoya2004
  5907 (1989 TU5),5.0,7.0,0.0,5.0,5.0,4.0,3.0,4.0,?,?,?,?,?,?,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.0102, 0.0648]",0.0102,0.0648,"(3.096, 4.427]",3.096,4.427,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1990VU1,1990VU1Sub,,
 15977 (1998 MA11),6.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0,10.0,?,?,?,?,?,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0779, 0.0903]",0.0779,0.0903,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.836, 18.108]",17.836,18.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1990VU1,IdaiosSub,D,Fornasier2004
 16070 (1999 RB101),7.0,6.0,5.0,5.0,7.0,2.0,3.0,2.0,10.0,4.0,8.0,4.0,9.0,10.0,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0779, 0.0903]",0.0779,0.0903,"(0.28, 0.334]",0.28,0.33399999999999996,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(17.836, 18.108]",17.836,18.108,"(0.787, 0.857]",0.787,0.857,"(1.515, 1.626]",1.515,1.626,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.267, 0.29]",0.267,0.29,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,1990VU1,-,D,Hasselmann2012
 18228 Hyperenor (3163 T-1),6.0,9.0,0.0,5.0,5.0,3.0,3.0,4.0,?,4.0,5.0,5.0,7.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.115, 0.127]",0.115,0.127,"(0.0102, 0.0648]",0.0102,0.0648,"(3.096, 4.427]",3.096,4.427,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.183, 1.294]",1.183,1.294,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,1990VU1,1990VU1Sub,,
 24459 (2000 RF103),6.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,?,5.0,8.0,5.0,6.0,12.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0655, 0.0779]",0.0655,0.0779,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0483, 0.06]",0.0483,0.06,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.515, 1.626]",1.515,1.626,"(0.633, 0.7]",0.633,0.7,"(0.201, 0.223]",0.201,0.223,"(0.25, 0.317]",0.25,0.317,-,-,-,-,-,-,-,-,-,-,1990VU1,IdaiosSub,,
 29196 (1990 YY),5.0,7.0,0.0,5.0,4.0,10.0,?,?,?,?,?,?,?,?,5.0,2.0,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.0102, 0.0648]",0.0102,0.0648,"(3.096, 4.427]",3.096,4.427,"(23.599, 28.797]",23.599,28.796999999999997,"(0.142, 0.153]",0.142,0.153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.257, 0.304]",0.257,0.304,"(0.309, 0.429]",0.309,0.429,-,-,-,-,1990VU1,1990VU1Sub,,
 30506 (2000 RO85),7.0,4.0,6.0,5.0,7.0,2.0,3.0,4.0,?,?,?,?,?,?,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0532, 0.0655]",0.0532,0.0655,"(0.334, 0.387]",0.33399999999999996,0.387,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1990VU1,-,,
 30705 Idaios (3365 T-3),6.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,10.0,4.0,7.0,4.0,10.0,9.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0408, 0.0532]",0.0408,0.0532,"(0.334, 0.387]",0.33399999999999996,0.387,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,"(17.836, 18.108]",17.836,18.108,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,-,1990VU1,IdaiosSub,D,Hasselmann2012
 32435 (2000 RZ96),7.0,7.0,7.0,5.0,6.0,4.0,4.0,4.0,?,?,?,?,?,?,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.387, 0.441]",0.387,0.441,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1990VU1,-,,
 47969 (2000 TG64),6.0,4.0,4.0,4.0,5.0,3.0,?,?,?,4.0,8.0,4.0,7.0,11.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0532, 0.0655]",0.0532,0.0655,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.515, 1.626]",1.515,1.626,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.223, 0.245]",0.223,0.245,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,-,1990VU1,IdaiosSub,D,Hasselmann2012
 51935 (2001 QK134),5.0,9.0,4.0,5.0,4.0,3.0,3.0,4.0,?,4.0,8.0,5.0,8.0,11.0,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.115, 0.127]",0.115,0.127,"(0.226, 0.28]",0.226,0.28,"(3.096, 4.427]",3.096,4.427,"(23.599, 28.797]",23.599,28.796999999999997,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.515, 1.626]",1.515,1.626,"(0.633, 0.7]",0.633,0.7,"(0.245, 0.267]",0.245,0.267,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,-,1990VU1,1990VU1Sub,,
 56962 (2000 SW65),6.0,3.0,4.0,3.0,4.0,4.0,?,?,?,?,?,?,?,?,6.0,2.0,3.0,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0717, 0.0833]",0.0717,0.0833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.309, 0.429]",0.309,0.429,"(-0.0266, 0.0753]",-0.0266,0.0753,-,1990VU1,IdaiosSub,,
 58008 (2002 TW240),6.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,?,4.0,7.0,5.0,2.0,11.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0655, 0.0779]",0.0655,0.0779,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.113, 0.135]",0.113,0.135,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,-,1990VU1,-,D,Hasselmann2012
 73677 (1988 SA3),6.0,6.0,5.0,5.0,6.0,2.0,?,?,?,5.0,6.0,5.0,7.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0779, 0.0903]",0.0779,0.0903,"(0.28, 0.334]",0.28,0.33399999999999996,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.294, 1.405]",1.294,1.405,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,1990VU1,IdaiosSub,,
 76820 (2000 RW105),6.0,7.0,5.0,6.0,7.0,3.0,?,?,?,3.0,8.0,3.0,7.0,11.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.28, 0.334]",0.28,0.33399999999999996,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.223, 0.245]",0.223,0.245,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,-,1990VU1,-,,
