full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1172 Aneas (1930 UA),0.0482,0.0603,0.3058,0.884888269870316,23.786379540720702,0.059000000000000004,0.129,0.094,?,0.714285714285715,1.665,0.506428571428571,0.068571428571429,0.021428571428571,?,?,?,5,GreaterAneas,Aneas,AneasSub,D,Tholin1989
  1867 Deiphobus (1971 EA),0.078,0.0304,0.4737,1.8440963289391399,38.9669304506257,0.06,0.129,0.103,15.8593727822117,0.825000000000001,1.45,0.614999999999999,0.215,0.15,?,?,?,5,GreaterAneas,Aneas,-,D,Tholin1989
  2893 Peiroos (1975 QD),0.078,0.0471,0.2289,3.12590169523423,35.0288414636117,0.048,0.114,0.059,16.8762809114341,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,-,D,Tholin1989
  4791 Iphidamas (1988 PB1),0.0631,0.083,0.4591,0.7424225741488041,29.676069356181397,0.079,0.158,0.158,17.7313241109082,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,IphidamasSub,,
  4867 Polites (1989 SZ),0.0488,0.0411,0.4686,0.16872945117717095,25.813307595427798,0.071,0.124,0.124,17.8754990205257,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,AneasSub,,
 12444 Prothoon (1996 GE19),0.0593,0.0485,0.5217,-0.9477985027489808,24.2645902642703,0.052000000000000005,0.104,0.104,17.8770589838682,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,AneasSub,,
 12929 (1999 TZ1),0.0623,0.0339,0.6922,-1.88968110553679,32.4362912080472,0.066,0.139,0.081,17.6936113503652,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,AneasSub,,
 17414 (1988 RN10),0.0769,0.0541,0.2702,3.18434493583453,36.8632843888416,0.06,0.12,0.12,?,0.833333333333333,1.50333333333333,0.616666666666667,0.246666666666667,0.163333333333333,?,?,?,5,GreaterAneas,Aneas,-,,
 18046 (1999 RN116),0.0519,0.0309,0.5351,-1.42187244496802,21.9757221502018,0.073,0.147,0.147,18.1745435318554,0.84,1.46,0.619999999999997,0.25,0.16,?,?,?,5,GreaterAneas,Aneas,AneasSub,D,Hasselmann2012
 24446 (2000 PR25),0.0791,0.0529,0.4498,1.3530251094724095,34.0372834012543,0.086,0.172,0.172,?,0.829999999999998,1.45,0.620000000000001,0.23,0.129999999999999,?,?,?,5,GreaterAneas,Aneas,IphidamasSub,D,Hasselmann2012
 24458 (2000 RP100),0.0644,0.0629,0.3353,1.8518957085252101,30.994225945975,0.061,0.123,0.123,?,?,?,?,?,?,0.3298735,0.454389,0.067233999999999,5,GreaterAneas,Aneas,HelicaonSub,,
 25347 (1999 RQ116),0.0595,0.0424,0.2977,0.63695442311149,22.60180735028181,0.054000000000000006,0.108,0.108,?,0.83,1.435,0.610000000000001,0.174999999999999,0.200000000000001,?,?,?,5,GreaterAneas,Aneas,AneasSub,D,Fornasier2004
 29976 (1999 NE9),0.0662,0.0537,0.5123,0.282209355465909,30.870098614175802,0.08,0.186,0.186,?,0.809999999999999,1.45,0.600000000000001,0.25,0.169999999999998,0.3140105,0.619346,0.2058295,5,GreaterAneas,Aneas,IphidamasSub,D,Hasselmann2012
 30942 Helicaon (1994 CX13),0.07,0.0837,0.3712,2.54137581766662,35.1651765724363,0.05,0.211,0.211,?,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,HelicaonSub,,
 34746 (2001 QE91),0.0801,0.0365,0.4355,1.96322869691625,36.796824102516496,0.061,0.122,0.122,17.4059179448512,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,-,,
 36624 (2000 QA157),0.0745,0.0374,0.4626,1.40112656732362,34.7188645230993,0.052000000000000005,0.103,0.103,?,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,-,,
 47962 (2000 RU69),0.0651,0.0899,0.342,2.19921103375265,29.0419031417379,0.077,?,?,?,0.84,1.8,0.620000000000001,0.190000000000001,0.25,?,?,?,5,GreaterAneas,Aneas,HelicaonSub,,
 48764 (1997 JJ10),0.071,0.0896,0.4112,1.96541412100106,31.964420273333893,0.062,0.124,0.124,?,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,HelicaonSub,,
 53418 (1999 PY3),0.0616,0.0652,0.4254,0.9178086108718728,29.7164976901699,0.063,0.126,0.126,?,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,-,,
 76857 (2000 WE132),0.0634,0.0464,0.3751,0.876005623897015,25.106395942359,0.085,0.169,0.169,?,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,IphidamasSub,,
105803 (2000 SH132),0.06,0.0639,0.4846,0.461897915771829,28.6604012876416,0.081,?,?,?,?,?,?,?,?,0.304556,0.513076,0.193453,5,GreaterAneas,Aneas,IphidamasSub,,
114208 (2002 VH107),0.0647,0.0717,0.4384,1.82827320807223,32.827717540862004,0.057,?,?,?,0.794,1.4,0.581999999999999,0.246,0.152,?,?,?,5,GreaterAneas,Aneas,-,D,Hasselmann2012
117389 (2004 YD23),0.0501,0.0305,0.4026,0.35943149494011106,25.9715751569492,0.067,?,?,?,0.830000000000002,1.61,0.609999999999999,0.25,0.149999999999999,?,?,?,5,GreaterAneas,Aneas,AneasSub,,
129147 (2005 CY70),0.0527,0.0254,0.2952,1.25346721533151,26.039919703988105,0.057999999999999996,?,?,?,0.73,2.28,0.52,0.370000000000001,0.23,?,?,?,5,GreaterAneas,Aneas,AneasSub,,
155786 (2000 SD358),0.0717,0.0663,0.3754,1.46268778929436,29.581682677557698,0.109,?,?,?,0.84,1.47,0.620000000000001,0.194999999999999,0.195,?,?,?,5,GreaterAneas,Aneas,HelicaonSub,,
247967 (2003 YD149),0.076,0.0389,0.4698,1.91621131475586,38.121028552728895,0.059000000000000004,?,?,?,?,?,?,?,?,0.3624655,0.4669095,0.0323715,5,GreaterAneas,Aneas,-,,
