full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  4792 Lykaon (1988 RK1),0.0615,0.0565,0.1463,1.78580994139406,23.205023366627607,0.068,0.124,0.124,18.1284128518965,0.850000000000001,1.64,0.635,0.270000000000001,0.074999999999999,?,?,?,5,-,Asteropaios,LykaonSub,D,Bendjoya2004
  4805 Asteropaios (1990 VH7),0.0602,0.07200000000000001,0.2314,1.69770436444475,24.63810818171861,0.058,0.117,0.117,17.6284076781872,?,?,?,?,?,?,?,?,5,-,Asteropaios,-,,
  4828 Misenus (1988 RV),0.0568,0.0857,0.2661,2.16857132981852,25.6968309733313,0.063,0.13,0.13,17.725459719547,?,?,?,?,?,0.3930535,0.64941,?,5,-,Asteropaios,-,,
  5257 (1988 RS10),0.0628,0.0618,0.0318,2.52645636238111,27.425412552905,?,?,?,?,0.87,1.31666666666667,0.653333333333332,0.246666666666666,0.16,?,?,?,5,-,Asteropaios,1988RS10Sub,,
 11487 (1988 RG10),0.0612,0.0284,0.0748,2.3815085120660897,28.6060416204186,0.062,0.124,0.124,?,?,?,?,?,?,?,?,?,5,-,Asteropaios,1988RS10Sub,,
 23549 Epicles (1994 ES6),0.0543,0.0832,0.1363,2.0982567461952,22.7490778614767,0.132,0.264,0.264,?,0.82,1.38,0.600000000000001,0.16,0.079999999999998,?,?,?,5,-,Asteropaios,-,D,Fornasier2007
 32397 (2000 QL214),0.06,0.0414,0.0759,1.69689317089086,23.057017339421602,0.062,0.124,0.124,?,?,?,?,?,?,?,?,?,5,-,Asteropaios,1988RS10Sub,,
 39474 (1978 VC7),0.0634,0.0485,0.2071,1.66891318426673,24.64264203868111,0.06,0.119,0.119,?,?,?,?,?,?,?,?,?,5,-,Asteropaios,LykaonSub,,
 54582 (2000 QU179),0.0559,0.0525,0.0282,2.38922949800633,27.3975751193394,0.055,?,?,?,0.779999999999998,1.87,0.57,0.190000000000001,0.27,?,?,?,5,-,Asteropaios,1988RS10Sub,,
 97893 (2000 QV65),0.0684,0.0566,0.1491,2.08419197520237,26.0209067771636,0.083,?,?,?,0.800000000000001,1.56,0.58,0.27,0.185000000000001,?,?,?,5,-,Asteropaios,LykaonSub,,
106001 (2000 SR283),0.0566,0.0535,0.1802,1.44344463051436,21.773341914056505,0.059,?,?,?,0.829999999999998,1.59,0.609999999999999,0.260000000000002,0.119999999999997,?,?,?,5,-,Asteropaios,LykaonSub,D,Hasselmann2012
153708 (2001 UK76),0.0444,0.0672,0.1418,1.7179285377966398,22.3611997533493,0.085,?,?,?,0.77,1.79,0.560000000000002,0.210000000000001,-0.010000000000002,?,?,?,5,-,Asteropaios,-,,
153758 (2001 UQ214),0.0629,0.0311,0.0623,1.74431919492218,23.966612503396,0.052,?,?,?,0.779999999999998,1.39,0.560000000000002,0.219999999999999,0.050000000000001,?,?,?,5,-,Asteropaios,1988RS10Sub,,
158231 (2001 SJ256),0.0506,0.0522,0.1315,1.9416098993082198,24.8453140411975,?,?,?,?,0.719999999999999,1.37,0.510000000000002,0.209999999999997,0.07,?,?,?,5,-,Asteropaios,1988RS10Sub,,
185485 (2007 EL68),0.0696,0.0299,0.0718,2.31536316474467,27.4135356724635,?,?,?,?,?,?,?,?,?,0.370766,0.838977,?,5,-,Asteropaios,1988RS10Sub,,
284443 (2007 EE51),0.0573,0.0421,0.1826,1.1906098833162,22.299368077332602,?,?,?,?,?,?,?,?,?,0.727336,1.2326555,1.1961995,5,-,Asteropaios,LykaonSub,,
291327 (2006 BQ194),0.0423,0.0754,0.1183,1.71007606157718,21.415645013311106,0.064,?,?,?,?,?,?,?,?,0.6009265,1.196488,?,5,-,Asteropaios,-,,
