full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1871 Astyanax (1971 FF),0.1288,0.0145,0.1297,8.415528837267692,54.684553272787596,0.076,0.151,0.151,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,D,Fornasier2004
  2594 Acamas (1978 TB),0.1517,0.0731,0.1035,13.748139226781301,68.1179609388406,0.06,0.121,0.121,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,,
  9030 (1989 UX5),0.1304,0.0596,0.0475,12.3673987592032,65.0316966352301,0.062,0.173,0.173,?,0.83,1.355,0.625,0.24,0.19,?,?,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,D,Fornasier2007
 16560 Daitor (1991 VZ5),0.1343,0.0534,0.2849,13.242231409307001,70.4255840259337,0.053,0.106,0.106,18.3721175502406,0.7125,1.445,0.502500000000001,0.134999999999999,0.0625,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,C,Hasselmann2012
 17492 Hippasos (1991 XG1),0.1225,0.0379,0.46299999999999997,7.86980949210448,62.381417948590496,0.066,0.12,0.12,17.9292721434174,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,,
 18137 (2000 OU30),0.1331,0.053,0.1446,10.5445621904791,61.3743567279888,0.068,0.136,0.136,?,0.8425,1.4425,0.630000000000001,0.2225,0.15,?,?,?,5,GreaterAstyanax,Astyanax,-,D,Fornasier2004
 23694 (1997 KZ3),0.1046,0.0149,0.1484,5.0533481632437,42.6857838454301,0.051,0.102,0.102,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,OphelestesSub,D,Fornasier2004
 24444 (2000 OP32),0.1234,0.0414,0.1446,8.38810981084544,54.9671649948585,0.105,0.21,0.21,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,-,DX,Fornasier2004
 24454 (2000 QF198),0.1479,0.0318,0.0502,14.256600368877999,71.0524611083156,0.067,0.134,0.134,?,0.719999999999999,1.59,0.510000000000002,0.170000000000002,0.039999999999999,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,CX,Hasselmann2012
 31344 (1998 OM12),0.1367,0.0321,0.1265,9.9297086935739,59.3274119142763,0.047,0.143,0.143,?,0.890000000000001,1.37,0.669999999999998,0.190000000000001,0.07,?,?,?,5,GreaterAstyanax,Astyanax,-,,
 32420 (2000 RS40),0.1296,0.025,0.2672,7.889988646232378,55.521576877860696,0.103,0.205,0.205,?,0.800000000000001,1.59,0.580000000000002,0.239999999999998,-0.059999999999999,?,?,?,5,GreaterAstyanax,Astyanax,-,,
 32430 (2000 RQ83),0.1074,0.0129,0.1401,5.3726197074971695,44.1534309488541,0.157,0.313,0.313,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,OphelestesSub,D,Fornasier2004
 32615 (2001 QU277),0.1372,0.0286,0.2647,10.2005786291416,62.692499284776794,0.065,0.129,0.129,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,-,D,Fornasier2004
