full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2363 Cebriones (1977 TJ3),0.0783,0.0333,0.5399,0.950664718531982,39.7238714512909,0.044000000000000004,0.133,0.091,16.2402616586741,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,D,Tholin1989
  4709 Ennomos (1988 TU2),0.0771,0.0408,0.4507,2.10753271399614,40.1555818989617,0.077,0.08,0.087,16.3613944334258,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
  5120 Bitias (1988 TZ1),0.0894,0.0711,0.4452,1.44510831814722,33.3321330427011,0.122,0.137,0.137,17.9452116881767,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
  9023 Mnesthus (1988 RG1),0.0786,0.0173,0.3925,1.2370223290655502,32.246456004663,0.073,0.146,0.146,17.9324523459448,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
 16956 (1998 MQ11),0.0875,0.0841,0.4924,1.8068966776559696,37.8201868124041,0.08199999999999999,?,?,18.3561007611878,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
 17171 (1999 NB38),0.0705,0.0347,0.4436,1.4855424152143002,34.603923461283,0.08,0.138,0.155,18.4504198090454,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
 17415 (1988 RO10),0.0697,0.0295,0.3888,1.32489899530879,32.3887711628043,0.09,?,?,?,0.760000000000002,1.22,0.550000000000001,0.289999999999999,0.190000000000001,?,?,?,5,-,Cebriones,-,,
 19018 (2000 RL100),0.0534,0.0657,0.4806,0.39027573265633503,31.3748527566815,0.068,0.147,0.147,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
 24470 (2000 SJ310),0.0773,0.0476,0.4287,2.2122798031809303,38.9268266819694,0.077,0.155,0.155,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
 29603 (1998 MO44),0.0968,0.0225,0.5266,2.85358299999433,46.1408575646716,0.061,0.121,0.121,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
 32440 (2000 RC100),0.0936,0.0182,0.5371,3.1744142052486404,48.037196881008605,0.062,0.125,0.125,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
 32496 (2000 WX182),0.0742,0.0427,0.4921,1.69069969290422,37.1375240956026,0.07,0.133,0.133,18.300238842684,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
 51910 (2001 QQ60),0.0811,0.0432,0.5401,1.4721694480624599,37.9103541647834,0.07,0.244,0.244,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
 51969 (2001 QZ292),0.0898,0.0366,0.4435,2.9365203801587003,41.166455080755,0.06,?,?,?,?,?,?,?,?,0.267538,0.430648,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
 53419 (1999 PJ4),0.0796,0.0521,0.5165,2.23415785613184,41.5913740561339,0.051,?,?,?,?,?,?,?,?,0.265919,0.614059,0.294853,5,GreaterPatroclus,Cebriones,-,,
 54656 (2000 SX362),0.0916,0.0327,0.521,2.27795997419093,43.826447238545,0.078,0.129,0.129,18.7440722212241,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
129135 (2005 AD21),0.098,0.01,0.5265,2.11857924091635,42.7730751842144,0.07,?,?,?,0.855,1.365,0.635,0.23,0.225,?,?,?,5,GreaterPatroclus,Cebriones,BitiasSub,,
