full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  7815 Dolon (1987 QN),7.0,3.0,5.0,4.0,6.0,5.0,5.0,6.0,10.0,3.0,8.0,3.0,5.0,10.0,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(33.996, 39.195]",33.996,39.195,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,"(17.836, 18.108]",17.836,18.108,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Dolon,DolonSub,,
  9430 Erichthonios (1996 HU10),6.0,2.0,0.0,4.0,5.0,4.0,4.0,5.0,?,4.0,8.0,4.0,10.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0284, 0.0408]",0.0284,0.0408,"(0.0102, 0.0648]",0.0102,0.0648,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.515, 1.626]",1.515,1.626,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Dolon,ErichthoniosSub,D,Fornasier2004
 11488 (1988 RM11),6.0,3.0,0.0,5.0,6.0,8.0,7.0,8.0,?,4.0,8.0,4.0,6.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0102, 0.0648]",0.0102,0.0648,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.118, 0.13]",0.118,0.13,"(0.217, 0.239]",0.217,0.239,"(0.226, 0.251]",0.226,0.251,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.515, 1.626]",1.515,1.626,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.201, 0.223]",0.201,0.223,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Dolon,ErichthoniosSub,XD,Fornasier2012
 11554 Asios (1993 BZ12),6.0,4.0,3.0,5.0,6.0,3.0,1.0,2.0,12.0,3.0,8.0,3.0,5.0,9.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0532, 0.0655]",0.0532,0.0655,"(0.172, 0.226]",0.172,0.226,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,"(18.381, 18.653]",18.381,18.653,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,-,Dolon,-,X,Hasselmann2012
 17442 (1989 UO5),7.0,2.0,4.0,4.0,6.0,4.0,4.0,5.0,?,?,?,?,?,?,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0284, 0.0408]",0.0284,0.0408,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(33.996, 39.195]",33.996,39.195,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolon,DolonSub,,
 24472 (2000 SY317),7.0,3.0,6.0,5.0,7.0,3.0,3.0,4.0,?,?,?,?,?,?,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.334, 0.387]",0.33399999999999996,0.387,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolon,DolonSub,,
 29314 Eurydamas (1994 CR18),8.0,3.0,4.0,5.0,7.0,9.0,9.0,10.0,?,3.0,8.0,3.0,5.0,9.0,?,?,?,5,"(0.0911, 0.102]",0.0911,0.102,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.13, 0.142]",0.13,0.142,"(0.262, 0.285]",0.262,0.285,"(0.276, 0.301]",0.276,0.301,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,-,Dolon,DolonSub,X,Hasselmann2012
 30498 (2000 QK100),7.0,4.0,0.0,5.0,6.0,4.0,4.0,5.0,?,2.0,7.0,3.0,5.0,10.0,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0102, 0.0648]",0.0102,0.0648,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Dolon,ErichthoniosSub,,
 30704 Phegeus (3250 T-3),7.0,0.0,4.0,5.0,7.0,5.0,5.0,5.0,?,?,?,?,?,?,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.00351, 0.0161]",0.00351,0.0161,"(0.226, 0.28]",0.226,0.28,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolon,DolonSub,,
 32482 (2000 ST354),6.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,?,3.0,8.0,3.0,6.0,9.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.107, 0.118]",0.107,0.118,"(0.217, 0.239]",0.217,0.239,"(0.202, 0.226]",0.202,0.226,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.201, 0.223]",0.201,0.223,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,-,Dolon,DolonSub,X,Hasselmann2012
