full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  7815 Dolon (1987 QN),0.0906,0.0465,0.3315,2.85608310917058,37.01856110480049,0.089,0.178,0.178,17.8557922497487,0.74,1.56,0.529999999999999,0.200000000000001,0.135,?,?,?,5,-,Dolon,DolonSub,,
 17442 (1989 UO5),0.0863,0.0311,0.2659,3.0578653202377404,34.7240517591686,0.081,0.162,0.162,?,?,?,?,?,?,?,?,?,5,-,Dolon,DolonSub,,
 24472 (2000 SY317),0.0894,0.0454,0.3782,3.66557028340588,43.8396901295829,0.065,0.129,0.129,?,?,?,?,?,?,?,?,?,5,-,Dolon,DolonSub,,
 29314 Eurydamas (1994 CR18),0.0917,0.0504,0.2454,4.18787903389585,40.9746028360475,0.14,0.28,0.28,?,0.722000000000001,1.6,0.51,0.2,0.07,?,?,?,5,-,Dolon,DolonSub,X,Hasselmann2012
 30704 Phegeus (3250 T-3),0.0881,0.0117,0.2558,4.08027373586856,40.5757785384702,0.088,0.176,0.176,?,?,?,?,?,?,?,?,?,5,-,Dolon,DolonSub,,
 32482 (2000 ST354),0.0692,0.0336,0.1963,2.75803174673393,32.2587713952741,0.109,0.218,0.218,?,0.740000000000002,1.52,0.520000000000003,0.219999999999999,0.07,?,?,?,5,-,Dolon,DolonSub,X,Hasselmann2012
 55060 (2001 QM73),0.0919,0.0397,0.4206,4.83807217622405,49.5354593130973,0.094,0.188,0.188,?,?,?,?,?,?,?,?,?,5,-,Dolon,DolonSub,,
 55419 (2001 TF19),0.0981,0.0453,0.4583,2.9965959757282103,43.136669488559896,0.094,0.188,0.188,?,?,?,?,?,?,?,?,?,5,-,Dolon,DolonSub,,
156125 (2001 SH347),0.0934,0.0375,0.3174,3.5145325581351,38.8171073659735,0.031,?,?,?,?,?,?,?,?,0.217022,0.6854325,?,5,-,Dolon,DolonSub,,
248550 (2005 XS92),0.0923,0.0444,0.4345,3.3017355231643797,44.922318322432794,0.062,?,?,?,?,?,?,?,?,0.417536,0.67028,0.68061,5,-,Dolon,DolonSub,,
414468 (2009 KM14),0.0904,0.0515,0.2967,3.28010026683165,37.84066399079371,?,?,?,?,?,?,?,?,?,0.3227505,0.8659285,?,5,-,Dolon,DolonSub,,
