full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1172 Aneas (1930 UA),0.0482,0.0603,0.3058,0.884888269870316,23.786379540720702,0.059,0.129,0.094,?,0.714285714285715,1.665,0.506428571428571,0.068571428571429,0.021428571428571,?,?,?,5,GreaterAneas,Aneas,AneasSub,D,Tholin1989
  1867 Deiphobus (1971 EA),0.078,0.0304,0.4737,1.8440963289391399,38.9669304506257,0.06,0.129,0.103,15.8593727822117,0.825000000000001,1.45,0.614999999999999,0.215,0.15,?,?,?,5,GreaterAneas,Aneas,-,D,Tholin1989
  2207 Antenor (1977 QH1),0.0813,0.0591,0.1083,4.28095280338061,37.9663206570796,0.051,0.147,0.13,16.3274413561117,?,?,?,?,?,?,?,?,5,GreaterAneas,-,-,D,Tholin1989
  2223 Sarpedon (1977 TL3),0.0655,0.038,0.2882,1.7752853136545401,30.449686468672198,0.051,0.125,0.098,?,0.665000000000001,1.445,0.460000000000001,0.120000000000001,0.089999999999998,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,DU,Tholin1989
  2893 Peiroos (1975 QD),0.078,0.0471,0.2289,3.12590169523423,35.0288414636117,0.048,0.114,0.059,16.8762809114341,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,-,D,Tholin1989
  4708 Polydoros (1988 RT),0.0944,0.063,0.1452,4.18171076738986,37.2813670013618,0.064,0.128,0.128,17.6090386142609,0.879999999999999,1.52333333333333,0.663333333333332,0.266666666666667,0.040000000000002,?,?,?,5,GreaterAneas,-,-,D,Hasselmann2012
  4754 Panthoos (5010 T-3),0.0884,0.0442,0.2005,4.38694360621531,40.88274281554771,0.063,0.126,0.201,17.9178373304499,?,?,?,?,?,?,?,?,5,GreaterAneas,-,-,,
  4791 Iphidamas (1988 PB1),0.0631,0.083,0.4591,0.7424225741488041,29.676069356181397,0.079,0.158,0.158,17.7313241109082,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,IphidamasSub,,
  4867 Polites (1989 SZ),0.0488,0.0411,0.4686,0.16872945117717095,25.813307595427798,0.071,0.124,0.124,17.8754990205257,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,AneasSub,,
  7352 (1994 CO),0.0922,0.0442,0.1221,4.79802067479,40.763681376442,0.093,0.186,0.186,17.7713928200601,0.770000000000003,1.64,0.559999999999999,0.220000000000002,0.07,0.2708865,0.474768,?,5,GreaterAneas,1994CO,-,D,Bendjoya2004
