full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   617 Patroclus (1906 VY),2.0,7.0,6.0,2.0,1.0,1.0,1.0,0.0,3.0,?,?,?,?,?,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.334, 0.387]",0.33399999999999996,0.387,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0789, 0.102]",0.0789,0.102,"(0.0276, 0.0528]",0.0276,0.0528,"(15.93, 16.202]",15.93,16.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,,
   884 Priamus (1917 CQ),4.0,6.0,3.0,4.0,4.0,1.0,3.0,3.0,7.0,4.0,7.0,4.0,5.0,10.0,?,?,?,5,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0779, 0.0903]",0.0779,0.0903,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.019, 17.291]",17.019000000000002,17.291,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.179, 0.201]",0.179,0.201,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,,
  1208 Troilus (1931 YA),3.0,3.0,9.0,2.0,3.0,1.0,0.0,0.0,6.0,3.0,11.0,3.0,4.0,9.0,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0408, 0.0532]",0.0408,0.0532,"(0.495, 0.549]",0.495,0.5489999999999999,"(-0.895, 0.436]",-0.895,0.436,"(18.4, 23.599]",18.4,23.599,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0276, 0.0528]",0.0276,0.0528,"(16.747, 17.019]",16.747,17.019000000000002,"(0.718, 0.787]",0.718,0.787,"(1.847, 1.958]",1.847,1.958,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Troilus,TroilusSub,FCU,Tholin1989
  1873 Agenor (1971 FH),4.0,9.0,6.0,3.0,4.0,3.0,3.0,4.0,11.0,?,?,?,?,?,?,?,?,5,"(0.0458, 0.0571]",0.0458,0.0571,"(0.115, 0.127]",0.115,0.127,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,,
  2241 Alcathous (1979 WM),5.0,8.0,5.0,4.0,4.0,1.0,3.0,2.0,4.0,?,?,?,?,?,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(16.202, 16.475]",16.202,16.475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,D,Tholin1989
  2357 Phereclos (1981 AC),2.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,6.0,3.0,8.0,3.0,4.0,10.0,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0102, 0.0648]",0.0102,0.0648,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(16.747, 17.019]",16.747,17.019000000000002,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,D,Tholin1989
  2363 Cebriones (1977 TJ3),6.0,2.0,9.0,3.0,7.0,1.0,3.0,2.0,4.0,?,?,?,?,?,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0284, 0.0408]",0.0284,0.0408,"(0.495, 0.549]",0.495,0.5489999999999999,"(0.436, 1.766]",0.436,1.766,"(39.195, 44.393]",39.195,44.393,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(16.202, 16.475]",16.202,16.475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Cebriones,-,D,Tholin1989
  2674 Pandarus (1982 BC3),2.0,6.0,0.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,7.0,4.0,8.0,10.0,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0779, 0.0903]",0.0779,0.0903,"(0.0102, 0.0648]",0.0102,0.0648,"(1.766, 3.096]",1.766,3.096,"(13.201, 18.4]",13.200999999999999,18.4,"(0.06, 0.0717]",0.06,0.0717,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,"(16.475, 16.747]",16.475,16.747,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PandarusSub,D,Tholin1989
  2895 Memnon (1981 AE1),2.0,5.0,7.0,2.0,2.0,2.0,1.0,2.0,8.0,?,?,?,?,?,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0655, 0.0779]",0.0655,0.0779,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0483, 0.06]",0.0483,0.06,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,"(17.291, 17.564]",17.291,17.564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Memnon,MemnonSub,C,Bendjoya2004
  3317 Paris (1984 KF),1.0,6.0,8.0,2.0,1.0,2.0,3.0,2.0,5.0,?,?,?,?,?,?,?,?,5,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0779, 0.0903]",0.0779,0.0903,"(0.441, 0.495]",0.441,0.495,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(16.475, 16.747]",16.475,16.747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Memnon,MemnonSub,D,Bendjoya2004
