full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   617 Patroclus (1906 VY),0.0237,0.1004,0.3664,0.2859616427306261,8.71596334013481,0.047,0.092,0.052,15.945301822711,?,?,?,?,?,?,?,?,5,GreaterPatroclus,-,-,,
   884 Priamus (1917 CQ),0.0524,0.0867,0.1763,2.41374816773538,26.6995428087563,0.044,0.125,0.107,17.0231414013261,0.810000000000002,1.47,0.600000000000001,0.199999999999999,0.149999999999999,?,?,?,5,GreaterPatroclus,-,-,,
  1208 Troilus (1931 YA),0.0458,0.0527,0.5447,-0.832899288931401,21.0989069632291,0.041,0.074,0.028,16.780140467956,0.765000000000001,1.85,0.550000000000001,0.165000000000001,0.084999999999999,?,?,?,5,GreaterPatroclus,Troilus,TroilusSub,FCU,Tholin1989
  1873 Agenor (1971 FH),0.0553,0.1174,0.3792,1.43110703728598,23.725186285605396,0.062,0.131,0.131,18.1231630483284,?,?,?,?,?,?,?,?,5,GreaterPatroclus,-,-,,
  2241 Alcathous (1979 WM),0.0603,0.1034,0.3079,2.10273420637714,26.5432161208444,0.048,0.127,0.097,16.2466686306561,?,?,?,?,?,?,?,?,5,GreaterPatroclus,-,-,D,Tholin1989
  2357 Phereclos (1981 AC),0.0337,0.0481,0.0481,1.02111048324315,16.879149282627402,0.052,0.137,0.101,16.7983339628023,0.720000000000001,1.52,0.509999999999998,0.17,0.16,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,D,Tholin1989
  2363 Cebriones (1977 TJ3),0.0783,0.0333,0.5399,0.950664718531982,39.7238714512909,0.044,0.133,0.091,16.2402616586741,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,D,Tholin1989
  2674 Pandarus (1982 BC3),0.0345,0.08800000000000001,0.0365,1.77452912457517,18.259620366439396,0.067,0.148,0.139,16.6939702700906,0.822500000000002,1.4625,0.6075,0.249999999999999,0.152500000000001,?,?,?,5,GreaterPatroclus,Phereclos,PandarusSub,D,Tholin1989
  2895 Memnon (1981 AE1),0.0339,0.0674,0.4377,-0.7257447866358009,14.8603477748837,0.06,0.096,0.096,17.4598462441148,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,C,Bendjoya2004
  3317 Paris (1984 KF),0.0219,0.0835,0.4453,-0.8387558951541221,11.515276478118,0.055,0.129,0.081,16.5091302428742,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,D,Bendjoya2004
  3708 (1974 FV1),0.0096,0.1285,0.2511,1.2055257658143401,2.80367958409113,0.059,0.119,0.119,17.3616456904262,0.780000000000001,1.44,0.559999999999999,0.220000000000001,0.24,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,D,Bendjoya2004
  4348 Poulydamas (1988 RU),0.0409,0.0894,0.1515,1.2736489146680001,15.092080935809099,0.033,0.066,0.066,17.0985202842292,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Phereclos,PandarusSub,X,Bendjoya2004
  4709 Ennomos (1988 TU2),0.0771,0.0408,0.4507,2.10753271399614,40.1555818989617,0.077,0.08,0.087,16.3613944334258,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,,
  4722 Agelaos (4271 T-3),0.0231,0.1027,0.1364,1.4347098167583001,9.68596732623121,0.076,0.153,0.153,17.8778044650757,?,?,?,?,?,?,?,?,5,GreaterPatroclus,1971FV1,-,,
