full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1872 Helenos (1971 FG),0.109,0.015,0.2536,5.35970071653196,46.865088643883,0.067,0.152,0.152,?,0.75,1.515,0.535,0.190000000000001,0.114999999999998,?,?,?,5,GreaterAstyanax,Helenos,-,,
  4829 Sergestus (1988 RM1),0.1055,0.0199,0.1625,6.5806611987565,49.4981965675272,0.068,0.135,0.135,?,0.809999999999999,1.51,0.59,0.289999999999999,-0.23,?,?,?,5,GreaterAstyanax,Helenos,-,XD,Fornasier2012
 24453 (2000 QG173),0.1089,0.0309,0.1928,5.85221423869132,46.8431073780113,0.09,0.18,0.18,?,0.809999999999999,1.23,0.590000000000003,0.27,0.09,?,?,?,5,GreaterAstyanax,Helenos,-,,
 31814 (1999 RW70),0.1129,0.025,0.0953,6.584303078677468,48.022326728853905,0.085,?,?,?,0.810000000000002,1.5,0.600000000000001,0.280000000000001,0.189999999999998,?,?,?,5,GreaterAstyanax,Helenos,-,,
 47955 (2000 QZ73),0.1074,0.0346,0.0698,6.47613942546241,48.135008354929,0.073,?,?,?,0.82,1.57,0.600000000000001,0.299999999999997,0.120000000000001,?,?,?,5,GreaterAstyanax,Helenos,-,,
 47959 (2000 QP168),0.1073,0.0249,0.1271,6.82671573868441,49.70421247493979,0.2,0.4,0.4,?,0.770000000000001,1.36,0.550000000000001,0.245000000000001,0.09,?,?,?,5,GreaterAstyanax,Helenos,-,,
161664 (2006 DM16),0.1225,0.0043,0.2104,6.95161954138456,51.175362469582396,?,?,?,?,0.690000000000001,1.27,0.48,0.189999999999998,0.080000000000002,?,?,?,5,GreaterAstyanax,Helenos,-,,
161916 (2007 EO34),0.1123,0.0204,0.071,5.92729560670767,45.566559225008405,0.077,?,?,?,0.843333333333333,1.61666666666667,0.63,0.213333333333333,0.066666666666667,0.286614833333,0.251309,?,5,GreaterAstyanax,Helenos,-,,
184983 (2006 CS19),0.1071,0.0332,0.1878,5.60907653969366,45.8327677590364,0.096,?,?,?,?,?,?,?,?,0.3768495,0.9444645,?,5,GreaterAstyanax,Helenos,-,,
246114 (2007 GR70),0.1068,0.0407,0.1539,6.99663455154047,50.482890148935006,0.061,?,?,?,?,?,?,?,?,0.054925999999998,0.9509535,0.7833015,5,GreaterAstyanax,Helenos,-,,
283173 (2009 HZ62),0.1158,0.0047,0.2066,6.17912529002314,48.680219581456,0.053,?,?,?,?,?,?,?,?,0.178007,0.3337915,?,5,GreaterAstyanax,Helenos,-,,
