full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2895 Memnon (1981 AE1),0.0339,0.0674,0.4377,-0.7257447866358009,14.8603477748837,0.06,0.096,0.096,17.4598462441148,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,C,Bendjoya2004
  3317 Paris (1984 KF),0.0219,0.0835,0.4453,-0.8387558951541221,11.515276478118,0.055,0.129,0.081,16.5091302428742,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,D,Bendjoya2004
  6002 (1988 RO),0.0249,0.0753,0.2769,0.22973665713510602,13.0777222292201,0.075,0.15,0.15,18.3212100653478,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,-,,
 11275 (1988 SL3),0.019,0.0562,0.3999,-0.727362529227662,12.887555226061599,0.082,0.163,0.163,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 11887 Echemmon (1990 TV12),0.0283,0.0627,0.4271,-0.8305865509800581,15.3144217744959,0.095,0.191,0.191,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,,
 19844 (2000 ST317),0.0194,0.0066,0.6511,-3.31479461061036,13.243722600209699,0.053,0.107,0.107,?,0.869999999999997,1.43,0.66,0.300000000000001,0.140000000000001,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 24449 (2000 QL63),0.025,0.063,0.5862,-2.5778025475770496,8.71479789725368,0.059,0.118,0.118,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 30505 (2000 RW82),0.0461,0.1009,0.4826,0.08171528716525299,25.368641588657,0.073,0.146,0.146,?,0.869999999999997,1.58,0.650000000000002,0.27,0.16,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,D,Hasselmann2012
 31806 (1999 NE11),0.0171,0.0567,0.5392,-1.9293502958108797,12.836541336442599,0.071,0.143,0.143,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 32437 (2000 RR97),0.0289,0.0778,0.4131,-0.5427791079131911,12.5642763246065,0.07,0.14,0.14,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,,
 32475 (2000 SD234),0.022000000000000002,0.0535,0.5025,-1.27382518101763,9.32129414618544,0.076,0.088,0.088,18.9618400425566,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 32501 (2000 YV135),0.0146,0.0757,0.5214,-1.22240832574835,9.63975311101024,0.067,0.133,0.133,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 34642 (2000 WN2),0.0357,0.0491,0.3267,0.002137437754129,13.0704355931337,0.1,0.201,0.201,18.7600945164287,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,,
 37519 Amphios (3040 T-3),0.01,0.0447,0.4192,-0.7771376079876969,8.05145696069826,0.077,0.155,0.155,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
 62426 (2000 SX186),0.0211,0.0965,0.5308,-1.66627845897517,8.81493566229182,0.058,0.116,0.116,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,,
 80119 (1999 RY138),0.0094,0.0912,0.5067,-1.06925898998099,9.82171349262501,0.055,0.11,0.11,?,0.779999999999999,1.555,0.560000000000001,0.25,0.149999999999999,?,?,?,5,GreaterPatroclus,Memnon,MemnonSub,D,Hasselmann2012
105808 (2000 SZ135),0.0459,0.0645,0.5699,-1.4147691910797,24.28238204360811,0.068,?,?,?,0.890000000000001,1.49,0.67,0.210000000000001,0.124999999999998,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,D,Hasselmann2012
106060 (2000 SS316),0.0286,0.0295,0.3201,-0.18087052685632396,16.0464695018893,0.08,?,?,?,0.91,1.23,0.689999999999998,0.190000000000001,0.32,?,?,?,5,GreaterPatroclus,Memnon,-,,
125159 (2001 UV93),0.0381,0.0246,0.2409,0.439457748639313,17.224260195770302,0.055,?,?,?,0.885000000000002,1.455,0.669999999999998,0.260000000000002,0.18,?,?,?,5,GreaterPatroclus,Memnon,-,,
131447 (2001 QZ113),0.0382,0.0428,0.552,-1.01865722543994,20.004408465325398,0.066,?,?,?,0.833333333333334,1.63,0.623333333333332,0.293333333333333,0.173333333333334,?,?,?,5,GreaterPatroclus,Memnon,AmphiosSub,,
155337 (2006 KH89),0.0238,0.0422,0.3011,-0.14683152924402498,10.1748156158729,0.065,?,?,?,0.75,1.46,0.530000000000001,0.359999999999999,0.18,?,?,?,5,GreaterPatroclus,Memnon,-,,
295336 (2008 HY8),0.03,0.043,0.3036,-0.13341623160704302,14.2360137613733,0.06,?,?,?,?,?,?,?,?,0.559373,0.973755,0.407764,5,GreaterPatroclus,Memnon,-,,
369886 (2012 RM6),0.0392,0.0955,0.4437,0.09868963742576403,15.956710689826501,?,?,?,?,?,?,?,?,?,0.318022,0.585282,?,5,GreaterPatroclus,Memnon,MemnonSub,,
