full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3451 Mentor (1984 HA1),0.1175,0.0386,0.4087,7.22692922948363,58.947979124715395,0.044,0.077,0.035,15.9133792532861,0.733333333333334,1.44,0.523333333333333,0.176666666666666,0.046666666666666,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,X,Hasselmann2012
  5130 Ilioneus (1989 SC7),0.1021,0.0394,0.2905,4.49784832148674,43.6747012074168,0.069,0.108,0.108,17.3658848186784,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,-,D,Fornasier2004
  5476 (1989 TO11),0.0971,0.0445,0.2397,5.15530342949796,45.515794031374206,0.099,0.198,0.198,18.5508142273924,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,-,,
  5637 Gyas (1988 RF1),0.102,0.0737,0.3866,5.917502072929209,51.357847658785104,0.056,0.112,0.112,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 12242 Koon (1988 QY),0.1058,0.0262,0.5062,4.48119378229387,53.4071271963982,0.071,0.142,0.142,18.6430409386906,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 17416 (1988 RR10),0.0884,0.0329,0.2853,3.9684627428968002,42.073038942714795,0.063,0.125,0.125,?,0.880000000000003,1.47,0.66,0.27,0.190000000000001,?,?,?,5,GreaterAstyanax,Mentor,1988RR10Sub,D,Fornasier2004
 25883 (2000 RD88),0.0989,0.0396,0.3349,4.94305940490153,47.830437279181204,0.066,0.131,0.131,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 34521 (2000 SA191),0.106,0.0292,0.3033,6.08118661961123,50.3472877246191,0.058,0.116,0.116,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 34785 (2001 RG87),0.087,0.0228,0.3501,2.85211552739366,39.015921033477994,0.058,0.115,0.115,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,1988RR10Sub,X,Fornasier2004
 47957 (2000 QN116),0.1026,0.0463,0.1198,5.2771293946173,43.19593765955621,0.057,0.114,0.114,?,0.740000000000002,1.42,0.539999999999999,0.280000000000001,0.059999999999999,?,?,?,5,GreaterAstyanax,Mentor,-,,
 48438 (1989 WJ2),0.1015,0.0426,0.4975,4.51043489294381,51.627916090149604,0.086,0.16,0.16,18.5821056451677,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 68444 (2001 RH142),0.1053,0.079,0.4761,4.32053275493917,49.496611281732505,0.066,0.133,0.133,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 99334 (2001 VC92),0.111,0.0449,0.4758,4.561424310319639,49.9244390442598,0.059,0.118,0.118,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
109549 (2001 QM257),0.0993,0.0348,0.3791,4.09382356940012,43.877400584025295,?,?,?,?,0.789999999999999,1.5,0.57,0.280000000000001,0.079999999999998,?,?,?,5,GreaterAstyanax,Mentor,-,,
114345 (2002 XN72),0.0968,0.0214,0.3119,3.70056113056978,41.59566045907521,?,?,?,?,0.824999999999999,1.295,0.610000000000001,0.305,0.085000000000001,?,?,?,5,GreaterAstyanax,Mentor,1988RR10Sub,,
125045 (2001 TK211),0.1027,0.0458,0.413,4.30574673333098,46.015718798472214,0.058,?,?,?,?,?,?,?,?,0.26972075,0.65919375,?,5,GreaterAstyanax,Mentor,-,,
133853 (2003 YQ133),0.0775,0.0384,0.2879,3.16491370252362,37.09895207881961,0.093,?,?,?,0.789999999999999,1.31,0.57,0.259999999999998,0.110000000000003,0.429014,0.5711735,0.229949,5,GreaterAstyanax,Mentor,1988RR10Sub,,
133862 (2004 BR38),0.1041,0.0447,0.4936,4.7395947909348,52.6764655888978,0.098,?,?,?,0.719999999999999,1.43,0.5,0.400000000000002,0.259999999999998,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
153141 (2000 SP203),0.0892,0.0235,0.3009,2.91183096528647,35.996419386001,0.064,?,?,?,0.84,1.77,0.629999999999999,0.280000000000001,0.27,?,?,?,5,GreaterAstyanax,Mentor,1988RR10Sub,,
289501 (2005 EJ133),0.105,0.0376,0.4584,5.2214030701906,52.1072657563556,0.053,?,?,?,?,?,?,?,?,0.450599,0.5736825,0.083556000000002,5,GreaterAstyanax,Mentor,MentorSub,,
