full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3451 Mentor (1984 HA1),10.0,2.0,7.0,8.0,10.0,1.0,0.0,0.0,2.0,3.0,7.0,3.0,4.0,8.0,?,?,?,5,"(0.114, 0.125]",0.114,0.125,"(0.0284, 0.0408]",0.0284,0.0408,"(0.387, 0.441]",0.387,0.441,"(7.087, 8.417]",7.0870000000000015,8.417,"(54.791, 59.99]",54.791000000000004,59.99,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0276, 0.0528]",0.0276,0.0528,"(15.658, 15.93]",15.658,15.93,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(-0.0167, 0.05]",-0.0167,0.05,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,X,Hasselmann2012
  5637 Gyas (1988 RF1),8.0,5.0,6.0,7.0,9.0,2.0,2.0,3.0,?,?,?,?,?,?,?,?,?,5,"(0.0911, 0.102]",0.0911,0.102,"(0.0655, 0.0779]",0.0655,0.0779,"(0.334, 0.387]",0.33399999999999996,0.387,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(49.592, 54.791]",49.592,54.791000000000004,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
 12242 Koon (1988 QY),9.0,1.0,9.0,6.0,9.0,3.0,3.0,4.0,12.0,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0161, 0.0284]",0.0161,0.0284,"(0.495, 0.549]",0.495,0.5489999999999999,"(4.427, 5.757]",4.427,5.7570000000000014,"(49.592, 54.791]",49.592,54.791000000000004,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.381, 18.653]",18.381,18.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
 25883 (2000 RD88),8.0,2.0,6.0,6.0,8.0,3.0,3.0,4.0,?,?,?,?,?,?,?,?,?,5,"(0.0911, 0.102]",0.0911,0.102,"(0.0284, 0.0408]",0.0284,0.0408,"(0.334, 0.387]",0.33399999999999996,0.387,"(4.427, 5.757]",4.427,5.7570000000000014,"(44.393, 49.592]",44.393,49.592,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
 34521 (2000 SA191),9.0,2.0,5.0,7.0,9.0,2.0,2.0,3.0,?,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0284, 0.0408]",0.0284,0.0408,"(0.28, 0.334]",0.28,0.33399999999999996,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(49.592, 54.791]",49.592,54.791000000000004,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
 48438 (1989 WJ2),8.0,3.0,9.0,6.0,9.0,5.0,4.0,5.0,12.0,?,?,?,?,?,?,?,?,5,"(0.0911, 0.102]",0.0911,0.102,"(0.0408, 0.0532]",0.0408,0.0532,"(0.495, 0.549]",0.495,0.5489999999999999,"(4.427, 5.757]",4.427,5.7570000000000014,"(49.592, 54.791]",49.592,54.791000000000004,"(0.0833, 0.095]",0.0833,0.095,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,"(18.381, 18.653]",18.381,18.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
 68444 (2001 RH142),9.0,6.0,8.0,5.0,8.0,3.0,3.0,4.0,?,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0779, 0.0903]",0.0779,0.0903,"(0.441, 0.495]",0.441,0.495,"(3.096, 4.427]",3.096,4.427,"(44.393, 49.592]",44.393,49.592,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
 99334 (2001 VC92),9.0,3.0,8.0,6.0,9.0,2.0,2.0,3.0,?,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0408, 0.0532]",0.0408,0.0532,"(0.441, 0.495]",0.441,0.495,"(4.427, 5.757]",4.427,5.7570000000000014,"(49.592, 54.791]",49.592,54.791000000000004,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
133862 (2004 BR38),9.0,3.0,8.0,6.0,9.0,6.0,?,?,?,3.0,7.0,3.0,14.0,12.0,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0408, 0.0532]",0.0408,0.0532,"(0.441, 0.495]",0.441,0.495,"(4.427, 5.757]",4.427,5.7570000000000014,"(49.592, 54.791]",49.592,54.791000000000004,"(0.095, 0.107]",0.095,0.107,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.378, 0.4]",0.378,0.4,"(0.25, 0.317]",0.25,0.317,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Mentor,MentorSub,,
289501 (2005 EJ133),9.0,2.0,8.0,6.0,9.0,2.0,?,?,?,?,?,?,?,?,9.0,4.0,4.0,5,"(0.102, 0.114]",0.102,0.114,"(0.0284, 0.0408]",0.0284,0.0408,"(0.441, 0.495]",0.441,0.495,"(4.427, 5.757]",4.427,5.7570000000000014,"(49.592, 54.791]",49.592,54.791000000000004,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.445, 0.492]",0.445,0.4920000000000001,"(0.549, 0.669]",0.5489999999999999,0.669,"(0.0753, 0.177]",0.0753,0.177,GreaterAstyanax,Mentor,MentorSub,,
