full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3451 Mentor (1984 HA1),0.1175,0.0386,0.4087,7.22692922948363,58.947979124715395,0.044000000000000004,0.077,0.035,15.9133792532861,0.733333333333334,1.44,0.523333333333333,0.176666666666666,0.046666666666666,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,X,Hasselmann2012
  5637 Gyas (1988 RF1),0.102,0.0737,0.3866,5.917502072929209,51.357847658785104,0.055999999999999994,0.112,0.112,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 12242 Koon (1988 QY),0.1058,0.0262,0.5062,4.48119378229387,53.4071271963982,0.071,0.142,0.142,18.6430409386906,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 25883 (2000 RD88),0.0989,0.0396,0.3349,4.94305940490153,47.830437279181204,0.066,0.131,0.131,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 34521 (2000 SA191),0.106,0.0292,0.3033,6.08118661961123,50.3472877246191,0.057999999999999996,0.116,0.116,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 48438 (1989 WJ2),0.1015,0.0426,0.4975,4.51043489294381,51.627916090149604,0.086,0.16,0.16,18.5821056451677,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 68444 (2001 RH142),0.1053,0.079,0.4761,4.32053275493917,49.496611281732505,0.066,0.133,0.133,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 99334 (2001 VC92),0.111,0.0449,0.4758,4.561424310319639,49.9244390442598,0.059000000000000004,0.118,0.118,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
133862 (2004 BR38),0.1041,0.0447,0.4936,4.7395947909348,52.6764655888978,0.098,?,?,?,0.719999999999999,1.43,0.5,0.400000000000002,0.259999999999998,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
289501 (2005 EJ133),0.105,0.0376,0.4584,5.2214030701906,52.1072657563556,0.053,?,?,?,?,?,?,?,?,0.450599,0.5736825,0.083556000000002,5,GreaterAstyanax,Mentor,MentorSub,,
