full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2357 Phereclos (1981 AC),2.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,6.0,3.0,8.0,3.0,4.0,10.0,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0102, 0.0648]",0.0102,0.0648,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(16.747, 17.019]",16.747,17.019000000000002,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,D,Tholin1989
 30499 (2000 QE169),3.0,4.0,1.0,3.0,3.0,4.0,?,?,?,5.0,8.0,5.0,7.0,10.0,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0717, 0.0833]",0.0717,0.0833,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.515, 1.626]",1.515,1.626,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,D,Hasselmann2012
 54646 (2000 SS291),3.0,4.0,1.0,3.0,2.0,3.0,?,?,?,4.0,7.0,4.0,7.0,12.0,7.0,3.0,3.0,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.223, 0.245]",0.223,0.245,"(0.25, 0.317]",0.25,0.317,"(0.351, 0.398]",0.35100000000000003,0.398,"(0.429, 0.549]",0.429,0.5489999999999999,"(-0.0266, 0.0753]",-0.0266,0.0753,GreaterPatroclus,Phereclos,PhereclosSub,,
 55460 (2001 TW148),3.0,4.0,1.0,3.0,2.0,9.0,?,?,?,3.0,6.0,3.0,4.0,9.0,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.13, 0.142]",0.13,0.142,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.294, 1.405]",1.294,1.405,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,,
 56976 (2000 SS161),3.0,4.0,3.0,3.0,2.0,6.0,5.0,6.0,?,3.0,7.0,3.0,6.0,9.0,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0532, 0.0655]",0.0532,0.0655,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.095, 0.107]",0.095,0.107,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.201, 0.223]",0.201,0.223,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,D,Hasselmann2012
110832 (2001 UA58),2.0,2.0,0.0,3.0,1.0,3.0,?,?,?,5.0,8.0,5.0,7.0,9.0,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0284, 0.0408]",0.0284,0.0408,"(0.0102, 0.0648]",0.0102,0.0648,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.515, 1.626]",1.515,1.626,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,,
125059 (2001 TB233),2.0,4.0,2.0,3.0,2.0,?,?,?,?,?,?,?,?,?,4.0,3.0,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0532, 0.0655]",0.0532,0.0655,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.21, 0.257]",0.21,0.257,"(0.429, 0.549]",0.429,0.5489999999999999,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,,
156294 (2001 WU66),3.0,5.0,1.0,3.0,2.0,?,?,?,?,3.0,4.0,3.0,2.0,7.0,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0655, 0.0779]",0.0655,0.0779,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,-,-,-,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.073, 1.183]",1.073,1.183,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.113, 0.135]",0.113,0.135,"(-0.0833, -0.0167]",-0.0833,-0.0167,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,,
157471 (2005 AX71),3.0,6.0,1.0,3.0,1.0,?,?,?,?,3.0,6.0,3.0,9.0,9.0,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0779, 0.0903]",0.0779,0.0903,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,-,-,-,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.294, 1.405]",1.294,1.405,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.267, 0.29]",0.267,0.29,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,,
160164 (2001 TW252),2.0,6.0,2.0,3.0,2.0,?,?,?,?,3.0,7.0,3.0,7.0,9.0,4.0,4.0,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0779, 0.0903]",0.0779,0.0903,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,-,-,-,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.223, 0.245]",0.223,0.245,"(0.05, 0.117]",0.05,0.117,"(0.21, 0.257]",0.21,0.257,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,GreaterPatroclus,Phereclos,PhereclosSub,,
