full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2357 Phereclos (1981 AC),0.0337,0.0481,0.0481,1.02111048324315,16.879149282627402,0.052,0.137,0.101,16.7983339628023,0.720000000000001,1.52,0.509999999999998,0.17,0.16,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,D,Tholin1989
 30499 (2000 QE169),0.0379,0.0539,0.0905,1.30459232958322,19.2718425294355,0.075,?,?,?,0.860000000000003,1.54,0.640000000000001,0.240000000000002,0.139999999999997,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,D,Hasselmann2012
 54646 (2000 SS291),0.0379,0.0634,0.0834,1.1197736863774699,17.3848277736626,0.07,?,?,?,0.823333333333333,1.42666666666667,0.603333333333332,0.23,0.273333333333332,0.356502,0.493519,0.0645025,5,GreaterPatroclus,Phereclos,PhereclosSub,,
 55460 (2001 TW148),0.0351,0.0551,0.11599999999999999,1.1597306799323501,18.0838926543927,0.131,?,?,?,0.7525,1.3525,0.54,0.170000000000001,0.092499999999999,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
 56976 (2000 SS161),0.0367,0.0582,0.2094,0.6929441561626392,13.418691517530196,0.097,0.193,0.193,?,0.756666666666668,1.46666666666667,0.540000000000001,0.203333333333332,0.103333333333334,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,D,Hasselmann2012
110832 (2001 UA58),0.0302,0.0364,0.0469,0.474813933371934,11.736676271452902,0.07,?,?,?,0.920000000000002,1.56,0.689999999999998,0.23,0.09,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
125059 (2001 TB233),0.0335,0.0607,0.1513,0.8028277820183121,13.5918048298576,?,?,?,?,?,?,?,?,?,0.254729,0.455755,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
156294 (2001 WU66),0.037000000000000005,0.0734,0.073,1.14141189374089,14.4424363893561,?,?,?,?,0.739999999999998,1.15,0.530000000000001,0.120000000000001,-0.02,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
157471 (2005 AX71),0.0352,0.0833,0.071,1.15784438517198,12.6301801652506,?,?,?,?,0.770000000000003,1.36,0.559999999999999,0.280000000000001,0.07,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
160164 (2001 TW252),0.0295,0.0869,0.1592,1.3676474762063402,13.8430584122791,?,?,?,?,0.753333333333334,1.44333333333333,0.540000000000001,0.229999999999998,0.053333333333333,0.2402665,0.62044125,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
185906 (2000 SF94),0.0366,0.0409,0.1658,0.436489104356781,14.3743635974191,0.073,?,?,?,?,?,?,?,?,0.4325985,0.430483,-0.003484499999999,5,GreaterPatroclus,Phereclos,PhereclosSub,,
283519 (2001 TP47),0.0435,0.052000000000000005,0.1672,0.788730057198848,15.8278689633137,?,?,?,?,?,?,?,?,?,0.271765,0.709011,?,5,GreaterPatroclus,Phereclos,PhereclosSub,,
