full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2223 Sarpedon (1977 TL3),0.0655,0.038,0.2882,1.7752853136545401,30.449686468672198,0.051,0.125,0.098,?,0.665000000000001,1.445,0.460000000000001,0.120000000000001,0.089999999999998,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,DU,Tholin1989
 18054 (1999 SW7),0.0649,0.0446,0.3147,1.84880042650394,30.759446631065195,0.071,0.171,0.171,?,0.865,1.5,0.65,0.234999999999999,0.175000000000001,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,D,Hasselmann2012
 30698 Hippokoon (2299 T-3),0.061,0.0166,0.1485,1.5739091223570705,25.2195807565238,0.101,0.201,0.201,?,0.770000000000003,1.4,0.559999999999999,0.200000000000003,0,?,?,?,5,GreaterAneas,Sarpedon,HippokoonSub,D,Fornasier2007
 32370 (2000 QY151),0.0776,0.0149,0.1428,3.5610735416455603,36.531834304591705,0.062,?,?,?,0.859999999999999,1.17,0.640000000000001,0.279999999999998,0.130000000000003,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,,
 36922 (2000 SN209),0.068,0.0151,0.1606,2.33201001044671,29.097775849405302,0.119,0.238,0.238,?,0.770000000000003,1.39,0.559999999999999,0.200000000000003,0.059999999999999,?,?,?,5,GreaterAneas,Sarpedon,HippokoonSub,,
 47963 (2000 SO56),0.0708,0.0254,0.2287,1.63338006477051,27.470383730871802,0.047,?,?,?,?,?,?,?,?,0.4780545,0.49814375,0.151941,5,GreaterAneas,Sarpedon,SarpedonSub,,
 51346 (2000 QX158),0.0827,0.0206,0.1755,3.60142214264505,37.2739388983618,0.078,?,?,?,0.819999999999999,1.485,0.600000000000001,0.254999999999999,0.094999999999999,?,?,?,5,GreaterAneas,Sarpedon,-,D,Hasselmann2012
 54653 (2000 SB350),0.0698,0.0347,0.2607,2.52293034689791,32.7290036522787,0.054,?,?,?,0.863333333333333,1.45333333333333,0.646666666666666,0.293333333333334,0.153333333333332,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,,
 54655 (2000 SQ362),0.063,0.0598,0.2774,2.10822169674384,30.6280327824786,0.075,?,?,?,0.859999999999999,1.98,0.649999999999999,0.27,0.130000000000003,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,,
 77902 (2001 TY141),0.0628,0.0324,0.1334,2.21531266504894,27.210285025746607,0.084,?,?,?,?,?,?,?,?,0.250314,0.3901755,?,5,GreaterAneas,Sarpedon,SarpedonSub,,
 84709 (2002 VW120),0.0709,0.0409,0.2794,1.59227119119134,28.141174413887402,0.088,0.177,0.177,?,?,?,?,?,?,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,D,Fornasier2007
 98037 (2000 RE20),0.0734,0.0161,0.1504,2.02398155605113,27.934895069900602,0.169,?,?,?,0.729999999999997,1.42,0.52,0.18,0.240000000000002,?,?,?,5,GreaterAneas,Sarpedon,HippokoonSub,,
105720 (2000 SR79),0.0803,0.0112,0.1602,2.9190739798176004,32.407582881105,0.088,?,?,?,0.830000000000002,1.41,0.619999999999997,0.200000000000003,0.169999999999998,?,?,?,5,GreaterAneas,Sarpedon,HippokoonSub,,
106091 (2000 SZ361),0.0558,0.0074,0.1302,1.87564163507017,26.785618846062498,0.093,?,?,?,0.740000000000002,1.53,0.529999999999998,0.23,0.030000000000001,?,?,?,5,GreaterAneas,Sarpedon,HippokoonSub,,
154992 (2005 CV68),0.0758,0.0317,0.15,2.82982003359621,32.3652797637136,0.061,?,?,?,0.869999999999999,1.49,0.655000000000001,0.33,0.129999999999999,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,,
370105 (2001 TA132),0.0628,0.0443,0.3424,1.5362852397347502,28.124381846329108,0.047,?,?,?,?,?,?,?,?,0.540669,0.427361,?,5,GreaterAneas,Sarpedon,SarpedonSub,,
491611 (2012 TX51),0.0665,0.0507,0.3006,1.90181879155068,29.661782467638,?,?,?,?,?,?,?,?,?,0.1425745,0.939076,0.510611,5,GreaterAneas,Sarpedon,SarpedonSub,,
