full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2223 Sarpedon (1977 TL3),5.0,2.0,5.0,4.0,5.0,2.0,3.0,2.0,?,2.0,7.0,2.0,2.0,9.0,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0284, 0.0408]",0.0284,0.0408,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.405, 1.515]",1.405,1.515,"(0.433, 0.5]",0.433,0.5,"(0.113, 0.135]",0.113,0.135,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,DU,Tholin1989
 18054 (1999 SW7),5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,?,5.0,7.0,5.0,7.0,10.0,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0408, 0.0532]",0.0408,0.0532,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,D,Hasselmann2012
 32370 (2000 QY151),6.0,0.0,2.0,5.0,6.0,3.0,?,?,?,5.0,4.0,5.0,9.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.00351, 0.0161]",0.00351,0.0161,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.073, 1.183]",1.073,1.183,"(0.633, 0.7]",0.633,0.7,"(0.267, 0.29]",0.267,0.29,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,,
 47963 (2000 SO56),6.0,1.0,4.0,3.0,4.0,1.0,?,?,?,?,?,?,?,?,9.0,3.0,4.0,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0161, 0.0284]",0.0161,0.0284,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0367, 0.0483]",0.0367,0.0483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.445, 0.492]",0.445,0.4920000000000001,"(0.429, 0.549]",0.429,0.5489999999999999,"(0.0753, 0.177]",0.0753,0.177,GreaterAneas,Sarpedon,SarpedonSub,,
 54653 (2000 SB350),6.0,2.0,4.0,4.0,5.0,2.0,?,?,?,5.0,7.0,5.0,10.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0284, 0.0408]",0.0284,0.0408,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.29, 0.312]",0.29,0.312,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,,
 54655 (2000 SQ362),5.0,4.0,4.0,4.0,5.0,4.0,?,?,?,5.0,12.0,5.0,9.0,10.0,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0532, 0.0655]",0.0532,0.0655,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.958, 2.069]",1.958,2.069,"(0.633, 0.7]",0.633,0.7,"(0.267, 0.29]",0.267,0.29,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,,
 77902 (2001 TY141),5.0,2.0,2.0,4.0,4.0,5.0,?,?,?,?,?,?,?,?,4.0,2.0,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0284, 0.0408]",0.0284,0.0408,"(0.119, 0.172]",0.11900000000000001,0.172,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0833, 0.095]",0.0833,0.095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.21, 0.257]",0.21,0.257,"(0.309, 0.429]",0.309,0.429,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,,
 84709 (2002 VW120),6.0,3.0,4.0,3.0,4.0,5.0,5.0,6.0,?,?,?,?,?,?,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,D,Fornasier2007
154992 (2005 CV68),6.0,2.0,2.0,4.0,5.0,3.0,?,?,?,5.0,7.0,5.0,11.0,10.0,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0284, 0.0408]",0.0284,0.0408,"(0.119, 0.172]",0.11900000000000001,0.172,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.312, 0.334]",0.312,0.334,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,,
370105 (2001 TA132),5.0,3.0,6.0,3.0,4.0,1.0,?,?,?,?,?,?,?,?,11.0,2.0,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0408, 0.0532]",0.0408,0.0532,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0367, 0.0483]",0.0367,0.0483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.539, 0.586]",0.539,0.586,"(0.309, 0.429]",0.309,0.429,-,-,-,GreaterAneas,Sarpedon,SarpedonSub,,
