full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1208 Troilus (1931 YA),0.0458,0.0527,0.5447,-0.832899288931401,21.0989069632291,0.041,0.074,0.028,16.780140467956,0.765000000000001,1.85,0.550000000000001,0.165000000000001,0.084999999999999,?,?,?,5,GreaterPatroclus,Troilus,TroilusSub,FCU,Tholin1989
 17172 (1999 NZ41),0.0414,0.0364,0.4681,-0.6935799602626391,21.4452147199638,0.078,0.156,0.156,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,TroilusSub,,
 22180 (2000 YZ),0.0528,0.078,0.5091,-0.400505114941325,25.019876803481196,0.102,0.205,0.205,17.9806696401857,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,1988RY11Sub,,
 29977 (1999 NH11),0.0498,0.0468,0.3858,-0.143615783696362,19.285783050240603,0.07,?,?,?,0.889999999999997,1.39,0.68,0.219999999999999,0.110000000000003,?,?,?,5,GreaterPatroclus,Troilus,1988RY11Sub,,
 30791 (1988 RY11),0.0564,0.0757,0.4064,0.318623857170849,23.2662931696268,0.108,0.215,0.215,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,1988RY11Sub,,
 32464 (2000 SB132),0.0456,0.0732,0.4435,-0.132575405538887,22.428444706195695,0.058,0.179,0.179,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,1988RY11Sub,,
 32480 (2000 SG348),0.0513,0.0534,0.34600000000000003,0.15630395957453,19.1935344811551,0.073,0.192,0.192,?,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,1988RY11Sub,,
 51365 (2000 TA42),0.0656,0.0475,0.5104,-0.041207398747361,24.957468806477298,0.074,0.146,0.146,18.4669274208268,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,-,,
 76867 (2000 YM5),0.0575,0.0379,0.4872,0.08326393955934501,24.959814947221798,0.088,0.166,0.166,17.9986358144693,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Troilus,-,,
117447 (2005 AX46),0.0492,0.0118,0.4706,-1.01425128376047,19.199524230562602,0.047,?,?,?,0.73,1.33,0.52,0.120000000000001,0.099999999999998,?,?,?,5,GreaterPatroclus,Troilus,TroilusSub,,
122592 (2000 RE29),0.0475,0.0388,0.4885,-0.32093043394314696,27.499944698189307,?,?,?,?,0.759999999999998,1.51,0.550000000000001,0.32,0.18,?,?,?,5,GreaterPatroclus,Troilus,-,,
129153 (2005 EL140),0.0329,0.0481,0.4377,-0.84719475618698,18.3384271175839,0.073,?,?,?,0.760000000000002,2.09,0.550000000000001,0.23,0.16,?,?,?,5,GreaterPatroclus,Troilus,TroilusSub,,
299491 (2006 BY198),0.0375,0.0467,0.4925,-0.6454894114039009,19.902215812961305,0.048,?,?,?,?,?,?,?,?,0.160871,0.7384565,-0.1370975,5,GreaterPatroclus,Troilus,TroilusSub,,
