full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
       (2011 YQ4),3.0,7.0,7.0,2.0,2.0,?,?,?,?,?,?,?,?,?,6.0,3.0,?,4.0,"(0.0371, 0.0493]",0.0371,0.0493,"(0.08, 0.091]",0.08,0.091,"(0.387, 0.441]",0.387,0.441,"(59.105, 60.436]",59.105,60.43600000000001,"(14.326, 19.431]",14.326,19.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.287, 0.331]",0.287,0.331,"(0.487, 0.602]",0.487,0.602,,,,-,-,-,,
   588 Achilles (1906 TG),2.0,9.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,?,?,?,?,?,8.0,4.0,?,4.0,"(0.025, 0.0371]",0.025,0.0371,"(0.102, 0.113]",0.102,0.113,"(0.172, 0.226]",0.172,0.226,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(14.326, 19.431]",14.326,19.431,"(0.0365, 0.0481]",0.0365,0.0481,"(0.124, 0.146]",0.124,0.146,"(0.0599, 0.0839]",0.0599,0.0839,"(16.202, 16.475]",16.202,16.475,,,,,,,,,,,,,,,,"(0.375, 0.42]",0.375,0.42,"(0.602, 0.717]",0.602,0.7170000000000001,,,,GreaterAchilles,Achilles,-,,
   624 Hektor (1907 XM),7.0,4.0,5.0,5.0,6.0,0.0,4.0,4.0,0.0,?,?,?,?,?,4.0,3.0,?,4.0,"(0.0858, 0.098]",0.0858,0.098,"(0.0473, 0.0582]",0.0473,0.0582,"(0.28, 0.334]",0.28,0.334,"(63.096, 64.427]",63.096,64.42699999999999,"(34.746, 39.851]",34.746,39.851,"(0.0248, 0.0365]",0.0248,0.0365,"(0.146, 0.169]",0.146,0.16899999999999998,"(0.132, 0.156]",0.132,0.156,"(15.109, 15.386]",15.109000000000002,15.386,,,,,,,,,,,,,,,,"(0.198, 0.243]",0.198,0.243,"(0.487, 0.602]",0.487,0.602,,,,GreaterHektor,Hektor,-,,
   659 Nestor (1908 CS),3.0,12.0,1.0,5.0,3.0,0.0,0.0,1.0,5.0,?,?,?,?,?,?,?,?,4.0,"(0.0371, 0.0493]",0.0371,0.0493,"(0.135, 0.145]",0.135,0.145,"(0.0648, 0.119]",0.0648,0.119,"(63.096, 64.427]",63.096,64.42699999999999,"(19.431, 24.536]",19.431,24.536,"(0.0248, 0.0365]",0.0248,0.0365,"(0.0557, 0.0786]",0.0557,0.0786,"(0.0599, 0.0839]",0.0599,0.0839,"(16.475, 16.747]",16.475,16.747,,,,,,,,,,,,,,,,,,,,,,,,,GreaterNestor,Nestor,-,,
   911 Agamemnon (1919 FD),6.0,1.0,6.0,3.0,5.0,4.0,3.0,3.0,3.0,?,?,?,?,?,?,?,?,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0146, 0.0255]",0.0146,0.0255,"(0.334, 0.387]",0.334,0.387,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(29.641, 34.746]",29.641,34.746,"(0.0711, 0.0827]",0.0711,0.0827,"(0.124, 0.146]",0.124,0.146,"(0.108, 0.132]",0.108,0.132,"(15.93, 16.202]",15.93,16.202,,,,,,,,,,,,,,,,,,,,,,,,,-,Agamemnon,-,,
  1143 Odysseus (1930 BH),3.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,?,?,?,?,?,?,?,?,4.0,"(0.0371, 0.0493]",0.0371,0.0493,"(0.0473, 0.0582]",0.0473,0.0582,"(0.0648, 0.119]",0.0648,0.119,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(14.326, 19.431]",14.326,19.431,"(0.0481, 0.0596]",0.0481,0.0596,"(0.124, 0.146]",0.124,0.146,"(0.108, 0.132]",0.108,0.132,"(15.93, 16.202]",15.93,16.202,,,,,,,,,,,,,,,,,,,,,,,,,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1404 Ajax (1936 QW),7.0,6.0,5.0,5.0,6.0,1.0,1.0,0.0,8.0,?,?,?,?,?,?,?,?,4.0,"(0.0858, 0.098]",0.0858,0.098,"(0.0691, 0.08]",0.0691,0.08,"(0.28, 0.334]",0.28,0.334,"(63.096, 64.427]",63.096,64.42699999999999,"(34.746, 39.851]",34.746,39.851,"(0.0365, 0.0481]",0.0365,0.0481,"(0.0786, 0.101]",0.0786,0.101,"(0.0356, 0.0599]",0.0356,0.0599,"(17.291, 17.564]",17.291,17.564,,,,,,,,,,,,,,,,,,,,,,,,,GreaterAjax,Ajax,AjaxSub,,
  1437 Diomedes (1937 PB),10.0,2.0,6.0,9.0,11.0,3.0,1.0,1.0,3.0,?,?,?,?,?,?,?,?,4.0,"(0.122, 0.135]",0.122,0.135,"(0.0255, 0.0364]",0.0255,0.0364,"(0.334, 0.387]",0.334,0.387,"(68.417, 69.748]",68.417,69.748,"(60.271, 65.376]",60.271,65.376,"(0.0596, 0.0711]",0.0596,0.0711,"(0.0786, 0.101]",0.0786,0.101,"(0.0599, 0.0839]",0.0599,0.0839,"(15.93, 16.202]",15.93,16.202,,,,,,,,,,,,,,,,,,,,,,,,,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  1583 Antilochus (1950 SA),8.0,1.0,8.0,6.0,9.0,2.0,3.0,2.0,4.0,?,?,?,?,?,?,?,?,4.0,"(0.098, 0.11]",0.098,0.11,"(0.0146, 0.0255]",0.0146,0.0255,"(0.441, 0.495]",0.441,0.495,"(64.427, 65.757]",64.42699999999999,65.757,"(50.061, 55.166]",50.06100000000001,55.166,"(0.0481, 0.0596]",0.0481,0.0596,"(0.124, 0.146]",0.124,0.146,"(0.0839, 0.108]",0.0839,0.108,"(16.202, 16.475]",16.202,16.475,,,,,,,,,,,,,,,,,,,,,,,,,GreaterHektor,Hektor,-,D,Tholin1989
  1647 Menelaus (1957 MK),3.0,5.0,1.0,3.0,2.0,2.0,?,?,10.0,?,?,?,?,?,?,?,?,4.0,"(0.0371, 0.0493]",0.0371,0.0493,"(0.0582, 0.0691]",0.0582,0.0691,"(0.0648, 0.119]",0.0648,0.119,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(14.326, 19.431]",14.326,19.431,"(0.0481, 0.0596]",0.0481,0.0596,,,,,,,"(17.836, 18.108]",17.836,18.108,,,,,,,,,,,,,,,,,,,,,,,,,GreaterOdysseus,Odysseus,-,,
