full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   588 Achilles (1906 TG),0.0314,0.1036,0.1969,61.7396918002055,17.5736147726714,0.043,0.129,0.066,16.3754912945836,?,?,?,?,?,0.3955895,0.641102,?,4,GreaterAchilles,Achilles,-,,
   624 Hektor (1907 XM),0.0877,0.0544,0.3259,63.38582534374501,39.486365904512,0.025,0.155,0.136,15.1133454085921,?,?,?,?,?,0.2257365,0.492976,?,4,GreaterHektor,Hektor,-,,
   659 Nestor (1908 CS),0.0493,0.1366,0.0857,63.2466039515839,22.224746816099,0.035,0.074,0.061,16.7279375368804,?,?,?,?,?,?,?,?,4,GreaterNestor,Nestor,-,,
   911 Agamemnon (1919 FD),0.0777,0.021,0.3863,61.538214494507294,33.6212306766675,0.072,0.136,0.114,16.1529577722353,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
  1143 Odysseus (1930 BH),0.0481,0.0522,0.0691,61.1267352563413,17.3265569235909,0.05,0.146,0.131,16.1948864436993,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1404 Ajax (1936 QW),0.0917,0.076,0.3274,63.51784742468921,38.7861707440078,0.048,0.085,0.054,17.5628785735148,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
  1437 Diomedes (1937 PB),0.1282,0.0314,0.3726,68.5240310823729,60.6210685366075,0.061,0.087,0.083,16.1685122916254,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  1583 Antilochus (1950 SA),0.1065,0.0187,0.4857,65.45949919286029,53.4679104481866,0.054,0.135,0.09,16.203213394493,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,D,Tholin1989
  1647 Menelaus (1957 MK),0.0387,0.0588,0.1166,60.9147809144919,14.7348337634413,0.056,?,?,17.8843163625288,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
  1749 Telamon (1949 SB),0.0661,0.0685,0.1187,62.8223755376299,29.850577413641602,0.073,0.148,0.142,17.2545398339503,0.805,1.435,0.599999999999999,0.210000000000001,0.155,?,?,?,4,GreaterTelamon,Telamon,-,D,Hasselmann2012
  1868 Thersites (2008 P-L),0.1033,0.1042,0.2896,65.917460578082,45.442549787191496,0.055,0.132,0.113,17.7430657291448,?,?,?,?,?,?,?,?,4,GreaterHektor,Thersites,-,DX,Bendjoya2004
  1869 Philoctetes (4596 P-L),0.1025,0.0614,0.0599,65.1318548928277,41.2018453926555,0.104,0.208,0.208,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
  2146 Stentor (1976 UQ),0.0166,0.0651,0.6122,57.7887728134706,10.7870938581815,0.082,0.144,0.131,18.0401494657795,?,?,?,?,?,?,?,?,4,-,Stentor,-,,
  2148 Epeios (1976 UW),0.0224,0.024,0.1552,60.3593938087945,11.338766046802098,0.064,0.128,0.128,18.8369452993266,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
  2260 Neoptolemus (1975 WM1),0.0192,0.0197,0.28300000000000003,59.676915924954,11.650349085794101,0.057,0.153,0.124,17.1756102839943,0.800000000000001,1.48,0.59,0.260000000000002,0.190000000000001,?,?,?,4,-,-,-,DTU,Tholin1989
  2456 Palamedes (1966 BA1),0.0793,0.0293,0.2567,63.2363847754396,36.7668431810594,0.071,0.145,0.122,17.3030250229599,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
  2759 Idomeneus (1980 GC),0.048,0.0875,0.3662,61.3838911649461,24.9479342663198,0.067,0.129,0.129,17.5078073720976,0.803333333333333,1.45666666666667,0.593333333333334,0.263333333333334,0.129999999999998,?,?,?,4,-,Idomeneus,-,D,Hasselmann2012
  2797 Teucer (1981 LK),0.1052,0.0768,0.3586,65.9833019384528,50.76156896084001,0.073,0.152,0.134,16.5319846010229,0.796666666666666,1.42,0.579999999999999,0.263333333333333,0.126666666666666,?,?,?,4,GreaterHektor,Thersites,-,D,Hasselmann2012
  2920 Automedon (1981 JR),0.0986,0.0165,0.3731,64.899987024253,47.205650845065406,0.068,0.147,0.118,16.6266645609809,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
  3063 Makhaon (1983 PV),0.0607,0.0558,0.2338,62.1317411320348,28.365797809657305,0.056,0.128,0.114,16.2286740141627,0.690000000000001,1.535,0.475,0.25,0.105,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,D,Lazzaro2004
  3391 Sinon (1977 DD3),0.0924,0.0432,0.2728,63.08083799131151,36.7496116954262,0.093,0.187,0.187,18.2889552378987,?,?,?,?,?,0.308643,0.5330925,?,4,GreaterDiomedes,-,-,,
