full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
       (2011 YQ4),3.0,6.0,7.0,2.0,2.0,?,?,?,?,?,?,?,?,?,6.0,3.0,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0779, 0.0903]",0.0779,0.0903,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(13.201, 18.4]",13.201,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.429, 0.549]",0.429,0.5489999999999999,,,,-,-,-,,
   588 Achilles (1906 TG),2.0,8.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,?,?,?,?,?,7.0,4.0,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.103, 0.115]",0.103,0.115,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.201,18.4,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0528, 0.0776]",0.0528,0.0776,"(16.202, 16.475]",16.202,16.475,,,,,,,,,,,,,,,,"(0.351, 0.398]",0.35100000000000003,0.398,"(0.549, 0.669]",0.5489999999999999,0.669,,,,GreaterAchilles,Achilles,-,,
   617 Patroclus (1906 VY),2.0,7.0,6.0,2.0,1.0,1.0,1.0,0.0,3.0,?,?,?,?,?,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0903, 0.103]",0.0903,0.103,"(0.334, 0.387]",0.334,0.387,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.201,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0789, 0.102]",0.0789,0.102,"(0.0276, 0.0528]",0.0276,0.0528,"(15.93, 16.202]",15.93,16.202,,,,,,,,,,,,,,,,,,,,,,,,,GreaterPatroclus,-,-,,
   624 Hektor (1907 XM),7.0,4.0,5.0,5.0,7.0,0.0,4.0,4.0,0.0,?,?,?,?,?,4.0,3.0,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0532, 0.0655]",0.0532,0.0655,"(0.28, 0.334]",0.28,0.334,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.0248, 0.0367]",0.0248,0.0367,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,"(15.109, 15.386]",15.109000000000002,15.386,,,,,,,,,,,,,,,,"(0.21, 0.257]",0.21,0.257,"(0.429, 0.549]",0.429,0.5489999999999999,,,,GreaterHektor,Hektor,-,,
   659 Nestor (1908 CS),4.0,10.0,1.0,5.0,3.0,0.0,0.0,1.0,5.0,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.127, 0.14]",0.127,0.14,"(0.0648, 0.119]",0.0648,0.119,"(3.096, 4.427]",3.096,4.427,"(18.4, 23.599]",18.4,23.599,"(0.0248, 0.0367]",0.0248,0.0367,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0528, 0.0776]",0.0528,0.0776,"(16.475, 16.747]",16.475,16.747,,,,,,,,,,,,,,,,,,,,,,,,,GreaterNestor,Nestor,-,,
   884 Priamus (1917 CQ),4.0,6.0,3.0,4.0,4.0,1.0,3.0,3.0,7.0,4.0,7.0,4.0,5.0,10.0,?,?,?,5,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0779, 0.0903]",0.0779,0.0903,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.797,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.019, 17.291]",17.019000000000002,17.291,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.179, 0.201]",0.179,0.201,"(0.117, 0.183]",0.117,0.183,,,,,,,,,,GreaterPatroclus,-,-,,
   911 Agamemnon (1919 FD),6.0,1.0,6.0,3.0,5.0,4.0,3.0,3.0,3.0,?,?,?,?,?,?,?,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0161, 0.0284]",0.0161,0.0284,"(0.334, 0.387]",0.334,0.387,"(0.436, 1.766]",0.436,1.766,"(28.797, 33.996]",28.797,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(15.93, 16.202]",15.93,16.202,,,,,,,,,,,,,,,,,,,,,,,,,-,Agamemnon,-,,
  1143 Odysseus (1930 BH),4.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.119,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.201,18.4,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(15.93, 16.202]",15.93,16.202,,,,,,,,,,,,,,,,,,,,,,,,,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1172 Aneas (1930 UA),4.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,?,2.0,9.0,3.0,0.0,8.0,?,?,?,5,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0532, 0.0655]",0.0532,0.0655,"(0.28, 0.334]",0.28,0.334,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.797,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,,,,"(0.649, 0.718]",0.649,0.718,"(1.626, 1.737]",1.626,1.737,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.0682, 0.0907]",0.0682,0.0907,"(-0.0167, 0.05]",-0.0167,0.05,,,,,,,,,,GreaterAneas,Aneas,AneasSub,D,Tholin1989
  1173 Anchises (1930 UB),9.0,7.0,2.0,7.0,8.0,2.0,1.0,2.0,6.0,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0903, 0.103]",0.0903,0.103,"(0.119, 0.172]",0.119,0.172,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(44.393, 49.592]",44.393,49.592,"(0.0483, 0.06]",0.0483,0.06,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,"(16.747, 17.019]",16.747,17.019000000000002,,,,,,,,,,,,,,,,,,,,,,,,,-,Anchises,-,X,Tholin1989
