full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   588 Achilles (1906 TG),0.0314,0.1036,0.1969,1.73969180020553,17.5736147726714,0.043,0.129,0.066,16.3754912945836,?,?,?,?,?,0.3955895,0.641102,?,4,GreaterAchilles,Achilles,-,,
   617 Patroclus (1906 VY),0.0237,0.1004,0.3664,0.2859616427306261,8.71596334013481,0.047,0.092,0.052,15.945301822711,?,?,?,?,?,?,?,?,5,GreaterPatroclus,-,-,,
   624 Hektor (1907 XM),0.0877,0.0544,0.3259,3.38582534374505,39.486365904512,0.025,0.155,0.136,15.1133454085921,?,?,?,?,?,0.2257365,0.492976,?,4,GreaterHektor,Hektor,-,,
   659 Nestor (1908 CS),0.0493,0.1366,0.0857,3.2466039515838903,22.224746816099,0.035,0.074,0.061,16.7279375368804,?,?,?,?,?,?,?,?,4,GreaterNestor,Nestor,-,,
   884 Priamus (1917 CQ),0.0524,0.0867,0.1763,2.41374816773538,26.6995428087563,0.044,0.125,0.107,17.0231414013261,0.810000000000002,1.47,0.600000000000001,0.199999999999999,0.149999999999999,?,?,?,5,GreaterPatroclus,-,-,,
   911 Agamemnon (1919 FD),0.0777,0.021,0.3863,1.5382144945072902,33.6212306766675,0.072,0.136,0.114,16.1529577722353,?,?,?,?,?,?,?,?,4,-,Agamemnon,-,,
  1143 Odysseus (1930 BH),0.0481,0.0522,0.0691,1.1267352563413,17.3265569235909,0.05,0.146,0.131,16.1948864436993,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1172 Aneas (1930 UA),0.0482,0.0603,0.3058,0.884888269870316,23.786379540720702,0.059,0.129,0.094,?,0.714285714285715,1.665,0.506428571428571,0.068571428571429,0.021428571428571,?,?,?,5,GreaterAneas,Aneas,AneasSub,D,Tholin1989
  1173 Anchises (1930 UB),0.1107,0.1001,0.1321,6.73856853337622,46.203004166232994,0.05,0.099,0.099,16.7523163353539,?,?,?,?,?,?,?,?,5,-,Anchises,-,X,Tholin1989
  1208 Troilus (1931 YA),0.0458,0.0527,0.5447,-0.832899288931401,21.0989069632291,0.041,0.074,0.028,16.780140467956,0.765000000000001,1.85,0.550000000000001,0.165000000000001,0.084999999999999,?,?,?,5,GreaterPatroclus,Troilus,TroilusSub,FCU,Tholin1989
  1404 Ajax (1936 QW),0.0917,0.076,0.3274,3.51784742468921,38.7861707440078,0.048,0.085,0.054,17.5628785735148,?,?,?,?,?,?,?,?,4,GreaterAjax,Ajax,AjaxSub,,
  1437 Diomedes (1937 PB),0.1282,0.0314,0.3726,8.5240310823729,60.6210685366075,0.061,0.087,0.083,16.1685122916254,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Diomedes,-,DX,Tholin1989
  1583 Antilochus (1950 SA),0.1065,0.0187,0.4857,5.45949919286029,53.4679104481866,0.054,0.135,0.09,16.203213394493,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,D,Tholin1989
  1647 Menelaus (1957 MK),0.0387,0.0588,0.1166,0.914780914491899,14.7348337634413,0.056,?,?,17.8843163625288,?,?,?,?,?,?,?,?,4,GreaterOdysseus,Odysseus,-,,
  1749 Telamon (1949 SB),0.0661,0.0685,0.1187,2.82237553762989,29.850577413641602,0.073,0.148,0.142,17.2545398339503,0.805,1.435,0.599999999999999,0.210000000000001,0.155,?,?,?,4,GreaterTelamon,Telamon,-,D,Hasselmann2012
  1867 Deiphobus (1971 EA),0.078,0.0304,0.4737,1.84409632893914,38.9669304506257,0.06,0.129,0.103,15.8593727822117,0.825000000000001,1.45,0.614999999999999,0.215,0.15,?,?,?,5,GreaterAneas,Aneas,-,D,Tholin1989
  1868 Thersites (2008 P-L),0.1033,0.1042,0.2896,5.91746057808199,45.442549787191496,0.055,0.132,0.113,17.7430657291448,?,?,?,?,?,?,?,?,4,GreaterHektor,Thersites,-,DX,Bendjoya2004
  1869 Philoctetes (4596 P-L),0.1025,0.0614,0.0599,5.13185489282772,41.2018453926555,0.104,0.208,0.208,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
  1870 Glaukos (1971 FE),0.0462,0.0171,0.1115,0.6925817375078511,16.5015031778809,0.049,0.118,0.118,18.1304729626531,0.77,1.57,0.559999999999999,0.25,0.16,?,?,?,5,-,-,-,D,Hasselmann2012
  1871 Astyanax (1971 FF),0.1288,0.0145,0.1297,8.415528837267692,54.684553272787596,0.076,0.151,0.151,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,D,Fornasier2004
  1872 Helenos (1971 FG),0.109,0.015,0.2536,5.35970071653196,46.865088643883,0.067,0.152,0.152,?,0.75,1.515,0.535,0.190000000000001,0.114999999999998,?,?,?,5,GreaterAstyanax,Helenos,-,,
  1873 Agenor (1971 FH),0.0553,0.1174,0.3792,1.43110703728598,23.725186285605396,0.062,0.131,0.131,18.1231630483284,?,?,?,?,?,?,?,?,5,GreaterPatroclus,-,-,,
  2146 Stentor (1976 UQ),0.0166,0.0651,0.6122,-2.2112271865294,10.7870938581815,0.082,0.144,0.131,18.0401494657795,?,?,?,?,?,?,?,?,4,-,Stentor,-,,
  2148 Epeios (1976 UW),0.0224,0.024,0.1552,0.359393808794536,11.338766046802098,0.064,0.128,0.128,18.8369452993266,?,?,?,?,?,?,?,?,4,GreaterAchilles,Epeios,-,,
  2207 Antenor (1977 QH1),0.0813,0.0591,0.1083,4.28095280338061,37.9663206570796,0.051,0.147,0.13,16.3274413561117,?,?,?,?,?,?,?,?,5,GreaterAneas,-,-,D,Tholin1989
  2223 Sarpedon (1977 TL3),0.0655,0.038,0.2882,1.77528531365454,30.449686468672198,0.051,0.125,0.098,?,0.665000000000001,1.445,0.460000000000001,0.120000000000001,0.089999999999998,?,?,?,5,GreaterAneas,Sarpedon,SarpedonSub,DU,Tholin1989
  2241 Alcathous (1979 WM),0.0603,0.1034,0.3079,2.10273420637714,26.5432161208444,0.048,0.127,0.097,16.2466686306561,?,?,?,?,?,?,?,?,5,GreaterPatroclus,-,-,D,Tholin1989
  2260 Neoptolemus (1975 WM1),0.0192,0.0197,0.28300000000000003,-0.323084075045976,11.650349085794101,0.057,0.153,0.124,17.1756102839943,0.800000000000001,1.48,0.59,0.260000000000002,0.190000000000001,?,?,?,4,-,-,-,DTU,Tholin1989
  2357 Phereclos (1981 AC),0.0337,0.0481,0.0481,1.02111048324315,16.879149282627402,0.052,0.137,0.101,16.7983339628023,0.720000000000001,1.52,0.509999999999998,0.17,0.16,?,?,?,5,GreaterPatroclus,Phereclos,PhereclosSub,D,Tholin1989
  2363 Cebriones (1977 TJ3),0.0783,0.0333,0.5399,0.950664718531982,39.7238714512909,0.044,0.133,0.091,16.2402616586741,?,?,?,?,?,?,?,?,5,GreaterPatroclus,Cebriones,-,D,Tholin1989
  2456 Palamedes (1966 BA1),0.0793,0.0293,0.2567,3.2363847754396,36.7668431810594,0.071,0.145,0.122,17.3030250229599,?,?,?,?,?,?,?,?,4,-,Thersander,-,,
  2594 Acamas (1978 TB),0.1517,0.0731,0.1035,13.748139226781301,68.1179609388406,0.06,0.121,0.121,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,,
  2674 Pandarus (1982 BC3),0.0345,0.08800000000000001,0.0365,1.77452912457517,18.259620366439396,0.067,0.148,0.139,16.6939702700906,0.822500000000002,1.4625,0.6075,0.249999999999999,0.152500000000001,?,?,?,5,GreaterPatroclus,Phereclos,PandarusSub,D,Tholin1989
  2759 Idomeneus (1980 GC),0.048,0.0875,0.3662,1.3838911649461398,24.9479342663198,0.067,0.129,0.129,17.5078073720976,0.803333333333333,1.45666666666667,0.593333333333334,0.263333333333334,0.129999999999998,?,?,?,4,-,Idomeneus,-,D,Hasselmann2012
  2797 Teucer (1981 LK),0.1052,0.0768,0.3586,5.98330193845278,50.76156896084001,0.073,0.152,0.134,16.5319846010229,0.796666666666666,1.42,0.579999999999999,0.263333333333333,0.126666666666666,?,?,?,4,GreaterHektor,Thersites,-,D,Hasselmann2012
  2893 Peiroos (1975 QD),0.078,0.0471,0.2289,3.12590169523423,35.0288414636117,0.048,0.114,0.059,16.8762809114341,?,?,?,?,?,?,?,?,5,GreaterAneas,Aneas,-,D,Tholin1989
  2895 Memnon (1981 AE1),0.0339,0.0674,0.4377,-0.7257447866358009,14.8603477748837,0.06,0.096,0.096,17.4598462441148,?,?,?,?,?,?,?,?,5,-,-,-,C,Bendjoya2004
  2920 Automedon (1981 JR),0.0986,0.0165,0.3731,4.89998702425301,47.205650845065406,0.068,0.147,0.118,16.6266645609809,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
  3063 Makhaon (1983 PV),0.0607,0.0558,0.2338,2.13174113203479,28.365797809657305,0.056,0.128,0.114,16.2286740141627,0.690000000000001,1.535,0.475,0.25,0.105,?,?,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,D,Lazzaro2004
  3240 Laocoon (1978 VG6),0.0542,0.0775,0.0622,1.7476955411807502,20.2145988783863,0.06,0.121,0.121,18.4061038388371,0.809999999999999,1.43,0.600000000000001,0.229999999999997,0.170000000000002,?,?,?,5,-,-,-,D,Hasselmann2012
  3317 Paris (1984 KF),0.0219,0.0835,0.4453,-0.8387558951541221,11.515276478118,0.055,0.129,0.081,16.5091302428742,?,?,?,?,?,?,?,?,5,-,-,-,D,Bendjoya2004
  3391 Sinon (1977 DD3),0.0924,0.0432,0.2728,3.08083799131148,36.7496116954262,0.093,0.187,0.187,18.2889552378987,?,?,?,?,?,0.308643,0.5330925,?,4,GreaterDiomedes,-,-,,
  3451 Mentor (1984 HA1),0.1175,0.0386,0.4087,7.22692922948363,58.947979124715395,0.044,0.077,0.035,15.9133792532861,0.733333333333334,1.44,0.523333333333333,0.176666666666666,0.046666666666666,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,X,Hasselmann2012
  3540 Protesilaos (1973 UF5),0.0773,0.1201,0.3899,2.92702774808307,35.1732196869384,0.062,0.135,0.135,17.040173810062,?,?,?,?,?,?,?,?,4,GreaterNestor,-,-,,
  3548 Eurybates (1973 SO),0.09,0.0437,0.1291,4.77418081928545,41.0772001820708,0.052,0.079,0.067,17.7997850616839,?,?,?,?,?,?,?,?,4,GreaterAjax,-,EurybatesSub,C,Fornasier2007
  3564 Talthybius (1985 TC1),0.0446,0.0844,0.2645,0.826985305414212,18.2874091988487,0.062,0.131,0.15,16.9996930316375,0.76,1.61,0.555000000000002,0.19,0.050000000000001,?,?,?,4,GreaterAchilles,-,-,D,Hasselmann2012
  3596 Meriones (1985 VO),0.0809,0.0277,0.4059,2.50706304094543,39.5390723273681,0.048,0.138,0.069,16.9684034817124,?,?,?,?,?,0.357375,0.589752,?,4,-,Agamemnon,-,,
  3708 (1974 FV1),0.0096,0.1285,0.2511,1.20552576581434,2.80367958409113,0.059,0.119,0.119,17.3616456904262,0.780000000000001,1.44,0.559999999999999,0.220000000000001,0.24,?,?,?,5,GreaterPatroclus,1971FV1,1971FV1Sub,D,Bendjoya2004
  3709 Polypoites (1985 TL3),0.0586,0.0142,0.3351,0.5938482392502211,22.11529292461,0.087,0.181,0.176,16.5907987150984,?,?,?,?,?,?,?,?,4,-,Polypoites,-,D,Bendjoya2004
  3793 Leonteus (1985 TE3),0.049,0.0577,0.3602,1.0051551196841502,24.022100063011305,0.042,0.096,0.036,16.509856678995,0.740000000000002,1.46,0.529999999999998,0.200000000000001,0.129999999999999,0.3097275,0.5638635,?,4,-,Idomeneus,-,D,Hasselmann2012
